Наименование;"Наименование артикула";"Код артикула";Валюта;Цена;"Доступен для заказа";"Зачеркнутая цена";"Закупочная цена";"Краткое описание";Описание;Теги;Заголовок;"META Keywords";"META Description";"Ссылка на витрину";Производитель;Объем;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения
"Стол трапеция на рег. ножках (столешница-ЛДСП)";"";"4.2.1ФД1/4.2.1ФД2";"RUB";"2293";"1";"";"";"<p>
	105*45*34-46/46-58 см (Длина*Ширина*Высота (вариант1) / Высота(вариант2)</p>
<p>
	ЛДСП бук 16 мм, Кромка: МКР или ПВХ 0,4 мм; </p>
<p>
	Отличия от аналогичной продукции других производителей: регулируемые ножки крепятся к столешнице через дополнительные пластиковые фланцы большого диаметра (см";"<p>
	105*45*34-46/46-58 см (Длина*Ширина*Высота (вариант1) / Высота(вариант2)</p>
<p>
	ЛДСП бук 16 мм, Кромка: МКР или ПВХ 0,4 мм; </p>
<p>
	Отличия от аналогичной продукции других производителей: регулируемые ножки крепятся к столешнице через дополнительные пластиковые фланцы большого диаметра (см.фото). </p>
<p>
	Такое крепление препятствует раскачиванию и разбалтыванию ножек, увеличивает срок службы стола. </p>
<p>
	Телескопические ножки окрашены порошковой краской цвета слоновая кость, цвета, который гармонирует с цветом лакированной березовой фанеры и цветом ЛДСП (бук), которые мы используем. Фиксация нужной высоты осуществляется двумя винтами М6.</p>";"";"Стол трапеция на рег. ножках (столешница-ЛДСП)";"";"";"stol-trapetsiya-na-reg-nozhkakh-stoleshnitsa-ldsp";"";"";"http://www.pelikan-7.ru/image/cache/data/4/stol_trap_ff_b-500x500.jpg";"http://www.pelikan-7.ru/image/cache/data/4/111-500x500.jpg";"http://www.pelikan-7.ru/image/cache/data/Pr/buk-500x500.jpg";"";"";"";"";"";"";"";"";""
"Стол шахматный, ЛДСП";"";"4.7Д";"RUB";"3920";"1";"";"";"<p>
	Материал: ЛДСП 16 мм (цвет бук); </p>
<p>
	Кромка: МКР или ПВХ 0,4 мм; </p>
<p>
	Столешница: 60*60 см;</p>
<p>
	Высота: 60 см;</p>
<p>
	Рисунок (шахматная доска) - УФ-печать";"<p>
	Материал: ЛДСП 16 мм (цвет бук); </p>
<p>
	Кромка: МКР или ПВХ 0,4 мм; </p>
<p>
	Столешница: 60*60 см;</p>
<p>
	Высота: 60 см;</p>
<p>
	Рисунок (шахматная доска) - УФ-печать.</p>";"";"Стол шахматный, ЛДСП";"";"";"stol-shakhmatnyy-ldsp";"";"";"http://www.pelikan-7.ru/image/cache/data/4/IMG_0072-3-500x500.JPG";"http://www.pelikan-7.ru/image/cache/data/Pr/buk-500x500.jpg";"";"";"";"";"";"";"";"";"";""
"Стол трапеция на рег. ножках (столешница-пластик)";"";"4.2.1ФП1/4.2.1ФП2";"RUB";"3093";"1";"";"";"<p>
	105*45*34-46/46-58 см (Длина*Ширина*Высота (вариант1) / Высота(вариант2)</p>
<p>
	Отличия от аналогичной продукции других производителей: регулируемые ножки крепятся к столешнице через дополнительные пластиковые фланцы большого диаметра (см";"<p>
	105*45*34-46/46-58 см (Длина*Ширина*Высота (вариант1) / Высота(вариант2)</p>
<p>
	Отличия от аналогичной продукции других производителей: регулируемые ножки крепятся к столешнице через дополнительные пластиковые фланцы большого диаметра (см.фото). </p>
<p>
	Такое крепление препятствует раскачиванию и разбалтыванию ножек, увеличивает срок службы стола. </p>
<p>
	Телескопические ножки окрашены порошковой краской цвета слоновая кость, цвета, который гармонирует с цветом лакированной березовой фанеры и цветом ЛДСП (бук), которые мы используем. Фиксация нужной высоты осуществляется двумя винтами М6.</p>";"";"Стол трапеция на рег. ножках (столешница-пластик)";"";"";"stol-trapetsiya-na-reg-nozhkakh-stoleshnitsa-plastik";"";"";"http://www.pelikan-7.ru/image/cache/data/4/stol_trap_ff_b-500x500.jpg";"http://www.pelikan-7.ru/image/cache/data/4/111-500x500.jpg";"";"";"";"";"";"";"";"";"";""
"Стол трапеция на рег. ножках (столешница-фанера)";"";"4.2.1ФФ1/4.2.1ФФ2";"RUB";"2670";"1";"";"";"<p>
	105*45*34-46/46-58 см (Длина*Ширина*Высота (вариант1) / Высота(вариант2)</p>
<p>
	Отличия от аналогичной продукции других производителей: регулируемые ножки крепятся к столешнице через дополнительные пластиковые фланцы большого диаметра (см";"<p>
	105*45*34-46/46-58 см (Длина*Ширина*Высота (вариант1) / Высота(вариант2)</p>
<p>
	Отличия от аналогичной продукции других производителей: регулируемые ножки крепятся к столешнице через дополнительные пластиковые фланцы большого диаметра (см.фото). </p>
<p>
	Такое крепление препятствует раскачиванию и разбалтыванию ножек, увеличивает срок службы стола. </p>
<p>
	Телескопические ножки окрашены порошковой краской цвета слоновая кость, цвета, который гармонирует с цветом лакированной березовой фанеры и цветом ЛДСП (бук), которые мы используем. Фиксация нужной высоты осуществляется двумя винтами М6.</p>";"";"Стол трапеция на рег. ножках (столешница-фанера)";"";"";"stol-trapetsiya-na-reg-nozhkakh-stoleshnitsa-fanera";"";"";"http://www.pelikan-7.ru/image/cache/data/4/stol_trap_ff_b-500x500.jpg";"http://www.pelikan-7.ru/image/cache/data/4/111-500x500.jpg";"";"";"";"";"";"";"";"";"";""
"!Шкафы для одежды";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Банкетка (5 мест) ЛДСП";"";"1.5.2Д";"RUB";"1368";"1";"";"";"<p>
	Габариты: (Д139*Ш25*В20)см";"<p>
	Габариты: (Д139*Ш25*В20)см. Может убираться в нишу под шкаф для одежды (5 мест) нашего производства.</p>
<p>
	Материал: ЛДСП (бук). Возможны другой цвет ЛДСП и другая высота.</p>
<p>
	Кромка: МКР или ПВХ 0,4 мм.</p>
<p>
	Острые углы закругленны.</p>";"";"Банкетка (5 мест) ЛДСП";"";"";"banketka-5-mest-ldsp";"";"";"http://www.pelikan-7.ru/image/cache/data/1/1_4_2Db-500x500.jpg";"http://www.pelikan-7.ru/image/cache/data/Pr/buk-500x500.jpg";"";"";"";"";"";"";"";"";"";""
"Шкаф для одежды (5 мест) ЛДСП";"";"1.5.1Д";"RUB";"6237";"1";"";"";"<p>
	Габариты: (Д146*Ш32*В132) см";"<p>
	Габариты: (Д146*Ш32*В132) см. </p>
<p>
	Материал: ЛДСП (бук). Возможен другой цвет ЛДСП. </p>
<p>
	Кромка: МКР или ПВХ 0,4 мм; </p>
<p>
	В каждом отделении 2 полки, 2 крючка. </p>
<p>
	В нижней части предусмотрена ниша для банкетки. </p>
<p>
	Имеются зазоры (щели) для естественной вентиляции.</p>";"";"Шкаф для одежды (5 мест) ЛДСП";"";"";"shkaf-dlya-odezhdy-5-mest-ldsp";"";"";"http://www.pelikan-7.ru/image/cache/data/1/IMG_5455_2_2-500x500.jpg";"http://www.pelikan-7.ru/image/cache/data/Pr/klentanzai-500x500.jpg";"";"";"";"";"";"";"";"";"";""
"Банкетка (5 мест) фанера";"";"1.5.2";"RUB";"1751";"1";"";"";"<p>
	Габариты: (Д139*Ш25*В20) см";"<p>
	Габариты: (Д139*Ш25*В20) см. </p>
<p>
	Может убираться в нишу под шкаф для одежды (5 мест) нашего производства. Возможна другая высота. </p>
<p>
	Материал: Фанера березовая. Покрытие: Полиэфир или лак НЦ.</p>
<p>
	Острые углы закругленны. </p>";"";"Банкетка (5 мест) фанера";"";"";"banketka-5-mest-fanera";"";"";"http://www.pelikan-7.ru/image/cache/data/1/1_4_2Fb-500x500.jpg";"";"";"";"";"";"";"";"";"";"";""
"Шкаф для одежды (5 мест) фанера";"";"1.5.1";"RUB";"8026";"1";"";"";"<p>
	Габариты: (Д146*Ш32*В132) см";"<p>
	Габариты: (Д146*Ш32*В132) см. </p>
<p>
	Материал: Фанера березовая. </p>
<p>
	Покрытие: Полиэфир или лак НЦ. </p>
<p>
	В каждом отделении 2 полки, 2 крючка. </p>
<p>
	В нижней части предусмотрена ниша для банкетки. </p>
<p>
	Имеются зазоры (щели) для естественной вентиляции.</p>";"";"Шкаф для одежды (5 мест) фанера";"";"";"shkaf-dlya-odezhdy-5-mest-fanera";"";"";"http://www.pelikan-7.ru/image/cache/data/1/_4м_фанера к1-500x500.jpg";"";"";"";"";"";"";"";"";"";"";""
"Банкетка (4 места) ЛДСП";"";"1.4.2Д";"RUB";"1079";"1";"";"";"<p>
	Габариты: (Д110*Ш25*В20) см";"<p>
	Габариты: (Д110*Ш25*В20) см. Может убираться в нишу под шкаф для одежды (4 места) нашего производства.</p>
<p>
	Материал: ЛДСП (бук). Возможны другой цвет ЛДСП и другая высота.</p>
<p>
	Кромка: МКР или ПВХ 0,4 мм.</p>
<p>
	Острые углы закругленны.</p>";"";"Банкетка (4 места) ЛДСП";"";"";"banketka-4-mesta-ldsp";"";"";"http://www.pelikan-7.ru/image/cache/data/1/1_4_2Db-500x500.jpg";"http://www.pelikan-7.ru/image/cache/data/Pr/buk-500x500.jpg";"";"";"";"";"";"";"";"";"";""
"Банкетка (4 места) фанера";"";"1.4.2";"RUB";"1418";"1";"";"";"<p>
	Габариты: (Д110*Ш25*В20) см";"<p>
	Габариты: (Д110*Ш25*В20) см.</p>
<p>
	Может убираться в нишу под шкаф для одежды (4 места) нашего производства. Возможна другая высота. </p>
<p>
	Материал: Фанера березовая. Покрытие: Полиэфир или лак НЦ.</p>
<p>
	Острые углы закругленны.</p>";"";"Банкетка (4 места) фанера";"";"";"banketka-4-mesta-fanera";"";"";"http://www.pelikan-7.ru/image/cache/data/1/1_4_2Fb-500x500.jpg";"";"";"";"";"";"";"";"";"";"";""
"Шкаф для одежды (4 места) ЛДСП";"";"1.4.1Д";"RUB";"5336";"1";"";"";"<p>
	Габариты: (Д118*Ш32*В132) см";"<p>
	Габариты: (Д118*Ш32*В132) см. </p>
<p>
	Материал: ЛДСП (бук). Возможен другой цвет ЛДСП. </p>
<p>
	Кромка: МКР или ПВХ 0,4 мм; </p>
<p>
	В каждом отделении 2 полки, 2 крючка. </p>
<p>
	В нижней части предусмотрена ниша для банкетки. </p>
<p>
	Имеются зазоры (щели) для естественной вентиляции.</p>";"";"Шкаф для одежды (4 места) ЛДСП";"";"";"shkaf-dlya-odezhdy-4-mesta-ldsp";"";"";"http://www.pelikan-7.ru/image/cache/data/1/IMG_5455_2_2-500x500.jpg";"http://www.pelikan-7.ru/image/cache/data/Pr/buk-500x500.jpg";"";"";"";"";"";"";"";"";"";""
"Шкаф для одежды (4 места) фанера";"";"1.4.1";"RUB";"6921";"1";"";"";"<p>
	Габариты: (Д118*Ш32*В132) см";"<p>
	Габариты: (Д118*Ш32*В132) см. </p>
<p>
	Материал: Фанера березовая. </p>
<p>
	Покрытие: Полиэфир или лак НЦ. </p>
<p>
	В каждом отделении 2 полки, 2 крючка. </p>
<p>
	В нижней части предусмотрена ниша для банкетки. </p>
<p>
	Имеются зазоры (щели) для естественной вентиляции.</p>";"";"Шкаф для одежды (4 места) фанера";"";"";"shkaf-dlya-odezhdy-4-mesta-fanera";"";"";"http://www.pelikan-7.ru/image/cache/data/1/_4м_фанера к1-500x500.jpg";"";"";"";"";"";"";"";"";"";"";""
"Банкетка (3 места) ЛДСП";"";"1.3.2Д";"RUB";"847";"1";"";"";"<p>
	Габариты: (Д82*Ш25*В20) см";"<p>
	Габариты: (Д82*Ш25*В20) см. Может убираться в нишу под шкаф для одежды (3 места) нашего производства.</p>
<p>
	Материал: ЛДСП (бук). Возможны другой цвет ЛДСП и другая высота.</p>
<p>
	Кромка: МКР или ПВХ 0,4 мм.</p>
<p>
	Острые углы закругленны.</p>";"";"Банкетка (3 места) ЛДСП";"";"";"banketka-3-mesta-ldsp";"";"";"http://www.pelikan-7.ru/image/cache/data/1/1_3_2Db-500x500.jpg";"http://www.pelikan-7.ru/image/cache/data/Pr/buk-500x500.jpg";"";"";"";"";"";"";"";"";"";""
"Банкетка (3 места) фанера";"";"1.3.2";"RUB";"1148";"1";"";"";"<p>
	Габариты: (Д82*Ш25*В20) см";"<p>
	Габариты: (Д82*Ш25*В20) см. </p>
<p>
	Может убираться в нишу под шкаф для одежды (3 места) нашего производства. Возможна другая высота. </p>
<p>
	Материал: Фанера березовая. Покрытие: Полиэфир или лак НЦ.</p>
<p>
	Острые углы закругленны.</p>";"";"Банкетка (3 места) фанера";"";"";"banketka-3-mesta-fanera";"";"";"http://www.pelikan-7.ru/image/cache/data/1/bank_3mb-500x500.jpg";"";"";"";"";"";"";"";"";"";"";""
"Шкаф для одежды (3 места) ЛДСП";"";"1.3.1Д";"RUB";"4489";"1";"";"";"<p>
	Габариты: (Д89*Ш32*В132) см";"<p>
	Габариты: (Д89*Ш32*В132) см. </p>
<p>
	Материал: ЛДСП (бук). Возможен другой цвет ЛДСП. </p>
<p>
	Кромка: МКР или ПВХ 0,4 мм; </p>
<p>
	В каждом отделении 2 полки, 2 крючка. </p>
<p>
	В нижней части предусмотрена ниша для банкетки. </p>
<p>
	Имеются зазоры (щели) для естественной вентиляции.</p>";"";"Шкаф для одежды (3 места) ЛДСП";"";"";"shkaf-dlya-odezhdy-3-mesta-ldsp";"";"";"http://www.pelikan-7.ru/image/cache/data/1/IMG_5457_2_2-500x500.jpg";"http://www.pelikan-7.ru/image/cache/data/Pr/buk-500x500.jpg";"";"";"";"";"";"";"";"";"";""
"Шкаф для одежды (3 места) фанера";"";"1.3.1";"RUB";"5942";"1";"";"";"<p>
	Габариты: (Д89*Ш32*В132) см";"<p>
	Габариты: (Д89*Ш32*В132) см.</p>
<p>
	Материал: Фанера березовая.</p>
<p>
	Покрытие: Полиэфир или лак НЦ.</p>
<p>
	В каждом отделении 2 полки, 2 крючка.</p>
<p>
	В нижней части предусмотрена ниша для банкетки.</p>
<p>
	Имеются зазоры (щели) для естественной вентиляции.</p>";"";"Шкаф для одежды (3 места) фанера";"";"";"shkaf-dlya-odezhdy-3-mesta-fanera";"";"";"http://www.pelikan-7.ru/image/cache/data/1/_3м_фанера к1-500x500.jpg";"";"";"";"";"";"";"";"";"";"";""
"Банкетка (2 места) ЛДСП";"";"1.2.2Д";"RUB";"621";"1";"";"";"<p>
	Габариты: (Д53*Ш25*В20) см";"<p>
	Габариты: (Д53*Ш25*В20) см. Может убираться в нишу под шкаф для одежды (2 места) нашего производства.</p>
<p>
	Материал: ЛДСП (бук). Возможны другой цвет ЛДСП и другая высота.</p>
<p>
	Кромка: МКР или ПВХ 0,4 мм.</p>
<p>
	Острые углы закругленны.</p>";"";"Банкетка (2 места) ЛДСП";"";"";"banketka-2-mesta-ldsp";"";"";"http://www.pelikan-7.ru/image/cache/data/1/1_2_2Db-500x500.jpg";"http://www.pelikan-7.ru/image/cache/data/Pr/buk-500x500.jpg";"";"";"";"";"";"";"";"";"";""
"Банкетка (2 места) фанера";"";"1.2.2";"RUB";"879";"1";"";"";"<p>
	Габариты: (Д53*Ш25*В20) см";"<p>
	Габариты: (Д53*Ш25*В20) см. Может убираться в нишу под шкаф для одежды (2 места) нашего производства. Возможна другая высота.</p>
<p>
	Материал: Фанера березовая. Покрытие: Полиэфир или лак НЦ.</p>
<p>
	Острые углы закругленны.</p>";"";"Банкетка (2 места) фанера";"";"";"banketka-2-mesta-fanera";"";"";"http://www.pelikan-7.ru/image/cache/data/1/1_2_2Fb-500x500.jpg";"";"";"";"";"";"";"";"";"";"";""
"Шкаф для одежды (2 места) ЛДСП";"";"1.2.1Д";"RUB";"3638";"1";"";"";"<p>
	Габариты: (Д60*Ш32*В132) см";"<p>
	Габариты: (Д60*Ш32*В132) см. </p>
<p>
	<span style='color: rgb(0, 0, 0); font-family: Arial, Helvetica, sans-serif; background-color: rgb(242, 238, 239);'>Материал: ЛДСП (бук). Возможен другой цвет ЛДСП. </span></p>
<p>
	Кромка: МКР или ПВХ 0,4 мм; </p>
<p>
	В каждом отделении 2 полки, 2 крючка. </p>
<p>
	В нижней части предусмотрена ниша для банкетки. </p>
<p>
	Имеются зазоры (щели) для естественной вентиляции.</p>";"";"Шкаф для одежды (2 места) ЛДСП";"";"";"shkaf-dlya-odezhdy-2-mesta-ldsp";"";"";"http://www.pelikan-7.ru/image/cache/data/1/IMG_5459_2_2-500x500.jpg";"http://www.pelikan-7.ru/image/cache/data/1/IMG_5461_2_2-500x500.jpg";"http://www.pelikan-7.ru/image/cache/data/Pr/buk-500x500.jpg";"";"";"";"";"";"";"";"";""
"Шкаф для одежды (2 места) фанера";"";"1.2.1";"RUB";"4962";"1";"";"";"<p>
	Габариты: (Д60*Ш32*В132) см";"<p>
	Габариты: (Д60*Ш32*В132) см. </p>
<p style='font-family: Arial, Helvetica, sans-serif; margin-top: 0px; color: rgb(0, 0, 0);'>
	Материал: Фанера березовая.</p>
<p style='font-family: Arial, Helvetica, sans-serif; margin-top: 0px; color: rgb(0, 0, 0);'>
	Покрытие: Полиэфир или лак НЦ.</p>
<p>
	В каждом отделении 2 полки, 2 крючка. </p>
<p>
	В нижней части предусмотрена ниша для банкетки. </p>
<p>
	Имеются зазоры (щели) для естественной вентиляции.</p>";"";"Шкаф для одежды (2 места) фанера";"";"";"shkaf-dlya-odezhdy-2-mesta-fanera";"";"";"http://www.pelikan-7.ru/image/cache/data/1/_2м_фанера к1-500x500.jpg";"";"";"";"";"";"";"";"";"";"";""
"Стенки для игрушек";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Стенка для игрушек ЦИРК ЛДСП+фанера";"";"2.10Д";"RUB";"37880";"1";"";"";"<p>
	Габариты: Д317*Ш40*В70/141 см</p>
<p>
	Материал: Каркас-ЛДСП (бук), Кромка: МКР или ПВХ 0,4 мм; фасады и крышки - фанера березовая (покрытие: акриловые краски, акриловый лак или лак НЦ)";"<p>
	Габариты: Д317*Ш40*В70/141 см</p>
<p>
	Материал: Каркас-ЛДСП (бук), Кромка: МКР или ПВХ 0,4 мм; фасады и крышки - фанера березовая (покрытие: акриловые краски, акриловый лак или лак НЦ).</p>
<p>
	Описание: состоит из 5-х секций (Клоун, Кот, Тюлень, Попугай, Шатер).</p>
<p>
	Все накладные декоры и декоры-фигуры объемные, изготовлены из фанеры, раскрашены акриловыми красками и защищены акриловым лаком.</p>
<p>
	Наличие 2-х выкатных ящиков, закрытых и открытых полок,выдвижного ящика.</p>
<p>
	Возможна поставка отдельных секций.</p>";"";"Стенка для игрушек ЦИРК ЛДСП+фанера";"";"";"stenka-dlya-igrushek-tsirk-ldspfanera";"";"";"http://www.pelikan-7.ru/image/cache/data/2/cirk_b-500x500.jpg";"http://www.pelikan-7.ru/image/cache/data/Pr/buk-500x500.jpg";"";"";"";"";"";"";"";"";"";""
"Стенка для игрушек ЦИРК фанера";"";"2.10";"RUB";"45143";"1";"";"";"<p>
	Габариты: Д317*Ш40*В70/141 см</p>
<p>
	Материал: фанера березовая";"<p>
	Габариты: Д317*Ш40*В70/141 см</p>
<p>
	Материал: фанера березовая.</p>
<p>
	Покрытие: Полиэфир или лак НЦ.</p>
<p>
	Описание: состоит из 5-х секций (Клоун, Кот, Тюлень, Попугай, Шатер).</p>
<p>
	Все накладные декоры и декоры-фигуры объемные, изготовлены из фанеры,раскрашены акриловыми красками и защищены акриловым лаком.</p>
<p>
	Наличие 2-х выкатных ящиков, закрытых и открытых полок, выдвижного ящика и крестовины для рулонного материала.</p>
<p>
	Возможна поставка отдельных модулей.</p>";"";"Стенка для игрушек ЦИРК фанера";"";"";"stenka-dlya-igrushek-tsirk-fanera";"";"";"http://www.pelikan-7.ru/image/cache/data/2/cirk_b-500x500.jpg";"";"";"";"";"";"";"";"";"";"";""
"Стенка для игрушек ГУСЕНИЦА фанера";"";"2.9";"RUB";"29456";"1";"";"";"<p>
	Габариты: Д383*Ш35*В145 см";"<p>
	Габариты: Д383*Ш35*В145 см.</p>
<p>
	Материал: фанера березовая.</p>
<p>
	Покрытие:акриловые краски,акриловый лак или лак НЦ.</p>
<p>
	Описание: состоит из 4-х секций на колесиках.</p>
<p>
	Наличие открытых полок,выдвижного ящика и деревянных крючков.</p>
<p>
	Рекомендованна для ясельной группы.</p>
<p>
	 </p>
<p>
	Еще у нас есть <a href='http://www.pelikan-7.ru/index.php?route=product/product&path=36&product_id=331'>зеркало Гусеница</a>.</p>";"";"Стенка для игрушек ГУСЕНИЦА фанера";"";"";"stenka-dlya-igrushek-gusenitsa-fanera";"";"";"http://www.pelikan-7.ru/image/cache/data/2/gusenicab-500x500.jpg";"";"";"";"";"";"";"";"";"";"";""
"Стенка для игрушек ОСЕНЬ ЛДСП+фанера";"";"2.7Д";"RUB";"20827";"1";"";"";"<p>
	Габариты: Д174/415*Ш28/39*В112 см";"<p>
	Габариты: Д174/415*Ш28/39*В112 см. </p>
<p>
	Материал: ЛДСП (бук), Кромка: МКР или ПВХ 0,4 мм; фанера березовая крашеная. </p>
<p>
	Торцы защищены кромкой красного и желтого цвета. </p>
<p>
	Описание: состоит из 1-ой центральной секции, 2-х боковых (зеркальных) и 4-х полок, соединяющих эти секции между собой. </p>
<p>
	За счет разных размеров полок, длина стенки может варьироваться от 230 см до 415 см, а при отсутствии полок, составит 174 см. </p>
<p>
	Фасады стенки окрашены акриловыми красками в желто-красные цвета и защищены лаком. </p>
<p>
	Наличие 2-х выкатных ящиков, 2-х выдвижных ящиков, открытых и закрытых полок.</p>";"";"Стенка для игрушек ОСЕНЬ ЛДСП+фанера";"";"";"stenka-dlya-igrushek-osen-ldspfanera";"";"";"http://www.pelikan-7.ru/image/cache/data/2/stenka_nestandb-500x500.jpg";"http://www.pelikan-7.ru/image/cache/data/Pr/buk-500x500.jpg";"";"";"";"";"";"";"";"";"";""
"Стенка для игрушек ОСЕНЬ фанера";"";"2.7";"RUB";"26634";"1";"";"";"<p>
	Габариты: Д174/415*Ш28/39*В112 см";"<p>
	Габариты: Д174/415*Ш28/39*В112 см. </p>
<p>
	Материал: Фанера березовая. </p>
<p>
	Покрытие: Полиэфир или лак НЦ, акриловый лак. </p>
<p>
	Торцы защищены кромкой красного и желтого цвета. </p>
<p>
	Описание: состоит из 1-ой центральной секции, 2-х боковых (зеркальных) и 4-х полок, соединяющих эти секции между собой. </p>
<p>
	За счет разных размеров полок, длина стенки может варьироваться от 230 см до 415 см, а при отсутствии полок, составит 174 см. </p>
<p>
	Фасады стенки окрашены акриловыми красками в желто-красные цвета и защищены лаком. </p>
<p>
	Наличие 2-х выкатных ящиков, 2-х выдвижных ящиков, открытых и закрытых полок.</p>";"";"Стенка для игрушек ОСЕНЬ фанера";"";"";"stenka-dlya-igrushek-osen-fanera";"";"";"http://www.pelikan-7.ru/image/cache/data/2/stenka_nestandb-500x500.jpg";"";"";"";"";"";"";"";"";"";"";""
"Стенка для игрушек АФРИКА ЛДСП+фанера";"";"2.6Д";"RUB";"32704";"1";"";"";"<p>
	Габариты: Д317*Ш40*В70/141 см</p>
<p>
	Материал: Каркас-ЛДСП (бук), Кромка: МКР или ПВХ 0,4 мм; фасады и крышки - фанера березовая (покрытие: акриловые краски, акриловый лак или лак НЦ)";"<p>
	Габариты: Д317*Ш40*В70/141 см</p>
<p>
	Материал: Каркас-ЛДСП (бук), Кромка: МКР или ПВХ 0,4 мм; фасады и крышки - фанера березовая (покрытие: акриловые краски, акриловый лак или лак НЦ).</p>
<p>
	Описание: состоит из 5-х секций (Тигренок, Кактус, Пальма, Дельфин, Бабочка).</p>
<p>
	Все накладные декоры и декоры-фигуры объемные,изготовлены из фанеры, раскрашены акриловыми красками и защищены акриловым лаком.</p>
<p>
	Наличие 2-х выкатных ящиков, закрытых и открытых полок,выдвижного ящика (лапы тигренка).</p>
<p>
	Возможна поставка отдельных секций.</p>";"";"Стенка для игрушек АФРИКА ЛДСП+фанера";"";"";"stenka-dlya-igrushek-afrika-ldspfanera";"";"";"http://www.pelikan-7.ru/image/cache/data/2/1_20b-500x500.jpg";"http://www.pelikan-7.ru/image/cache/data/Pr/buk-500x500.jpg";"";"";"";"";"";"";"";"";"";""
"Стенка для игрушек АФРИКА фанера";"";"2.6";"RUB";"39449";"1";"";"";"<p>
	Габариты: Д317*Ш40*В70/141 см</p>
<p>
	Материал: фанера березовая";"<p>
	Габариты: Д317*Ш40*В70/141 см</p>
<p>
	Материал: фанера березовая.</p>
<p>
	Покрытие: Полиэфир или лак НЦ.</p>
<p>
	Описание: состоит из 5-х секций (Тигренок, Кактус, Пальма, Дельфин, Бабочка).</p>
<p>
	Все накладные декоры и декоры-фигуры объемные,изготовлены из фанеры, раскрашены акриловыми красками и защищены акриловым лаком.</p>
<p>
	Наличие 2-х выкатных ящиков, закрытых и открытых полок, выдвижного ящика (лапы тигренка) и крестовины для рулонного материала.</p>
<p>
	Возможна поставка отдельных модулей.</p>";"";"Стенка для игрушек АФРИКА фанера";"";"";"stenka-dlya-igrushek-afrika-fanera";"";"";"http://www.pelikan-7.ru/image/cache/data/2/1_20b-500x500.jpg";"";"";"";"";"";"";"";"";"";"";""
"Стенка для игрушек ПАРОВОЗИК ЛДСП+фанера";"";"2.4Д";"RUB";"24402";"1";"";"";"<p>
	Габариты: Д378*Ш37*В110 см";"<p>
	Габариты: Д378*Ш37*В110 см. </p>
<p>
	Материал: ЛДСП (бук), Кромка: МКР или ПВХ 0,4 мм; фанера березовая, крашеная.</p>
<p>
	Торцы защищены цветной кромкой. </p>
<p>
	Описание: состоит из 4-х секций: 1 и 2 - Паровозик, 3 и 4 - Вагончики. </p>
<p>
	3-я секция может применяться как игровая зона, имитирующая купе в вагоне. </p>
<p>
	Секции 2, 3, и 4 соединены между собой маленькими полками (буферами). </p>
<p>
	Колеса выполнены в виде накладных объемных декоров из фанеры. </p>
<p>
	Цветные детали раскрашены акриловыми красками и защищены лаком. </p>
<p>
	Наличие 3-х выкатных ящиков, 2-х выдвижных ящиков, закрытых и открытых полок. </p>
<p>
	Рекомендуется для младшей и средней группы.</p>";"";"Стенка для игрушек ПАРОВОЗИК ЛДСП+фанера";"";"";"stenka-dlya-igrushek-parovozik-ldspfanera";"";"";"http://www.pelikan-7.ru/image/cache/data/2/1_12b-500x500.jpg";"http://www.pelikan-7.ru/image/cache/data/Pr/buk-500x500.jpg";"";"";"";"";"";"";"";"";"";""
"Стенка для игрушек ПАРОВОЗИК фанера";"";"2.4";"RUB";"30224";"1";"";"";"<p>
	Габариты: Д378*Ш37*В110 см";"<p>
	Габариты: Д378*Ш37*В110 см. </p>
<p>
	Материал: Фанера березовая. </p>
<p>
	Покрытие: Полиэфир или лак НЦ, акриловый лак. </p>
<p>
	Торцы защищены цветной кромкой. </p>
<p>
	Описание: состоит из 4-х секций: 1 и 2 - Паровозик, 3 и 4 - Вагончики. </p>
<p>
	3-я секция может применяться как игровая зона, имитирующая купе в вагоне. </p>
<p>
	Секции 2, 3, и 4 соединены между собой маленькими полками (буферами). </p>
<p>
	Колеса выполнены в виде накладных объемных декоров из фанеры. </p>
<p>
	Цветные детали раскрашены акриловыми красками и защищены лаком. </p>
<p>
	Наличие 3-х выкатных ящиков, 2-х выдвижных ящиков, закрытых и открытых полок. </p>
<p>
	Рекомендуется для младшей и средней группы.</p>";"";"Стенка для игрушек ПАРОВОЗИК фанера";"";"";"stenka-dlya-igrushek-parovozik-fanera";"";"";"http://www.pelikan-7.ru/image/cache/data/2/1_12b-500x500.jpg";"http://www.pelikan-7.ru/image/cache/data/Pr/buk-500x500.jpg";"";"";"";"";"";"";"";"";"";""
