Наименование;"Наименование артикула";"Код артикула";Валюта;Цена;"Доступен для заказа";"Зачеркнутая цена";"Закупочная цена";"Краткое описание";Описание;Теги;Заголовок;"META Keywords";"META Description";"Ссылка на витрину";Производитель;Объем;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения
"Стул детский (h=34)";"";"5.2.1/р";"RUB";"599";"1";"";"";"<p style='font-family: Arial, Helvetica, sans-serif; margin-top: 0px; color: rgb(0, 0, 0);'>
	Каркас фанера 15 мм,</p>
<p style='font-family: Arial, Helvetica, sans-serif; margin-top: 0px; color: rgb(0, 0, 0);'>
	Спинка и сидение - фанера 10 мм";"<p style='font-family: Arial, Helvetica, sans-serif; margin-top: 0px; color: rgb(0, 0, 0);'>
	Каркас фанера 15 мм,</p>
<p style='font-family: Arial, Helvetica, sans-serif; margin-top: 0px; color: rgb(0, 0, 0);'>
	Спинка и сидение - фанера 10 мм. </p>
<p style='font-family: Arial, Helvetica, sans-serif; margin-top: 0px; color: rgb(0, 0, 0);'>
	Покрытие: полиэфир или лак НЦ. </p>
<p style='font-family: Arial, Helvetica, sans-serif; margin-top: 0px; color: rgb(0, 0, 0);'>
	Стул соответствует ГОСТ и эргономическим требованиям (спинка и сидение имеют наклон). </p>";"";"Стул детский (h=34)";"";"";"stul-detskiy-h34";"";"";"http://www.pelikan-7.ru/image/cache/data/5/2_6_1-500x500.JPG";"";"";"";"";"";"";"";"";"";"";""
"Декор настенный малый";"";"14.5";"RUB";"1824";"1";"";"";"";"";"";"Декор настенный малый";"";"";"dekor-nastennyy-malyy-";"";"";"http://www.pelikan-7.ru/image/cache/data/14/9_6b-500x500.jpg";"";"";"";"";"";"";"";"";"";"";""
"Набор кубиков (10 шт.)";"";"***";"RUB";"3500";"1";"";"";"<p>
	Цвета:</p>
<ul>
	<li>
		красный</li>
	<li>
		оранжевый</li>
	<li>
		морская волна</li>
	<li>
		синий</li>
	<li>
		розовый</li>
	<li>
		желтый</li>
	<li>
		сиреневый </li>
	<li>
		голубой</li>
	<li>
		зеленый</li>
	<li>
		белый</li>
</ul>";"<p>
	Цвета:</p>
<ul>
	<li>
		красный</li>
	<li>
		оранжевый</li>
	<li>
		морская волна</li>
	<li>
		синий</li>
	<li>
		розовый</li>
	<li>
		желтый</li>
	<li>
		сиреневый </li>
	<li>
		голубой</li>
	<li>
		зеленый</li>
	<li>
		белый</li>
</ul>";"";"Набор кубиков (10 шт.)";"";"";"nabor-kubikov-10-sht";"";"";"http://www.pelikan-7.ru/image/cache/data/Excl2/IMG_5451_2-500x500.jpg";"http://www.pelikan-7.ru/image/cache/data/Excl2/IMG_5454_2-500x500.jpg";"";"";"";"";"";"";"";"";"";""
"Кубик";"";"***";"RUB";"400";"1";"";"";"<p>
	 </p>
<p>
	Цвета:</p>
<ul>
	<li>
		красный</li>
	<li>
		оранжевый</li>
	<li>
		морская волна</li>
	<li>
		синий</li>
	<li>
		розовый</li>
	<li>
		желтый</li>
	<li>
		сиреневый </li>
	<li>
		голубой</li>
	<li>
		зеленый</li>
	<li>
		белый</li>
</ul>";"<p>
	 </p>
<p>
	Цвета:</p>
<ul>
	<li>
		красный</li>
	<li>
		оранжевый</li>
	<li>
		морская волна</li>
	<li>
		синий</li>
	<li>
		розовый</li>
	<li>
		желтый</li>
	<li>
		сиреневый </li>
	<li>
		голубой</li>
	<li>
		зеленый</li>
	<li>
		белый</li>
</ul>";"";"Кубик";"";"";"kubik";"";"";"http://www.pelikan-7.ru/image/cache/data/Excl2/IMG_5454_2-500x500.jpg";"http://www.pelikan-7.ru/image/cache/data/Excl2/IMG_5451_2-500x500.jpg";"";"";"";"";"";"";"";"";"";""
"Стол трапеция на рег. ножках (столешница-пластик)";"";"4.2.1ФП1/4.2.1ФП2";"RUB";"3093";"1";"";"";"<p>
	105*45*34-46/46-58 см (Длина*Ширина*Высота (вариант1) / Высота(вариант2)</p>
<p>
	Отличия от аналогичной продукции других производителей: регулируемые ножки крепятся к столешнице через дополнительные пластиковые фланцы большого диаметра (см";"<p>
	105*45*34-46/46-58 см (Длина*Ширина*Высота (вариант1) / Высота(вариант2)</p>
<p>
	Отличия от аналогичной продукции других производителей: регулируемые ножки крепятся к столешнице через дополнительные пластиковые фланцы большого диаметра (см.фото). </p>
<p>
	Такое крепление препятствует раскачиванию и разбалтыванию ножек, увеличивает срок службы стола. </p>
<p>
	Телескопические ножки окрашены порошковой краской цвета слоновая кость, цвета, который гармонирует с цветом лакированной березовой фанеры и цветом ЛДСП (бук), которые мы используем. Фиксация нужной высоты осуществляется двумя винтами М6.</p>";"";"Стол трапеция на рег. ножках (столешница-пластик)";"";"";"stol-trapetsiya-na-reg-nozhkakh-stoleshnitsa-plastik";"";"";"http://www.pelikan-7.ru/image/cache/data/4/stol_trap_ff_b-500x500.jpg";"http://www.pelikan-7.ru/image/cache/data/4/111-500x500.jpg";"";"";"";"";"";"";"";"";"";""
"Новинки";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Магазин игровой (центральная секция)";"";"13.12.1";"RUB";"4767";"1";"";"";"<p>
	Материал: фанера</p>
<p>
	Габариты: 68*30*150 см</p>";"<p>
	Материал: фанера</p>
<p>
	Габариты: 68*30*150 см</p>";"";"Магазин игровой (центральная секция)";"";"";"magazin-igrovoy-tsentralnaya-sektsiya";"";"";"http://www.pelikan-7.ru/image/cache/data/13/IMG_4294_mag_nov_resize-500x500.jpg";"";"";"";"";"";"";"";"";"";"";""
"Матрас детский пружинный";"";"***";"RUB";"1790";"1";"";"";"<p class='MsoNormal'>
	Габариты: 140*60*12 см;</p>
<p class='MsoNormal'>
	Наполнитель – холлофайбер;<o:p></o:p></p>
<p class='MsoNormal'>
	Пружинный блок (Bonnell) с высокими ортопедическими свойствами (средняя жесткость);<o:p></o:p></p>
<p class='MsoNormal'>
	Чехол съемный (на молнии), бязь с детским рисунком (разных оттенков)";"<p class='MsoNormal'>
	Габариты: 140*60*12 см;</p>
<p class='MsoNormal'>
	Наполнитель – холлофайбер;<o:p></o:p></p>
<p class='MsoNormal'>
	Пружинный блок (Bonnell) с высокими ортопедическими свойствами (средняя жесткость);<o:p></o:p></p>
<p class='MsoNormal'>
	Чехол съемный (на молнии), бязь с детским рисунком (разных оттенков). <o:p></o:p></p>
<p class='MsoNormal'>
	Заказ возможен в количестве от 5 шт.*<o:p></o:p></p>
<p class='MsoNormal'>
	<em><span style='color:#696969;'>*о возможности заказа в количестве от 4 матрасов и менее уточняйте у менеджеров</span></em></p>
<p class='MsoNormal'>
	<o:p></o:p></p>";"";"Матрас детский пружинный";"";"";"matras-detskiy-pruzhinnyy";"";"";"http://www.pelikan-7.ru/image/cache/data/6/IMG_6008_1-500x500.JPG";"";"";"";"";"";"";"";"";"";"";""
"Матрас детский ватный";"";"*";"RUB";"655";"1";"";"";"<p>
	Матрас 140*60 см, хлопковое регенерированное волокно РВ, бязь (раскраска различных цветов с детской тематикой)";"<p>
	Матрас 140*60 см, хлопковое регенерированное волокно РВ, бязь (раскраска различных цветов с детской тематикой). </p>
<p>
	Подходит для одно-, двух- и трехъярусных кроватей. </p>
<p>
	Продаются партиями от 10 шт. </p>
<p>
	Цена указана за 1 матрас.</p>";"";"Матрас детский ватный";"";"";"matras-detskiy-vatnyy";"";"";"http://www.pelikan-7.ru/image/cache/data/6/22-500x500.jpeg";"";"";"";"";"";"";"";"";"";"";""
"Стул детский регул. на металлокаркасе (1-3 р.г.)";"";"5.9";"RUB";"820";"1";"";"";"<p>
	Максимальные габариты: 30*33*63 см;</p>
<p>
	Спинка и сиденье: фанера 9 мм, покрытие полиэфир или лак НЦ;</p>
<p>
	Металлокаркас покрыт порошковой краской цвета 'слоновая кость';</p>
<p>
	<strong>Регулируется по высоте: 26 см (1 р";"<p>
	Максимальные габариты: 30*33*63 см;</p>
<p>
	Спинка и сиденье: фанера 9 мм, покрытие полиэфир или лак НЦ;</p>
<p>
	Металлокаркас покрыт порошковой краской цвета 'слоновая кость';</p>
<p>
	<strong>Регулируется по высоте: 26 см (1 р.г.), 30 см (2 р.г.) или 34 см (3 р.г.);</strong></p>
<p>
	Стул соответствует ГОСТ и эргономическим требованиям.</p>";"";"Стул детский регул. на металлокаркасе (1-3 р.г.)";"";"";"stul-detskiy-regul-na-metallokarkase-1-3-rg";"";"";"http://www.pelikan-7.ru/image/cache/data/5/regul met f-500x500.jpg";"";"";"";"";"";"";"";"";"";"";""
"Стул детский регул. на металлокаркасе (1-3 р.г.) краска";"";"5.9к";"RUB";"870";"1";"";"";"<p>
	Максимальные габариты: 30*33*63 см;</p>
<p>
	Спинка и сиденье: фанера 9 мм, покрытие: краска акриловая (цвет на выбор заказчика), полиэфир или лак НЦ;</p>
<p>
	Металлокаркас покрыт порошковой краской цвета 'слоновая кость';</p>
<p>
	<strong>Регулируется по высоте: 26 см (1 р";"<p>
	Максимальные габариты: 30*33*63 см;</p>
<p>
	Спинка и сиденье: фанера 9 мм, покрытие: краска акриловая (цвет на выбор заказчика), полиэфир или лак НЦ;</p>
<p>
	Металлокаркас покрыт порошковой краской цвета 'слоновая кость';</p>
<p>
	<strong>Регулируется по высоте: 26 см (1 р.г.), 30 см (2 р.г.) или 34 см (3 р.г.);</strong></p>
<p>
	Стул соответствует ГОСТ и эргономическим требованиям.</p>";"";"Стул детский регул. на металлокаркасе (1-3 р.г.) краска";"";"";"stul-detskiy-regul-na-metallokarkase-1-3-rg-kraska";"";"";"http://www.pelikan-7.ru/image/cache/data/5/regul met с-500x500.jpg";"";"";"";"";"";"";"";"";"";"";""
"Стенд для ИЗО";"";"14.12";"RUB";"2350";"1";"";"";"<p>
	Рассчитан на 6 листов формата А4";"<p>
	Рассчитан на 6 листов формата А4.</p>
<p>
	Декор изготовлен из фанеры.</p>
<p>
	Для окрашивания применены акриловые краски.</p>
<p>
	Защитный слой - акриловый или нитро лаки.</p>";"";"Стенд для ИЗО";"";"";"stend-dlya-izo";"";"";"http://www.pelikan-7.ru/image/cache/data/14/20160220_112405-3-500x500.jpg";"http://www.pelikan-7.ru/image/cache/data/14/20160220_112802-2-500x500.jpg";"";"";"";"";"";"";"";"";"";""
