Наименование;"Наименование артикула";"Код артикула";Валюта;Цена;"Доступен для заказа";"Зачеркнутая цена";"Закупочная цена";"Краткое описание";Описание;Теги;Заголовок;"Тип товаров""META Keywords";"META Description";"Ссылка на витрину";Производитель;Объем;Размеры;"Возраст детей";Страна-производитель;Материал;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения
"Temporary2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"!IgrRu";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"!!'ИГРАЕМ ВМЕСТЕ' ЖЕЛЕЗНЫЕ ДОРОГИ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"ЖЕЛЕЗНАЯ ДОРОГА 'ИГРАЕМ ВМЕСТЕ' 'КРАСНАЯ СТРЕЛА' С ДЫМОМ, СВЕТ+ЗВУК В КОР. 49*30*7СМ в кор.12шт";"";"SBT-A144-H06049-R1";"RUB";"1008,00";"1";"";"";"ЖЕЛЕЗНАЯ ДОРОГА 'ИГРАЕМ ВМЕСТЕ' 'КРАСНАЯ СТРЕЛА' НА БАТ";"ЖЕЛЕЗНАЯ ДОРОГА 'ИГРАЕМ ВМЕСТЕ' 'КРАСНАЯ СТРЕЛА' НА БАТ. С ДЫМОМ, СВЕТ+ЗВУК, ДЛИНА ПОЛОТНА 282СМ В РУСС. КОР. 49*30*7СМ в кор.12шт";"";"ЖЕЛЕЗНАЯ ДОРОГА 'ИГРАЕМ ВМЕСТЕ' 'КРАСНАЯ СТРЕЛА' С ДЫМОМ, СВЕТ+ЗВУК В КОР. 49*30*7СМ в кор.12шт";"";"";"zheleznaya-doroga-igraem-vmeste-krasnaya-strela-s-dymom-svetzvuk-v-kor-49307sm-v-kor12sht-sbt-999213828";"";"";"";"";"";"";"http://img.simba-trade.ru/site1/191729_c.jpg";"http://img.simba-trade.ru/site1/a191729_c.jpg";"";"";"";"";"";"";"";"";"";"";"";"";""
"ЖЕЛЕЗНАЯ ДОРОГА 'ИГРАЕМ ВМЕСТЕ' НА БАТ. СВЕТ+ЗВУК, С ВОЕННОЙ ТЕХНИКОЙ В РУСС. КОР. в кор.2*12шт";"";"SBT-B647475-R";"RUB";"948,24";"1";"";"";"ЖЕЛЕЗНАЯ ДОРОГА 'ИГРАЕМ ВМЕСТЕ' НА БАТ";"ЖЕЛЕЗНАЯ ДОРОГА 'ИГРАЕМ ВМЕСТЕ' НА БАТ. СВЕТ+ЗВУК, С ВОЕННОЙ ТЕХНИКОЙ В РУСС. КОР. в кор.2*12шт Железная дорога с военной техникой от российского бренда «Играем вместе» - замечательный набор представленный фрагментами железнодорожного полотна для сборки, локомотива с вагоном и военной техникой. Поезд выкрашен в маскировочный цвет, все элементы выполнены с подробной детализацией. Звуковые эффекты: стук колес и сигнальный гудок приведут в восторг малышей, а освещающий путь фонарь добавит игрушке реалистичности. Работает от батареек типа АА (в комплект не входят).";"";"ЖЕЛЕЗНАЯ ДОРОГА 'ИГРАЕМ ВМЕСТЕ' НА БАТ. СВЕТ+ЗВУК, С ВОЕННОЙ ТЕХНИКОЙ В РУСС. КОР. в кор.2*12шт";"";"";"zheleznaya-doroga-igraem-vmeste-na-bat-svetzvuk-s-voennoy-tekhnikoy-v-russ-kor-v-kor212sht-sbt-1083980988";"";"";"";"";"";"";"http://img.simba-trade.ru/site1/219135_c.jpg";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"ЖЕЛЕЗНАЯ ДОРОГА 'ИГРАЕМ ВМЕСТЕ' НА БАТ. СО СВЕТОМ И ЗВУКОМ, ДЛИНА ПОЛОТНА 416СМ В КОР. в кор.12шт";"";"SBT-9662T";"RUB";"2358,00";"1";"";"";"ЖЕЛЕЗНАЯ ДОРОГА 'ИГРАЕМ ВМЕСТЕ' НА БАТ";"ЖЕЛЕЗНАЯ ДОРОГА 'ИГРАЕМ ВМЕСТЕ' НА БАТ. СО СВЕТОМ И ЗВУКОМ, ПОЕЗД МЕТРО, 2 ВАГОНА, ДЛИНА ПОЛОТНА 416СМ В РУСС. КОР. в кор.12шт";"";"ЖЕЛЕЗНАЯ ДОРОГА 'ИГРАЕМ ВМЕСТЕ' НА БАТ. СО СВЕТОМ И ЗВУКОМ, ДЛИНА ПОЛОТНА 416СМ В КОР. в кор.12шт";"";"";"zheleznaya-doroga-igraem-vmeste-na-bat-so-svetom-i-zvukom-dlina-polotna-416sm-v-kor-v-kor12sht-sbt-1664119641";"";"";"";"";"";"";"http://img.simba-trade.ru/site1/184000_c.jpg";"http://img.simba-trade.ru/site1/a184000_c.jpg";"";"";"";"";"";"";"";"";"";"";"";"";""
"ЖЕЛЕЗНАЯ ДОРОГА РЖД 'ИГРАЕМ ВМЕСТЕ' 'САПСАН' НА БАТ. СВЕТ+ЗВУК, ДЛИНА 450СМ В РУСС. КОР. в кор.12шт";"";"SBT-9687-08 (RUS)";"RUB";"1933,20";"1";"";"";"ЖЕЛЕЗНАЯ ДОРОГА 'ИГРАЕМ ВМЕСТЕ' 'ВЫСОКОСКОРОСТНОЙ ПОЕЗД САПСАН' НА БАТ";"ЖЕЛЕЗНАЯ ДОРОГА 'ИГРАЕМ ВМЕСТЕ' 'ВЫСОКОСКОРОСТНОЙ ПОЕЗД САПСАН' НА БАТ. СВЕТ+ЗВУК, ДЛИНА ПОЛОТНА 450СМ, 15ДЕТ. В РУСС. КОР. в кор.12шт     ЛИЦЕНЗИЯ РЖД. ЗВУК ДВИЖЕНИЯ ПОЕЗДА. ДВИЖЕНИЕ ВПЕРЕД/НАЗАД. СВЕТЯТСЯ ФАРЫ. СТАНЦИЯ В КОМПЛЕКТЕ. 2 ЛОКОМОТИВА, 1 ВАГОН.";"";"ЖЕЛЕЗНАЯ ДОРОГА РЖД 'ИГРАЕМ ВМЕСТЕ' 'САПСАН' НА БАТ. СВЕТ+ЗВУК, ДЛИНА 450СМ В РУСС. КОР. в кор.12шт";"";"";"zheleznaya-doroga-rzhd-igraem-vmeste-sapsan-na-bat-svetzvuk-dlina-450sm-v-russ-kor-v-kor12sht-sbt-1030894894";"";"";"";"";"";"";"http://img.simba-trade.ru/site1/171690_c.jpg";"http://img.simba-trade.ru/site1/a171690_c.jpg";"http://img.simba-trade.ru/site1/b171690_c.jpg";"";"";"";"";"";"";"";"";"";"";"";""
"ЖЕЛЕЗНАЯ ДОРОГА 'ИГРАЕМ ВМЕСТЕ' 'КРАСНАЯ СТРЕЛА' НА БАТ. СВЕТ+ЗВУК+ДЫМ 528 В КОР 38*26*7СМв кор.24шт";"";"SBT-A144-H06045-R";"RUB";"838,00";"1";"";"";"ЖЕЛЕЗНАЯ ДОРОГА 'ИГРАЕМ ВМЕСТЕ' 'КРАСНАЯ СТРЕЛА' НА БАТ";"ЖЕЛЕЗНАЯ ДОРОГА 'ИГРАЕМ ВМЕСТЕ' 'КРАСНАЯ СТРЕЛА' НА БАТ. С ДЫМОМ, СО СВЕТОМ И ЗВУКОМ, РУССИФИЦ., ДЛИНА ПОЛОТНА 282СМ 528 В РУСС. КОР. 38*26*7СМ в кор.24шт";"";"ЖЕЛЕЗНАЯ ДОРОГА 'ИГРАЕМ ВМЕСТЕ' 'КРАСНАЯ СТРЕЛА' НА БАТ. СВЕТ+ЗВУК+ДЫМ 528 В КОР 38*26*7СМв кор.24шт";"";"";"zheleznaya-doroga-igraem-vmeste-krasnaya-strela-na-bat-svetzvukdym-528-v-kor-38267smv-kor24sht-sbt-1162697734";"";"";"";"";"";"";"http://img.simba-trade.ru/site1/186354_c.jpg";"http://img.simba-trade.ru/site1/a186354_c.jpg";"http://img.simba-trade.ru/site1/b186354_c.jpg";"";"";"";"";"";"";"";"";"";"";"";""
"ЖЕЛЕЗНАЯ ДОРОГА 'ИГРАЕМ ВМЕСТЕ' 'ЧЕБУРАШКА И ЕГО ДРУЗЬЯ' НА БАТ. 1940 В КОР. 30*17СМ в кор.2*24шт";"";"SBT-B70872-R";"RUB";"319,50";"1";"";"";"ЖЕЛЕЗНАЯ ДОРОГА 'ИГРАЕМ ВМЕСТЕ' 'ЧЕБУРАШКА И ЕГО ДРУЗЬЯ' НА БАТ";"ЖЕЛЕЗНАЯ ДОРОГА 'ИГРАЕМ ВМЕСТЕ' 'ЧЕБУРАШКА И ЕГО ДРУЗЬЯ' НА БАТ., ДЛИНА ПОЛОТНА 180СМ 1940 В РУСС. КОР. 30*17СМ в кор.2*24шт";"";"ЖЕЛЕЗНАЯ ДОРОГА 'ИГРАЕМ ВМЕСТЕ' 'ЧЕБУРАШКА И ЕГО ДРУЗЬЯ' НА БАТ. 1940 В КОР. 30*17СМ в кор.2*24шт";"";"";"zheleznaya-doroga-igraem-vmeste-cheburashka-i-ego-druzya-na-bat-1940-v-kor-3017sm-v-kor224sht-sbt-1328919596";"";"";"";"";"";"";"http://img.simba-trade.ru/site1/183249_c.jpg";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"ЖЕЛЕЗНАЯ ДОРОГА 'ИГРАЕМ ВМЕСТЕ' 'КРАСНАЯ СТРЕЛА' ОЗВУЧ., 360СМ В РУСС. КОР. 45*29СМ в кор.24шт";"";"SBT-B271381-R";"RUB";"982,00";"1";"";"";"ЖЕЛЕЗНАЯ ДОРОГА 'ИГРАЕМ ВМЕСТЕ' 'КРАСНАЯ СТРЕЛА' НА БАТ";"ЖЕЛЕЗНАЯ ДОРОГА 'ИГРАЕМ ВМЕСТЕ' 'КРАСНАЯ СТРЕЛА' НА БАТ. ОЗВУЧ., С АКСЕСС., ДЛИНА ПОЛОТНА 360СМ В РУСС. КОР. 45*29СМ в кор.24шт   ЖЕЛЕЗНАЯ ДОРОГА 'КРАСНАЯ СТРЕЛА' НА БАТАРЕЙКАХ. В НАБОРЕ: ЛОКОМОТИВ, ЦИСТЕРНА, 2 ГРУЗОВЫХ ВАГОНА, ДОРОЖНЫЕ ЗНАКИ. РЕАЛИСТИЧНЫЕ ЗВУКИ ДВИЖЕНИЯ ПОЕЗДА, ДЛИНА Ж/Д ПОЛОТНА 355 СМ.";"";"ЖЕЛЕЗНАЯ ДОРОГА 'ИГРАЕМ ВМЕСТЕ' 'КРАСНАЯ СТРЕЛА' ОЗВУЧ., 360СМ В РУСС. КОР. 45*29СМ в кор.24шт";"";"";"zheleznaya-doroga-igraem-vmeste-krasnaya-strela-ozvuch-360sm-v-russ-kor-4529sm-v-kor24sht-sbt-1862748849";"";"";"";"";"";"";"http://img.simba-trade.ru/site1/168442_c.jpg";"http://img.simba-trade.ru/site1/a168442_c.jpg";"";"";"";"";"";"";"";"";"";"";"";"";""
"ЖЕЛЕЗНАЯ ДОРОГА 'ИГРАЕМ ВМЕСТЕ' 'НУ, ПОГОДИ!' НА БАТ. 18008C-1 В РУСС. КОР. 28*21*6СМ в кор.2*15шт";"";"SBT-B199134-R";"RUB";"449,28";"1";"";"";"ЖЕЛЕЗНАЯ ДОРОГА 'ИГРАЕМ ВМЕСТЕ' 'НУ, ПОГОДИ!' НА БАТ";"ЖЕЛЕЗНАЯ ДОРОГА 'ИГРАЕМ ВМЕСТЕ' 'НУ, ПОГОДИ!' НА БАТ. С АКСЕСС., ЦВЕТ В АССОРТ. 18008C-1 В РУСС. КОР. 28*21*6СМ в кор.2*15шт";"";"ЖЕЛЕЗНАЯ ДОРОГА 'ИГРАЕМ ВМЕСТЕ' 'НУ, ПОГОДИ!' НА БАТ. 18008C-1 В РУСС. КОР. 28*21*6СМ в кор.2*15шт";"";"";"zheleznaya-doroga-igraem-vmeste-nu-pogodi-na-bat-18008c-1-v-russ-kor-28216sm-v-kor215sht-sbt-1233010301";"";"";"";"";"";"";"http://img.simba-trade.ru/site1/142186_c.jpg";"http://img.simba-trade.ru/site1/a142186_c.jpg";"";"";"";"";"";"";"";"";"";"";"";"";""
"ЖЕЛЕЗНАЯ ДОРОГА 'ИГРАЕМ ВМЕСТЕ' НА БАТ. В РУСС. КОР. 22,5*21*3,5СМ в кор.2*48шт";"";"SBT-B1264948-R";"RUB";"256,80";"1";"";"";"";"";"";"ЖЕЛЕЗНАЯ ДОРОГА 'ИГРАЕМ ВМЕСТЕ' НА БАТ. В РУСС. КОР. 22,5*21*3,5СМ в кор.2*48шт";"";"";"zheleznaya-doroga-igraem-vmeste-na-bat-v-russ-kor-2252135sm-v-kor248sht-sbt-481102944";"";"";"";"";"";"";"http://img.simba-trade.ru/site1/205733_c.jpg";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"ЖЕЛЕЗНАЯ ДОРОГА 'ИГРАЕМ ВМЕСТЕ' РЖД 'САПСАН' СО СВЕТОМ, 260СМ В РУСС. КОР 20,5*46,5*4СМ в кор.2*18шт";"";"SBT-B1198284-R";"RUB";"729,60";"1";"";"";"ЖЕЛЕЗНАЯ ДОРОГА 'ИГРАЕМ ВМЕСТЕ' РЖД 'САПСАН' НА БАТ";"ЖЕЛЕЗНАЯ ДОРОГА 'ИГРАЕМ ВМЕСТЕ' РЖД 'САПСАН' НА БАТ. СО СВЕТОМ, ДЛИНА ПОЛОТНА 260СМ В РУСС. КОР. 20,5*46,5*4СМ в кор.2*18шт";"";"ЖЕЛЕЗНАЯ ДОРОГА 'ИГРАЕМ ВМЕСТЕ' РЖД 'САПСАН' СО СВЕТОМ, 260СМ В РУСС. КОР 20,5*46,5*4СМ в кор.2*18шт";"";"";"zheleznaya-doroga-igraem-vmeste-rzhd-sapsan-so-svetom-260sm-v-russ-kor-2054654sm-v-kor218sht-sbt-1474782124";"";"";"";"";"";"";"http://img.simba-trade.ru/site1/215157_c.jpg";"";"";"";"";"";"";"";"";"";"";"";"";"";""
