Наименование;"Наименование артикула";"Код артикула";Валюта;Цена;"Доступен для заказа";"Зачеркнутая цена";"Закупочная цена";"Краткое описание";Описание;Теги;Заголовок;"Тип товаров""META Keywords";"META Description";"Ссылка на витрину";Производитель;Объем;Размеры;"Возраст детей";Страна-производитель;Материал;Изображения;Изображения;Изображения;Изображения
"Волшебная Сакура Bondibon";"";"ВВ1307";"RUB";"315.00";"1";"";"";"";"<tr>
								<td class='catalog-detail-desc'>
											<span itemprop='description'>Волшебная Сакура Bondibon</span>
						<div class='catalog-detail-line'></div>
														</td>
			</tr>";"";"Волшебная Сакура Bondibon";"";"";"volshebnaya-sakura-bondibonvv1307";"";"";"18x1x21";"";"";"";"http://www.gratwest.ru/linkpics/104/104233_2.jpg";"";"";""
"Французские опыты Науки с Буки,  Bondibon,  Волшебный аромат ,  арт.  WS/08L";"";"ВВ1033";"RUB";"950.40";"1";"";"";"";"<iframe width='560' height='315' src='//www.youtube.com/embed/1TvO0pUm4o8' frameborder='0' allowfullscreen=''></iframe>
<br>
Нет ничего милее, чем наблюдать за тем, как юное очарование пытается стать еще очаровательнее, подражая своей старшей сестре или маме. Обязательным ритуалом каждой модницы – прелестницы становится, конечно же, «последних штрих» - капелька ароматных духов, без которого просто противопоказано выходить в свет! 
Этот набор поможет узнать совершенно все секреты, которые спрятаны в таких притягательных маминых флакончиках с духами.  А знать секрет волшебного аромата может только тот, кто самостоятельно создал этот аромат!
Разве это не пик мастерства -  сделать саше из геля, создать свои самые первые духи, создать свои неповторимые авторские ароматы. И конечно же продемонстрировать свое умение подружкам и маме с папой, преподнеся им подарок хенд мей.

			<tr>
								<td class='catalog-detail-desc'>
											<span itemprop='description'>Французские опыты Науки с Буки, Bondibon, Волшебный аромат , арт. WS/08L</span>
						<div class='catalog-detail-line'></div>
														</td>
			</tr>";"";"Французские опыты Науки с Буки,  Bondibon,  Волшебный аромат ,  арт.  WS/08L";"";"";"frantsuzskie-opyty-nauki-s-buki--bondibon--volshebnyy-aromat---art--ws08lvv1033";"";"";"27x6x26.5";"";"";"";"http://www.gratwest.ru/linkpics/088/088478_2.jpg";"http://www.gratwest.ru/linkpics/088/088478_3b.jpg";"http://www.gratwest.ru/linkpics/088/088478_4b.jpg";""
"Французские опыты Науки с Буки BONDIBON Брахиозавр,  арт.";"";"ВВ1998";"RUB";"485.40";"1";"";"";"";"<tr>
								<td class='catalog-detail-desc'>
											<span itemprop='description'>Французские опыты Науки с Буки BONDIBON Брахиозавр, арт.</span>
						<div class='catalog-detail-line'></div>
														</td>
			</tr>";"";"Французские опыты Науки с Буки BONDIBON Брахиозавр,  арт.";"";"";"frantsuzskie-opyty-nauki-s-buki-bondibon-brakhiozavr--artvv1998";"";"";"20.5x5x12.8";"";"";"";"http://www.gratwest.ru/linkpics/119/119736_2.jpg";"http://www.gratwest.ru/linkpics/119/119736_3b.jpg";"http://www.gratwest.ru/linkpics/119/119736_4b.jpg";""
"Французские опыты Науки с Буки BONDIBON Птерозавр,  арт.";"";"ВВ1999";"RUB";"485.40";"1";"";"";"";"<tr>
								<td class='catalog-detail-desc'>
											<span itemprop='description'>Французские опыты Науки с Буки BONDIBON Птерозавр, арт.</span>
						<div class='catalog-detail-line'></div>
														</td>
			</tr>";"";"Французские опыты Науки с Буки BONDIBON Птерозавр,  арт.";"";"";"frantsuzskie-opyty-nauki-s-buki-bondibon-pterozavr--artvv1999";"";"";"20.5x5x12.8";"";"";"";"http://www.gratwest.ru/linkpics/119/119737_2.jpg";"http://www.gratwest.ru/linkpics/119/119737_3b.jpg";"http://www.gratwest.ru/linkpics/119/119737_4b.jpg";""
"Французские опыты Науки с Буки BONDIBON,  Кузнечик";"";"ВВ2003";"RUB";"165.00";"1";"";"";"";"<tr>
								<td class='catalog-detail-desc'>
											<span itemprop='description'>Французские опыты Науки с Буки BONDIBON, Кузнечик</span>
						<div class='catalog-detail-line'></div>
														</td>
			</tr>";"";"Французские опыты Науки с Буки BONDIBON,  Кузнечик";"";"";"frantsuzskie-opyty-nauki-s-buki-bondibon--kuznechikvv2003";"";"";"3x9x17";"";"";"";"http://www.gratwest.ru/linkpics/120/120010_2.jpg";"http://www.gratwest.ru/linkpics/120/120010_3b.jpg";"http://www.gratwest.ru/linkpics/120/120010_4b.jpg";"http://www.gratwest.ru/linkpics/120/120010_5b.jpg"
"Французские опыты Науки с Буки Bondibon,  Планетарий,  арт.  EK-D002";"";"ВВ1675";"RUB";"486.60";"1";"";"";"";"<iframe width='560' height='315' src='https://www.youtube.com/embed/Q-aOUbr5MSs' frameborder='0' allowfullscreen=''></iframe>
<br>
Этот набор позволит собрать персональный домашний планетарий, который поможет ребенку изучать звезды и созвездия и делать первые астрономические открытия! После того, как ребенок соберет макет планетария, он сможет на куполе макета разглядеть удивительные созвездия. В состав набора входят корпус, колеса, защитный колпак (4 шт), ось заднего колеса, ось переднего колеса, переднее ограждение подвески, заднее ограждение подвески, багажник, инжектор, привод, помпа, тройниковый соединитель, 6 шурупов, отвертка, инструкция.
			<tr>
								<td class='catalog-detail-desc'>
											<span itemprop='description'>Французские опыты Науки с Буки Bondibon, Планетарий, арт. EK-D002</span>
						<div class='catalog-detail-line'></div>
														</td>
			</tr>";"";"Французские опыты Науки с Буки Bondibon,  Планетарий,  арт.  EK-D002";"";"";"frantsuzskie-opyty-nauki-s-buki-bondibon--planetariy--art--ek-d002vv1675";"";"";"22.4x6x16.5";"";"";"";"http://www.gratwest.ru/linkpics/111/111766_2.jpg";"http://www.gratwest.ru/linkpics/111/111766_3b.jpg";"http://www.gratwest.ru/linkpics/111/111766_4b.jpg";""
"Французские опыты Науки с Буки Bondibon Динозавры '2 в 1' арт. DINO DUO";"";"ВВ0966";"RUB";"1869.00";"1";"";"";"";"<iframe width='560' height='315' src='//www.youtube.com/embed/LQMQiqRv_Q8?list=UU4nbomaywgl4zsosYIuixHA' frameborder='0' allowfullscreen=''></iframe>
<br>
Узнавать интересные факты о полезных ископаемых и самому обнаружить динозавра можно в любом возрасте. Даже самые маленькие могут почувствовать себя палеонтологами, изучающими древний мир, с набором для проведения палеонтологических раскопок. 
Используя набор настоящих инструментов палеонтолога, ребенок сможет самостоятельно найти скелет самого древнего животного на Земле, очистить его от вековой пыли, а затем собрать реалистичную 3D-модель динозавра! 
Даже если с первого раза все получится неидеально, ничего страшного. Подробная инструкция покажет, как собранный скелет можно использовать для повторной игры. 
			<tr>
								<td class='catalog-detail-desc'>
											<span itemprop='description'>Французские опыты Науки с Буки Bondibon Динозавры '2 в 1' арт.DINO DUO</span>
						<div class='catalog-detail-line'></div>
														</td>
			</tr>";"";"Французские опыты Науки с Буки Bondibon Динозавры '2 в 1' арт. DINO DUO";"";"";"frantsuzskie-opyty-nauki-s-buki-bondibon-dinozavry-quot2-v-1quot-art-dino-duovv0966";"";"";"38x7.5x32";"";"";"";"http://www.gratwest.ru/linkpics/079/079999_2.jpg";"http://www.gratwest.ru/linkpics/079/079999_3b.jpg";"http://www.gratwest.ru/linkpics/079/079999_4b.jpg";""
"Французские опыты Науки с Буки BONDIBON Доктор (15 экспериментов) ,  арт.  7092";"";"ВВ1113";"RUB";"1484.40";"1";"";"";"";"<tr>
								<td class='catalog-detail-desc'>
											<span itemprop='description'>Французские опыты Науки с Буки BONDIBON Доктор (15 экспериментов) , арт. 7092</span>
						<div class='catalog-detail-line'></div>
														</td>
			</tr>";"";"Французские опыты Науки с Буки BONDIBON Доктор (15 экспериментов) ,  арт.  7092";"";"";"frantsuzskie-opyty-nauki-s-buki-bondibon-doktor-15-eksperimentov---art--7092vv1113";"";"";"27x6.5x24.5";"";"";"";"http://www.gratwest.ru/linkpics/093/093884_2.jpg";"http://www.gratwest.ru/linkpics/093/093884_3b.jpg";"http://www.gratwest.ru/linkpics/093/093884_4b.jpg";""
"Французские опыты Науки с Буки Bondibon,  Лаборатория Спа,  арт.  СМ047";"";"ВВ1051";"RUB";"2042.40";"1";"";"";"";"<iframe width='560' height='315' src='https://www.youtube.com/embed/rdd47xjy2AM' frameborder='0' allowfullscreen=''></iframe>
<br>
30 рецептов приготовления натуральной косметики – это просто клад для юной барышни, которая учится ухаживать за своим телом, волосами и  лицом! 
Как приготовить шампунь из яиц, как сделать подарочные варианты красивого и вкусного мыла, как приготовить из продуктов, которые есть на кухне, отличный крем, как создать самостоятельно шипучие бомбочки для ванн, средство для снятия макияжа или гель для душа и многое – многое другое – всему этому научит «Лаборатория СПА».
Ваши милые девочки останутся довольными, чистыми и вкусно пахнущими…
Для детей от 8 лет

			<tr>
								<td class='catalog-detail-desc'>
											<span itemprop='description'>Французские опыты Науки с Буки Bondibon, Лаборатория Спа, арт. СМ047</span>
						<div class='catalog-detail-line'></div>
														</td>
			</tr>";"";"Французские опыты Науки с Буки Bondibon,  Лаборатория Спа,  арт.  СМ047";"";"";"frantsuzskie-opyty-nauki-s-buki-bondibon--laboratoriya-spa--art--sm047vv1051";"";"";"37x7x32";"";"";"";"http://www.gratwest.ru/linkpics/090/090229_2.jpg";"http://www.gratwest.ru/linkpics/090/090229_3b.jpg";"http://www.gratwest.ru/linkpics/090/090229_4b.jpg";""
"Французские опыты Науки с Буки Bondibon,  Лаборатория электроники,  (6 экспериментов) арт.  7076";"";"ВВ1047";"RUB";"1377.00";"1";"";"";"";"<iframe width='560' height='315' src='https://www.youtube.com/embed/7QnuyjkLczE' frameborder='0' allowfullscreen=''></iframe>
<br>
Мир схем, таинственные лабиринты проводков и переключателей, законы физики и загадки электроники – все это есть в наборе «Лаборатория электроники». Электроника стала частью нашей повседневной жизни. Любой бытовой предмет, который мы берем в руки, наверняка имеет какую-либо свою микросхемку, хотя бы самую простую, а чаще сложную. 
Все составляющие этого набора используются в быту уже минимум 50 лет! НО как же важно понять, чем отличается электроника от просто электричества! Конечно же тем, что электроника позволяет перемещать по заданной цепи не только энергию, но еще и информацию. Используя этот набор можно понять самое важное в электронике, а именно – как электричество прходит через интегральные схемы!
С помощью такого набора  любопытный ребенок легко освоит простейшие законы физики.
Он показывает ребенку этот сложный мир посредствам сооружения простого оборудования – будильника, электрооргана, сирены, пожарной сигнализации, световых эффектов и радио.
Для детей от 8 лет
			<tr>
								<td class='catalog-detail-desc'>
											<span itemprop='description'>Французские опыты Науки с Буки Bondibon, Лаборатория электроники, (6 экспериментов) арт. 7076</span>
						<div class='catalog-detail-line'></div>
														</td>
			</tr>";"";"Французские опыты Науки с Буки Bondibon,  Лаборатория электроники,  (6 экспериментов) арт.  7076";"";"";"frantsuzskie-opyty-nauki-s-buki-bondibon--laboratoriya-elektroniki--6-eksperimentov-art--7076vv1047";"";"";"27x6x24";"";"";"";"http://www.gratwest.ru/linkpics/090/090226_2.jpg";"http://www.gratwest.ru/linkpics/090/090226_3b.jpg";"http://www.gratwest.ru/linkpics/090/090226_4b.jpg";""
"Французские опыты Науки с Буки Bondibon,  Охотники за динозаврами,  арт.  WS/85L";"";"ВВ2016";"RUB";"986.40";"1";"";"";"";"<tr>
								<td class='catalog-detail-desc'>
											<span itemprop='description'>Французские опыты Науки с Буки Bondibon, Охотники за динозаврами, арт. WS/85L</span>
						<div class='catalog-detail-line'></div>
														</td>
			</tr>";"";"Французские опыты Науки с Буки Bondibon,  Охотники за динозаврами,  арт.  WS/85L";"";"";"frantsuzskie-opyty-nauki-s-buki-bondibon--okhotniki-za-dinozavrami--art--ws85lvv2016";"";"";"26.7x6.5x27";"";"";"";"http://www.gratwest.ru/linkpics/120/120881_2.jpg";"http://www.gratwest.ru/linkpics/120/120881_5b.jpg";"";""
"Французские опыты,  Науки с Буки,  Исследователь насекомых,  арт BL033";"";"ВВ1045";"RUB";"1369.20";"1";"";"";"";"<iframe width='560' height='315' src='//www.youtube.com/embed/eyRZcCqbt6w' frameborder='0' allowfullscreen=''></iframe>
<br>
Ваш малыш все настойчивее изучает окружающий мир? Прекрасно! Ему в этом стоит помочь, приобретя все необходимое для того, чтобы прогулка во дворе или в парке была познавательной, безопасной, интересной и запоминающейся. Плюс ко всему, любое проявление и стремление что-то изучать необходимо активно, а главное – грамотно, поддержать! Набор для юного биолога «Исследователь насекомых» позволит не только прочесть много нового и интересного о мире насекомых, но и научит пользоваться контейнером для переноски насекомых и всеми другими приспособлениями для их изучения. 
Муравьи, кузнечики, бабочки, божьи коровки, мухи – объекты изучения и рассказов, игр и экспериментов!
 Для детей от 7 лет
			<tr>
								<td class='catalog-detail-desc'>
											<span itemprop='description'>Французские опыты, Науки с Буки, Исследователь насекомых, арт BL033</span>
						<div class='catalog-detail-line'></div>
														</td>
			</tr>";"";"Французские опыты,  Науки с Буки,  Исследователь насекомых,  арт BL033";"";"";"frantsuzskie-opyty--nauki-s-buki--issledovatel-nasekomykh--art-bl033vv1045";"";"";"24x15.5x18";"";"";"";"http://www.gratwest.ru/linkpics/089/089030_2.jpg";"http://www.gratwest.ru/linkpics/089/089030_3b.jpg";"http://www.gratwest.ru/linkpics/089/089030_5b.jpg";""
"Французские опыты Науки с Буки Bondibon,  Лаборатория УФО ,  арт.  WS/102L";"";"ВВ1653";"RUB";"972.00";"1";"";"";"";"<iframe width='560' height='315' src='https://www.youtube.com/embed/cTiYe0pc_eQ' frameborder='0' allowfullscreen=''></iframe>
<br>
Этот набор позволит ребенку почувствовать себя экзобиологом – то есть ученым, который ищет жизни на других планетах! С набором можно проделать множество полимерно-гелиевых опытов, и создать макет инопланетной формы жизни! Иллюстрированная инструкция расскажет много интересного и нового о полименой химии, диффузии и космосе! В состав набора входят 4 гр альгината натрия, большая емкость, 10 гр хлорида кальция, 5 гр перламутра, красный, синий и желтый красители, рабочая станция, 3 пипетки, 3 палочки для смешивания, ложечка, пинцет, шприц, нож, стакан, очки, маска, пара перчаток, инструкция.
			<tr>
								<td class='catalog-detail-desc'>
											<span itemprop='description'>Французские опыты Науки с Буки Bondibon, Лаборатория УФО , арт. WS/102L</span>
						<div class='catalog-detail-line'></div>
														</td>
			</tr>";"";"Французские опыты Науки с Буки Bondibon,  Лаборатория УФО ,  арт.  WS/102L";"";"";"frantsuzskie-opyty-nauki-s-buki-bondibon--laboratoriya-ufo---art--ws102lvv1653";"";"";"26x6.5x27";"";"";"";"http://www.gratwest.ru/linkpics/111/111380_2.jpg";"http://www.gratwest.ru/linkpics/111/111380_3b.jpg";"http://www.gratwest.ru/linkpics/111/111380_4b.jpg";""
"Японские опыты Науки с Буки BONDIBON,  Электромагниты,  арт. 196455";"";"ВВ1457";"RUB";"558.60";"1";"";"";"";"<tr>
								<td class='catalog-detail-desc'>
											<span itemprop='description'>Японские опыты Науки с Буки BONDIBON, Электромагниты, арт.196455</span>
						<div class='catalog-detail-line'></div>
														</td>
			</tr>";"";"Японские опыты Науки с Буки BONDIBON,  Электромагниты,  арт. 196455";"";"";"yaponskie-opyty-nauki-s-buki-bondibon--elektromagnity--art-196455vv1457";"";"";"14x6x21";"";"";"";"http://www.gratwest.ru/linkpics/106/106966_2.jpg";"http://www.gratwest.ru/linkpics/106/106966_3b.jpg";"http://www.gratwest.ru/linkpics/106/106966_4b.jpg";""
"Французские опыты Науки с Буки,  Bondibon,  Штучки-шипучки ,  арт.  WS/05L";"";"ВВ1032";"RUB";"967.20";"1";"";"";"";"<iframe width='560' height='315' src='//www.youtube.com/embed/nuiiPtIPn4I' frameborder='0' allowfullscreen=''></iframe>
<br>
Каждая девочка обожает всякого рода штучки!
А Штучки-шипучки – это просто праздник для веселой и озорной малышки, обожающей не только химические опыты, но и вкусные пенные ванны, например.
Именно для таких целей создан этот набор!
С его помощью можно создать:
• Красивые и приятные штучки-шипучки для принятия ванн
• Волшебные вещицы, способные удивить и поразить окружающих
• Бесконечно извергающиеся вулканы
• Новые причудливые и замысловатые теории химии
Удачных опытов и приятных водных процедур! 
Для детей от 8 лет
			<tr>
								<td class='catalog-detail-desc'>
											<span itemprop='description'>Французские опыты Науки с Буки, Bondibon, Штучки-шипучки , арт. WS/05L</span>
						<div class='catalog-detail-line'></div>
														</td>
			</tr>";"";"Французские опыты Науки с Буки,  Bondibon,  Штучки-шипучки ,  арт.  WS/05L";"";"";"frantsuzskie-opyty-nauki-s-buki--bondibon--shtuchki-shipuchki---art--ws05lvv1032";"";"";"27x6x26.5";"";"";"";"http://www.gratwest.ru/linkpics/088/088477_2.jpg";"http://www.gratwest.ru/linkpics/088/088477_3b.jpg";"http://www.gratwest.ru/linkpics/088/088477_4b.jpg";""
"Французские опыты Науки с Буки Bondibon (30 экспериментов) Лаборатория шоколада арт. 7066";"";"ВВ0995";"RUB";"1642.80";"1";"";"";"";"<iframe width='560' height='315' src='//www.youtube.com/embed/BtwMhtVPXeE?list=PL7IgAu-GiRDAkKB7J4pWnJikf735gaJ2V' frameborder='0' allowfullscreen=''></iframe>
<br>
Загляните в нашу лабораторию шоколада!
С помощью этого развлекательно-познавательного набора можно приготовить 30 различных шоколадных рецептов! 
Дети смогут узнать увлекательные факты из истории шоколада, изучить всю механику производства шоколада из какао-бобов и узнать о различных видах  самого популярного сладкого и ароматного продукта.
Дети в компании с родителями смогут сами растопить шоколад, окрасить его в различные цвета, изготовить шоколадки различных форм и размеров, использовать начинки и даже приготовить горячие напитки на основе шоколада! 
Используйте нарядные  подарочные коробочки из набора и упакуйте кулинарные шедевры. Близкие люди будут очень рады самодельному шоколадному подарку! 



			<tr>
								<td class='catalog-detail-desc'>
											<span itemprop='description'>Французские опыты Науки с Буки Bondibon (30 экспериментов) Лаборатория шоколада арт.7066</span>
						<div class='catalog-detail-line'></div>
														</td>
			</tr>";"";"Французские опыты Науки с Буки Bondibon (30 экспериментов) Лаборатория шоколада арт. 7066";"";"";"frantsuzskie-opyty-nauki-s-buki-bondibon-30-eksperimentov-laboratoriya-shokolada-art-7066vv0995";"";"";"37x7x32";"";"";"";"http://www.gratwest.ru/linkpics/082/082872_2.jpg";"http://www.gratwest.ru/linkpics/082/082872_3b.jpg";"http://www.gratwest.ru/linkpics/082/082872_4b.jpg";""
"Японские опыты Науки с Буки BONDIBON,  Тайны природы,  арт. 196411";"";"ВВ1453";"RUB";"422.40";"1";"";"";"";"<tr>
								<td class='catalog-detail-desc'>
											<span itemprop='description'>Японские опыты Науки с Буки BONDIBON, Тайны природы, арт.196411</span>
						<div class='catalog-detail-line'></div>
														</td>
			</tr>";"";"Японские опыты Науки с Буки BONDIBON,  Тайны природы,  арт. 196411";"";"";"yaponskie-opyty-nauki-s-buki-bondibon--tayny-prirody--art-196411vv1453";"";"";"13.5x4.5x20.5";"";"";"";"http://www.gratwest.ru/linkpics/106/106962_2.jpg";"http://www.gratwest.ru/linkpics/106/106962_3b.jpg";"http://www.gratwest.ru/linkpics/106/106962_4b.jpg";""
"Французские опыты Науки с Буки,  BONDIBON,  Мастерская мыла ,  арт.  WS/920";"";"ВВ1338";"RUB";"587.40";"1";"";"";"";"<tr>
								<td class='catalog-detail-desc'>
											<span itemprop='description'>Французские опыты Науки с Буки, BONDIBON, Мастерская мыла , арт. WS/920</span>
						<div class='catalog-detail-line'></div>
														</td>
			</tr>";"";"Французские опыты Науки с Буки,  BONDIBON,  Мастерская мыла ,  арт.  WS/920";"";"";"frantsuzskie-opyty-nauki-s-buki--bondibon--masterskaya-myla---art--ws920vv1338";"";"";"13x7x21";"";"";"";"http://www.gratwest.ru/linkpics/105/105015_2.jpg";"http://www.gratwest.ru/linkpics/105/105015_3b.jpg";"http://www.gratwest.ru/linkpics/105/105015_4b.jpg";""
"Японские опыты Науки с Буки BONDIBON,  Модель человека,   арт.  196408";"";"ВВ1840";"RUB";"506.40";"1";"";"";"";"<iframe width='560' height='315' src='https://www.youtube.com/embed/EthKbI-5aJg' frameborder='0' allowfullscreen=''></iframe><br>
С помощью этого набора детям предстоит создавать модели внутренних органов согласно прилагаемой красочной инструкции. Каждый орган можно выполнить в определенном цвете. Вылепленные органы следует поместить в корпуса, повторяющие тело человека и тело рыбы, и с удивлением узнать, что, несмотря на огромную разницу во внешнем виде, некоторые внутренние органы человека и рыбы одинаковы! Набор поможет ребенку наглядно понять, как устроен организм человека. В состав набора входят корпус для органов человека, корпус для органов рыбы, корпус для тела человека, корпус для тела рыбы, глина четырех цветов, иллюстрированная инструкция.


			<tr>
								<td class='catalog-detail-desc'>
											<span itemprop='description'>Японские опыты Науки с Буки BONDIBON, Модель человека,  арт. 196408</span>
						<div class='catalog-detail-line'></div>
														</td>
			</tr>";"";"Японские опыты Науки с Буки BONDIBON,  Модель человека,   арт.  196408";"";"";"yaponskie-opyty-nauki-s-buki-bondibon--model-cheloveka---art--196408vv1840";"";"";"12.8x5x21";"";"";"";"http://www.gratwest.ru/linkpics/114/114622_2.jpg";"http://www.gratwest.ru/linkpics/114/114622_3b.jpg";"http://www.gratwest.ru/linkpics/114/114622_4b.jpg";""
"Японские опыты Науки с Буки BONDIBON,  Сила раствора,  арт. 196403";"";"ВВ1163";"RUB";"598.20";"1";"";"";"";"<iframe width='560' height='315' src='https://www.youtube.com/embed/FuueYipWITY' frameborder='0' allowfullscreen=''></iframe>
<br>
Многие дети хорошо знакомы с обычными электрическими батарейками. Они знают, что с помощью батареек можно включить фонарик или радиоприемник, запустить часы или игрушку. Но оказывается, батарейку можно сделать самому, если знать, каким образом она производит электричество, и какие химические реакции при этом происходят. Интересные научно-познавательные эксперименты из набора познакомят ребенка с силой раствора, который позволяет электричеству течь, а также научат юного экспериментатора определять положительный и отрицательный полюс батарейки. Осталось только правильно соединить самодельную батарейку с электроприбором – и он заработает!
			<tr>
								<td class='catalog-detail-desc'>
											<span itemprop='description'>Японские опыты Науки с Буки BONDIBON, Сила раствора, арт.196403</span>
						<div class='catalog-detail-line'></div>
														</td>
			</tr>";"";"Японские опыты Науки с Буки BONDIBON,  Сила раствора,  арт. 196403";"";"";"yaponskie-opyty-nauki-s-buki-bondibon--sila-rastvora--art-196403vv1163";"";"";"13x6x20.5";"";"";"";"http://www.gratwest.ru/linkpics/096/096533_2.jpg";"http://www.gratwest.ru/linkpics/096/096533_3b.jpg";"http://www.gratwest.ru/linkpics/096/096533_4b.jpg";""
"Французские опыты Науки с Буки,  BONDIBON,  Кристалл сердце ,  арт.  WS/917-2";"";"ВВ1339";"RUB";"613.80";"1";"";"";"";"<iframe width='560' height='315' src='https://www.youtube.com/embed/YhNNvR7XmEQ' frameborder='0' allowfullscreen=''></iframe>
<br>
Кристаллы – это твердые образования, которые могут принимать самые необычные формы. Набор «Фигурные кристаллы» предназначен для изготовления яркого и нестандартного кристалла в форме сердца, звезды или цветка! Для того чтобы вырастить такой кристалл, нужно неукоснительно следовать прилагаемой инструкции и терпеливо выполнять все необходимые действия.  Процесс выращивания кристалла займет около четырех дней. Полученный же кристалл сможет украсить любой интерьер или станет замечательным подарком, который будет означать глубину проявляемых тобой чувств!
			<tr>
								<td class='catalog-detail-desc'>
											<span itemprop='description'>Французские опыты Науки с Буки, BONDIBON, Кристалл сердце , арт. WS/917-2</span>
						<div class='catalog-detail-line'></div>
														</td>
			</tr>";"";"Французские опыты Науки с Буки,  BONDIBON,  Кристалл сердце ,  арт.  WS/917-2";"";"";"frantsuzskie-opyty-nauki-s-buki--bondibon--kristall-serdtse---art--ws917-2vv1339";"";"";"17.5x7x22";"";"";"";"http://www.gratwest.ru/linkpics/105/105016_2.jpg";"http://www.gratwest.ru/linkpics/105/105016_3b.jpg";"http://www.gratwest.ru/linkpics/105/105016_4b.jpg";""
"Французские опыты Науки с Буки Bondibon Домашний планетарий,  арт.  GK018";"";"ВВ1029";"RUB";"1300.80";"1";"";"";"";"<iframe width='560' height='315' src='//www.youtube.com/embed/Uvt6MHCiCsU?list=UU4nbomaywgl4zsosYIuixHA' frameborder='0' allowfullscreen=''></iframe>
<br>
Путешествия по галактике станут реальностью!
С помощью этого набора можно узнать все самое интересное о космосе, о том, что чувствует человек, находясь в космическом корабле в полной невесомости, как при этом действует его организм, что такое орбитальные космические станции, как они устроены, как спать, есть или принимать душ в космосе, что такое выход в открытый космос и многое, многое другое.
А еще можно собрать домашний планетарий самому и пользоваться им как настоящим!
Покупая такой набор ребенку, Вы расширяете его кругозор, учите самостоятельно получать новые знание, любить познавать все новое и интересное! 
			<tr>
								<td class='catalog-detail-desc'>
											<span itemprop='description'>Французские опыты Науки с Буки Bondibon Домашний планетарий, арт. GK018</span>
						<div class='catalog-detail-line'></div>
														</td>
			</tr>";"";"Французские опыты Науки с Буки Bondibon Домашний планетарий,  арт.  GK018";"";"";"frantsuzskie-opyty-nauki-s-buki-bondibon-domashniy-planetariy--art--gk018vv1029";"";"";"22x6x29";"";"";"";"http://www.gratwest.ru/linkpics/088/088153_2.jpg";"http://www.gratwest.ru/linkpics/088/088153_3b.jpg";"http://www.gratwest.ru/linkpics/088/088153_4b.jpg";"http://www.gratwest.ru/linkpics/088/088153_5b.jpg"
"Японские опыты Науки с Буки BONDIBON,  Игры с числами,  арт.  196408";"";"ВВ1838";"RUB";"497.40";"1";"";"";"";"<iframe width='560' height='315' src='https://www.youtube.com/embed/IuI5xjVEhF0' frameborder='0' allowfullscreen=''></iframe>
<br>
Набор «Игры с числами» расскажет и покажет, что же такое вес предметов, и сколько весят привычные вещи. Как использовать рычажные весы, и что это за прибор, влияет ли форма предмета на его вес, как уравновесить весы неравными грузами – эти и многие другие эксперименты можно произвести с помощью данного набора! В состав набора входят подставка, указатель, чаша весов, гирьки в виде цифр, стойка, коромысло весов, подпятник (ось вращения коромысла), нить, металлический крючок, корректирующий груз, иллюстрированная инструкция.



			<tr>
								<td class='catalog-detail-desc'>
											<span itemprop='description'>Японские опыты Науки с Буки BONDIBON, Игры с числами, арт. 196408</span>
						<div class='catalog-detail-line'></div>
														</td>
			</tr>";"";"Японские опыты Науки с Буки BONDIBON,  Игры с числами,  арт.  196408";"";"";"yaponskie-opyty-nauki-s-buki-bondibon--igry-s-chislami--art--196408vv1838";"";"";"12.8x5x21";"";"";"";"http://www.gratwest.ru/linkpics/114/114620_2.jpg";"http://www.gratwest.ru/linkpics/114/114620_3b.jpg";"http://www.gratwest.ru/linkpics/114/114620_4b.jpg";""
"Японские опыты Науки с Буки BONDIBON,  Свет и звук,  арт.  196471";"";"ВВ1460";"RUB";"619.80";"1";"";"";"";"<tr>
								<td class='catalog-detail-desc'>
											<span itemprop='description'>Японские опыты Науки с Буки BONDIBON, Свет и звук, арт. 196471</span>
						<div class='catalog-detail-line'></div>
														</td>
			</tr>";"";"Японские опыты Науки с Буки BONDIBON,  Свет и звук,  арт.  196471";"";"";"yaponskie-opyty-nauki-s-buki-bondibon--svet-i-zvuk--art--196471vv1460";"";"";"19.5x4x22.5";"";"";"";"http://www.gratwest.ru/linkpics/106/106969_2.jpg";"http://www.gratwest.ru/linkpics/106/106969_3b.jpg";"http://www.gratwest.ru/linkpics/106/106969_4b.jpg";""
