Наименование;"Наименование артикула";"Код артикула";Валюта;Цена;"Доступен для заказа";"Зачеркнутая цена";"Закупочная цена";"Краткое описание";Описание;Теги;Заголовок;"Тип товаров""META Keywords";"META Description";"Ссылка на витрину";Производитель;Объем;Размеры;"Возраст детей";Страна-производитель;Материал;Изображения;Изображения;Изображения;Изображения
"Французские опыты Науки с Буки Bondibon  Телескоп для путешествий ,  арт. КТ30т";"";"ВВ0945";"RUB";"1156.80";"1";"";"";"";"<iframe width='560' height='315' src='//www.youtube.com/embed/oyRZs5K1W9Y?list=PL7IgAu-GiRDAkKB7J4pWnJikf735gaJ2V' frameborder='0' allowfullscreen=''></iframe>
<br>
  Дети всегда очень любопытны и хотят всё знать. Рано или поздно они замечают как всходит и заходит Солнце, сменяют друг друга фазы Луны. Так или иначе, все дети начинают интересоваться астрономией.
Телескоп позволит осознать, что мир вокруг не ограничивается только планетой Земля, а позволит взглянуть на небо вооружённым глазом и понять, что Вселенная на самом деле очень большая!
Телескоп - это прекрасная возможность воспитать в ребенке созерцательность, наблюдательность и умение сосредотачиваться.
 


			<tr>
								<td class='catalog-detail-desc'>
											<span itemprop='description'>Французские опыты Науки с Буки Bondibon  Телескоп для путешествий , арт.КТ30т</span>
						<div class='catalog-detail-line'></div>
														</td>
			</tr>";"";"Французские опыты Науки с Буки Bondibon  Телескоп для путешествий ,  арт. КТ30т";"";"";"frantsuzskie-opyty-nauki-s-buki-bondibon--teleskop-dlya-puteshestviy---art-kt30tvv0945";"";"";"37x7x13";"";"";"";"http://www.gratwest.ru/linkpics/079/079778_2.jpg";"http://www.gratwest.ru/linkpics/079/079778_3b.jpg";"http://www.gratwest.ru/linkpics/079/079778_4b.jpg";""
"Французские опыты Науки с Буки Bondibon  Бабочка (эксперименты с солнечной энергией) ,  арт.  BL081";"";"ВВ0987";"RUB";"889.20";"1";"";"";"";"<iframe width='560' height='315'></iframe><iframe width='560' height='315' src='//www.youtube.com/embed/iROhw8ONQ5c?list=PL7IgAu-GiRDAkKB7J4pWnJikf735gaJ2V' frameborder='0' allowfullscreen=''></iframe>
<br>
Представьте себя на лугу, вокруг цветут ароматные травы и порхают разноцветные бабочки. Красота! Может стоит завести себе бабочку дома? С набором для самостоятельной сборки это стало реальностью! 
Ребенок с большим увлечением соберет конструкцию из ярких крыльев, которые можно разукрасить на собственный вкус, двигателя, солнечной батареи и присосок. 
Соберите всю конструкцию и разместите на стекле окна, которое хорошо освещено солнцем. И бабочка начнет махать крыльями! Эта красавица не только доставит эстетическое удовольствие, но и даст основы знания о солнечной энергии.  

			<tr>
								<td class='catalog-detail-desc'>
											<span itemprop='description'>Французские опыты Науки с Буки Bondibon  Бабочка (эксперименты с солнечной энергией) , арт. BL081</span>
						<div class='catalog-detail-line'></div>
														</td>
			</tr>";"";"Французские опыты Науки с Буки Bondibon  Бабочка (эксперименты с солнечной энергией) ,  арт.  BL081";"";"";"frantsuzskie-opyty-nauki-s-buki-bondibon--babochka-eksperimenty-s-solnechnoy-energiey---art--bl081vv0987";"";"";"16.5x7x19.5";"";"";"";"http://www.gratwest.ru/linkpics/081/081981_2.jpg";"http://www.gratwest.ru/linkpics/081/081981_3b.jpg";"http://www.gratwest.ru/linkpics/081/081981_4b.jpg";""
"Французские опыты Науки с Буки Bondibon,  Супер викторина арт.  8361";"";"ВВ1048";"RUB";"2094.60";"1";"";"";"";"<iframe width='560' height='315' src='//www.youtube.com/embed/4TyPfRf2QKs?list=UU4nbomaywgl4zsosYIuixHA' frameborder='0' allowfullscreen=''></iframe>
<p>Супер викторина – это семейная игра!
Так увлекательно и дружно проводить время всей семьей или большой компанией не всегда удается, как с этой игрой! Можно придумать любой приз, который достанется победителю! Но и сама игра настолько увлекательная, что главным призом станет само настроение и веселая дружеская обстановка, к которым располагает такая полезная и во всех смыслах дружная игра! Особенно она полезна в непогоду, в длинные зимние морозные выходные  дни или на каникулах…

Большой и очень интересный набор, в который входит игровое поле, карточки разного вида, фишки, игральный кубик и еще много всякого рода интересный и важных вещей, например пробирки, индикаторы, воронки, шприцы и так далее. А помимо имеющегося материала в наборе, вам потребуются и обычные домашние предметы и продукты. Скучно не будет никому!
Цель игры – обойди доску и выиграй суперкубок!
Играть может от двух до шести человек.

Игра происходит по 4 видам карточек.
Следуя инструкции, игроки познакомятся постепенно с 480 экспериментами и вопросами!
Победителем становится тот, кто первым выполнит четыре задания суперкубка!
Для детей от 9 лет </p>

			<tr>
								<td class='catalog-detail-desc'>
											<span itemprop='description'>Французские опыты Науки с Буки Bondibon, Супер викторина арт. 8361</span>
						<div class='catalog-detail-line'></div>
														</td>
			</tr>";"";"Французские опыты Науки с Буки Bondibon,  Супер викторина арт.  8361";"";"";"frantsuzskie-opyty-nauki-s-buki-bondibon--super-viktorina-art--8361vv1048";"";"";"38x7x32";"";"";"";"http://www.gratwest.ru/linkpics/090/090227_2.jpg";"http://www.gratwest.ru/linkpics/090/090227_3b.jpg";"http://www.gratwest.ru/linkpics/090/090227_4b.jpg";""
"Японские опыты Науки с Буки BONDIBON,  Выращиваем кристаллы,  арт.  196432";"";"ВВ1184";"RUB";"555.60";"1";"";"";"";"<tr>
								<td class='catalog-detail-desc'>
											<span itemprop='description'>Японские опыты Науки с Буки BONDIBON, Выращиваем кристаллы, арт. 196432</span>
						<div class='catalog-detail-line'></div>
														</td>
			</tr>";"";"Японские опыты Науки с Буки BONDIBON,  Выращиваем кристаллы,  арт.  196432";"";"";"yaponskie-opyty-nauki-s-buki-bondibon--vyrashchivaem-kristally--art--196432vv1184";"";"";"13x6x20.5";"";"";"";"http://www.gratwest.ru/linkpics/097/097133_2.jpg";"http://www.gratwest.ru/linkpics/097/097133_3b.jpg";"http://www.gratwest.ru/linkpics/097/097133_4b.jpg";""
"Японские опыты Науки с Буки BONDIBON,  Сад ростков,  арт. 196421";"";"ВВ1134";"RUB";"468.00";"1";"";"";"";"<iframe width='560' height='315' src='https://www.youtube.com/embed/APz4-tlP_hQ' frameborder='0' allowfullscreen=''></iframe>
<br>
Дети не перестают удивляться тому, как из маленького семени вырастает красивый цветок, вкусный овощ и даже целое дерево! Но почему в одном случае семя «спит» и с ним ничего не происходит, а в другом «оживает» и начинает прорастать? Об этом ребенок узнает из научно-познавательного набора «Сад ростков». Он самостоятельно выяснит, что для того, чтобы  семя проросло, ему необходимо создать определенные условия, в которых оно получит питание, а вместе с ним и силу для роста. Оказывается, достаточно всего трех компонентов: света, чистой воды и питательной почвы, чтобы дать жизнь новому растению!
			<tr>
								<td class='catalog-detail-desc'>
											<span itemprop='description'>Японские опыты Науки с Буки BONDIBON, Сад ростков, арт.196421</span>
						<div class='catalog-detail-line'></div>
														</td>
			</tr>";"";"Японские опыты Науки с Буки BONDIBON,  Сад ростков,  арт. 196421";"";"";"yaponskie-opyty-nauki-s-buki-bondibon--sad-rostkov--art-196421vv1134";"";"";"13x5x20.5";"";"";"";"http://www.gratwest.ru/linkpics/095/095745_2.jpg";"http://www.gratwest.ru/linkpics/095/095745_3b.jpg";"http://www.gratwest.ru/linkpics/095/095745_4b.jpg";""
"Японские опыты Науки с Буки BONDIBON,  Цветовой блендер,  арт. 196474";"";"ВВ1186";"RUB";"684.00";"1";"";"";"";"<iframe width='560' height='315' src='https://www.youtube.com/embed/qa6dHcDbXes' frameborder='0' allowfullscreen=''></iframe>
<br>
Наш мир наполнен яркими цветными красками. Но почему цвета такие разные? Откуда берется множество красивых оттенков? Оказывается, все дело в преломлении световых лучей! Это они создают удивительно красивые и разнообразные цвета, которые делают все вокруг таким ярким, веселым и привлекательным. С помощью цветового блендера ребенок сможет провести целый ряд научно-познавательных экспериментов. Он увидит, как из двух цветов получается третий, абсолютно не похожий на первые два, узнает о свойствах цвета отражать и поглощать световые лучи и наконец-то разгадает секреты радуги!  
			<tr>
								<td class='catalog-detail-desc'>
											<span itemprop='description'>Японские опыты Науки с Буки BONDIBON, Цветовой блендер, арт.196474</span>
						<div class='catalog-detail-line'></div>
														</td>
			</tr>";"";"Японские опыты Науки с Буки BONDIBON,  Цветовой блендер,  арт. 196474";"";"";"yaponskie-opyty-nauki-s-buki-bondibon--tsvetovoy-blender--art-196474vv1186";"";"";"13x6x20.5";"";"";"";"http://www.gratwest.ru/linkpics/097/097135_2.jpg";"http://www.gratwest.ru/linkpics/097/097135_3b.jpg";"http://www.gratwest.ru/linkpics/097/097135_4b.jpg";""
"Японские опыты Науки с Буки BONDIBON, Поляризационный микроскоп,  арт. 196449";"";"ВВ1188";"RUB";"768.00";"1";"";"";"";"<iframe width='560' height='315' src='https://www.youtube.com/embed/Zxy4Yenv8As' frameborder='0' allowfullscreen=''></iframe>
<br>
Часто ли во время прогулки мы обращаем внимание на камни под нашими ногами? А между тем они стоят того, чтобы рассмотреть их внимательнее. На первый взгляд, в поднятом с земли камешке нет ничего особенного, но если посмотреть на него через микроскоп, то можно увидеть много интересного! Оказывается, камни имеют не только разнообразную структуру, но и различное происхождение. Об этих и многих других интересных фактах юный геолог узнает, проведя увлекательные и познавательные эксперименты с помощью поляризационного микроскопа, который он легко сможет собрать самостоятельно.
			<tr>
								<td class='catalog-detail-desc'>
											<span itemprop='description'>Японские опыты Науки с Буки BONDIBON,Поляризационный микроскоп, арт.196449</span>
						<div class='catalog-detail-line'></div>
														</td>
			</tr>";"";"Японские опыты Науки с Буки BONDIBON, Поляризационный микроскоп,  арт. 196449";"";"";"yaponskie-opyty-nauki-s-buki-bondibon-polyarizatsionnyy-mikroskop--art-196449vv1188";"";"";"13x6x20.5";"";"";"";"http://www.gratwest.ru/linkpics/097/097137_2.jpg";"http://www.gratwest.ru/linkpics/097/097137_3b.jpg";"http://www.gratwest.ru/linkpics/097/097137_4b.jpg";""
"Французские опыты Науки с Буки Bondibon  (20 экспериментов)  Природное электричество ,  арт.  3020";"";"ВВ0985";"RUB";"915.00";"1";"";"";"";"<iframe width='560' height='315' src='//www.youtube.com/embed/vXmN7nGp5TU?list=PL7IgAu-GiRDAkKB7J4pWnJikf735gaJ2V' frameborder='0' allowfullscreen=''></iframe>
<br>
Этот набор показывает  то, как может быть получено электричество из нескольких материалов, содержащих химикаты, которые вступают в реакцию при контакте с различными материалами, как батарейка.

Обычная батарейка сделана из цинка и углеродного стержня, их помещают в химическую пасту. Когда вы делаете свою собственную натуральную батарейку, происходит такой же процесс, как и при изготовлении обычных батареек. Появляется электрический ток, поскольку происходит химическая реакция между металлом и кислотами в овощах, фруктах, мыле и т.д.

В некоторых экспериментах вы можете обнаружить, что кусок фрукта, такого как лимон, может дать большое количество электричества, достаточное для того, чтобы работал светодиод или другой часовой модуль. В других случаях вам необходимо будет использовать 3 или 4 кусочка фрукта, чтобы получить хороший результат. Это почти так, как и с батарейками. В некоторых случаях будет достаточно одной батарейки, а в других вам понадобится 2, 3 или даже 4 батарейки.

			<tr>
								<td class='catalog-detail-desc'>
											<span itemprop='description'>Французские опыты Науки с Буки Bondibon  (20 экспериментов)  Природное электричество , арт. 3020</span>
						<div class='catalog-detail-line'></div>
														</td>
			</tr>";"";"Французские опыты Науки с Буки Bondibon  (20 экспериментов)  Природное электричество ,  арт.  3020";"";"";"frantsuzskie-opyty-nauki-s-buki-bondibon--20-eksperimentov--prirodnoe-elektrichestvo---art--3020vv0985";"";"";"27x6x22.5";"";"";"";"http://www.gratwest.ru/linkpics/081/081979_2.jpg";"http://www.gratwest.ru/linkpics/081/081979_3b.jpg";"http://www.gratwest.ru/linkpics/081/081979_4b.jpg";""
"Французские опыты Науки с Буки Bondibon  Металлодетектор ,   арт. КТ7020д";"";"ВВ0944";"RUB";"1722.60";"1";"";"";"";"<iframe width='560' height='315' src='https://www.youtube.com/embed/oyRZs5K1W9Y' frameborder='0' allowfullscreen=''></iframe>
<br>
Эпоха пиратов и островов с сокровищами прошла, а любопытных кладоискателей меньше не стало. Наверняка и Ваш малыш мечтает найти когда-нибудь спрятанные драгоценности, и теперь у него есть для этого все необходимое! Металлодетектор станет для ребенка занимательной игрушкой и возбудит в нем интерес к исследованию окружающего мира. Он четко реагирует на металлические предметы, будь они спрятаны в траве в саду или в недрах ковра в квартире. Каждая найденная ребенком монета окажется настоящим кладом, так что он буквально не будет расставаться с этим устройством ни на минуту! Металлодетектор имеет классическую конструкцию и представляет собой длинную штангу с катушкой на конце. Он оснащен дисплеем, который отображает, насколько близок ваш маленький кладоискатель к своей цели. Как только устройство обнаружит реликвию, раздастся громкий звуковой сигнал. Ни одно сокровище не останется незамеченным!
			<tr>
								<td class='catalog-detail-desc'>
											<span itemprop='description'>Французские опыты Науки с Буки Bondibon  Металлодетектор ,  арт.КТ7020д</span>
						<div class='catalog-detail-line'></div>
														</td>
			</tr>";"";"Французские опыты Науки с Буки Bondibon  Металлодетектор ,   арт. КТ7020д";"";"";"frantsuzskie-opyty-nauki-s-buki-bondibon--metallodetektor----art-kt7020dvv0944";"";"";"40x6x18";"";"";"";"http://www.gratwest.ru/linkpics/079/079777_2.jpg";"http://www.gratwest.ru/linkpics/079/079777_3b.jpg";"http://www.gratwest.ru/linkpics/079/079777_4b.jpg";""
"Французские опыты Науки с Буки Bondibon Мамонт,  арт. 550453-5";"";"ВВ1074";"RUB";"572.40";"1";"";"";"";"<iframe width='560' height='315' src='//www.youtube.com/embed/LQMQiqRv_Q8?list=UU4nbomaywgl4zsosYIuixHA' frameborder='0' allowfullscreen=''></iframe>
<br>
Узнавать интересные факты о полезных ископаемых и самому обнаружить динозавра можно в любом возрасте. Даже самые маленькие могут почувствовать себя палеонтологами, изучающими древний мир, с набором для проведения палеонтологических раскопок. 
Используя набор настоящих инструментов палеонтолога, ребенок сможет самостоятельно найти скелет самого древнего животного на Земле, очистить его от вековой пыли, а затем собрать реалистичную 3D-модель динозавра! 
Даже если с первого раза все получится неидеально, ничего страшного. Подробная инструкция покажет, как собранный скелет можно использовать для повторной игры. 
			<tr>
								<td class='catalog-detail-desc'>
											<span itemprop='description'>Французские опыты Науки с Буки Bondibon Мамонт, арт.550453-5</span>
						<div class='catalog-detail-line'></div>
														</td>
			</tr>";"";"Французские опыты Науки с Буки Bondibon Мамонт,  арт. 550453-5";"";"";"frantsuzskie-opyty-nauki-s-buki-bondibon-mamont--art-550453-5vv1074";"";"";"19x6x22.5";"";"";"";"http://www.gratwest.ru/linkpics/091/091967_2.jpg";"http://www.gratwest.ru/linkpics/091/091967_3b.jpg";"";""
