Наименование;"Наименование артикула";"Код артикула";Валюта;Цена;"Доступен для заказа";"Зачеркнутая цена";"Закупочная цена";"Краткое описание";Описание;Теги;Заголовок;"META Keywords";"META Description";"Ссылка на витрину";Производитель;Объем;Размеры;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения
"'Веселый будильник'";"";"15023";"RUB";"224.00";"1";"";"";"";"Игрушка «Веселый будильник» рассчитана и для маленьких деток, и для деток среднего возраста, которые только учатся или до сих пор не научились определять время. Благодаря яркому дизайну и «живым» стрелкам, малышу понравится изучать время, и процесс не покажется ему скучным.";"";"'Веселый будильник'";"";"";"quotveselyy-budilnikquot";"";"";"180.00 мм x 140.00 мм x 60.00 мм";"https://playdorado.ru/image/cache/data/15023-600x600.jpg";"https://playdorado.ru/image/cache/data/15023-1-600x600.jpg";"https://playdorado.ru/image/cache/data/15023-2-600x600.jpg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Шнуровка Яблоко";"";"90008";"RUB";"147.00";"1";"";"";"";"Игрушки-шнуровки развивают мелкую моторику ребенка, совершенствуют координацию движений и тренируют концентрацию внимания и усидчивость.
Рекомендованный возраст использования: от 12 месяцев";"";"Шнуровка Яблоко";"";"";"shnurovka-yabloko";"";"";"145.00 мм x 80.00 мм x 220.00 мм";"https://playdorado.ru/image/cache/data/90008-600x600.jpg";"https://playdorado.ru/image/cache/data/90008-1-600x600.jpg";"https://playdorado.ru/image/cache/data/90008-2-600x600.jpg";"https://playdorado.ru/image/cache/data/90008-3-600x600.jpg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Шнуровка Швейцарский сыр 1/60";"";"90010";"RUB";"115.00";"1";"";"";"";"Развитие мелкой моторики ручек очень важно для детей в возрасте от 1 года до 3 лет. Шнуровка «Швейцарский сыр» отлично подходит для этого. Малыш надолго будет увлечен продеванием шнурка с удобным наконечником через множество дырочек. При этом будет развиваться координация движений ребенка и его фантазия.
Рекомендованный возраст использования: от 12 месяцев";"";"Шнуровка Швейцарский сыр 1/60";"";"";"shnurovka-shveytsarskiy-syr-160";"";"";"145.00 мм x 80.00 мм x 220.00 мм";"https://playdorado.ru/image/cache/data/90010-600x600.jpg";"https://playdorado.ru/image/cache/data/90010-1-600x600.jpg";"https://playdorado.ru/image/cache/data/90010-3-600x600.jpg";"https://playdorado.ru/image/cache/data/90010-4-600x600.jpg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Шнуровка Дикая Груша 1/50";"";"90011";"RUB";"115.00";"1";"";"";"";"Шнуровка «Дикая груша» в виде яркого фрукта с червячком-шнурком привлечет детей своими возможностями для игр. Шнурок можно продевать через множество дырочек, развивая логическое и пространственное мышление, концентрацию внимание и мелкую моторику.
Рекомендованный возраст использования: от 12 месяцев";"";"Шнуровка Дикая Груша 1/50";"";"";"shnurovka-dikaya-grusha-150";"";"";"145.00 мм x 80.00 мм x 220.00 мм";"https://playdorado.ru/image/cache/data/90011-600x600.jpg";"https://playdorado.ru/image/cache/data/90011-1-600x600.jpg";"https://playdorado.ru/image/cache/data/90011-2-600x600.jpg";"https://playdorado.ru/image/cache/data/90011-3-600x600.jpg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Шнуровка Ботинок";"";"90009";"RUB";"147.00";"1";"";"";"";"Маленькие дети всегда нуждаются в новых интересных занятиях. Познавательные игры приносят большую пользу развитию малыша и занимают его на долгое время. Шнуровка «Ботинок» заинтересует ребенка, который ежедневно видит, как папа или мама управляются с обувью, но сам пока не умеет этого делать.
Чтобы посмотреть отзывы по данному товару, перейдите по ссылке";"";"Шнуровка Ботинок";"";"";"shnurovka-botinok";"";"";"145.00 мм x 80.00 мм x 220.00 мм";"https://playdorado.ru/image/cache/data/90009-600x600.jpg";"https://playdorado.ru/image/cache/data/90009-1-600x600.jpg";"https://playdorado.ru/image/cache/data/90009-2-600x600.jpg";"https://playdorado.ru/image/cache/data/90009-3-600x600.jpg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Сортер-ведро 'Цветок' 1/12";"";"14050";"RUB";"265.00";"1";"";"";"";"";"";"Сортер-ведро 'Цветок' 1/12";"";"";"sorter-vedro-quottsvetokquot-112";"";"";"21.00 мм x 21.00 мм x 23.00 мм";"https://playdorado.ru/image/cache/data/14050-600x600.jpg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Сортер-ведро 'Крепость' 1/12";"";"14051";"RUB";"265.00";"1";"";"";"";"";"";"Сортер-ведро 'Крепость' 1/12";"";"";"sorter-vedro-quotkrepostquot-112";"";"";"21.00 мм x 21.00 мм x 23.00 мм";"https://playdorado.ru/image/cache/data/14051-600x600.jpg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Сортер с пирамидой";"";"15007";"RUB";"455.00";"1";"";"";"";"Сортер с пирамидой подойдет для малышей до двух лет. Это игрушка, развивающая логику и мелкую моторику рук. В ней сделаны специальные отверстия или приспособления, куда подходит определённая деталь. В данном случае, это пирамидка, на которую нужно по порядку надевать круги. 
Рекомендованный возраст использования: дети 3+";"";"Сортер с пирамидой";"";"";"sorter-s-piramidoy";"";"";"230.00 мм x 230.00 мм x 170.00 мм";"https://playdorado.ru/image/cache/data/15007-600x600.jpg";"https://playdorado.ru/image/cache/data/15007-1-600x600.jpg";"https://playdorado.ru/image/cache/data/15007-2-600x600.jpg";"https://playdorado.ru/image/cache/data/15007-3-600x600.jpg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Сортер 'Умный шар' 1/20";"";"14048";"RUB";"195.00";"1";"";"";"";"";"";"Сортер 'Умный шар' 1/20";"";"";"sorter-quotumnyy-sharquot-120";"";"";"145.00 мм x 145.00 мм x 145.00 мм";"https://playdorado.ru/image/cache/data/test/14048-600x600.jpg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Сортер 'Умные фигурки' 1/22";"";"14049";"RUB";"181.00";"1";"";"";"";"";"";"Сортер 'Умные фигурки' 1/22";"";"";"sorter-quotumnye-figurkiquot-122";"";"";"165.00 мм x 165.00 мм x 9.00 мм";"https://playdorado.ru/image/cache/data/14049-600x600.jpg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Набор пазлов Зоопарк";"";"90022";"RUB";"294.00";"1";"";"";"";"Пазлы для самых маленьких развивают логическое мышление ребенка и мелкую моторику. Набор пазлов «Зоопарк» включает 4 фигурки животных, которые легко разбираются на несколько деталей. Малыш быстро освоит эти несложные действия.";"";"Набор пазлов Зоопарк";"";"";"nabor-pazlov-zoopark";"";"";"140.00 мм x 60.00 мм x 230.00 мм";"https://playdorado.ru/image/cache/data/90022-600x600.jpg";"https://playdorado.ru/image/cache/data/90022-1-600x600.jpg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Набор кубиков Стройка";"";"14023";"RUB";"581.00";"1";"";"";"";"С помощью набора кубиков «Стройка» ваш малыш без труда освоит элементарные действия, сможет построить небольшой домик или крепость. Развитие мелкой моторики очень важно в раннем возрасте ребенка. Яркие кубики обязательно привлекут его внимание.
Рекомендованный возраст использования: дети 3+";"";"Набор кубиков Стройка";"";"";"nabor-kubikov-stroyka";"";"";"260.00 мм x 140.00 мм x 100.00 мм";"https://playdorado.ru/image/cache/data/14023-600x600.jpg";"https://playdorado.ru/image/cache/data/14023-1-600x600.jpg";"https://playdorado.ru/image/cache/data/14023-2-600x600.jpg";"https://playdorado.ru/image/cache/data/14023-3-600x600.jpg";"https://playdorado.ru/image/cache/data/14023-4-600x600.jpg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Набор кубиков Строитель";"";"90025";"RUB";"560.00";"1";"";"";"";"Любимые игрушки — те, которые предоставляют большой простор для фантазии ребенка и не ограничивают ее. Набор кубиков «Строитель» поможет ребенку в развитии логического и пространственного мышления, а также будет полезен для мелкой моторики. Яркие и безопасные для малыша элементы надолго увлекут вашего ребенка.
Рекомендованный возраст использования: дети 3+";"";"Набор кубиков Строитель";"";"";"nabor-kubikov-stroitel";"";"";"170.00 мм x 85.00 мм x 255.00 мм";"https://playdorado.ru/image/cache/data/90025-600x600.jpg";"https://playdorado.ru/image/cache/data/90025-1-600x600.jpg";"https://playdorado.ru/image/cache/data/90025-2-600x600.jpg";"https://playdorado.ru/image/cache/data/90025-3-600x600.jpg";"https://playdorado.ru/image/cache/data/90025-4-600x600.jpg";"https://playdorado.ru/image/cache/data/90025-5-600x600.jpg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Набор кубиков Малыш";"";"90021";"RUB";"308.00";"1";"";"";"";"Яркий набор кубиков «Малыш» очень понравится вашему ребенку, ведь из его 15 элементов можно построить все, что малышу подскажет его фантазия. Наборы для строительства — одни из любимых игрушек всех детей младшего возраста. Строительство башни, дома или крепости не составит труда для ребенка и доставит ему огромное удовольствие.";"";"Набор кубиков Малыш";"";"";"nabor-kubikov-malysh";"";"";"170.00 мм x 40.00 мм x 250.00 мм";"https://playdorado.ru/image/cache/data/90021-600x600.jpg";"https://playdorado.ru/image/cache/data/90021-1-600x600.jpg";"https://playdorado.ru/image/cache/data/90021-2-600x600.jpg";"https://playdorado.ru/image/cache/data/90021-3-600x600.jpg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Набор кубиков Игрушкин град в сумке";"";"90027";"RUB";"2198.00";"1";"";"";"";"Набор кубиков «Игрушкин град в сумке» — это настоящее сокровище для любого ребенка. Разнообразие деталей для строительства обеспечит полет детской фантазии.
Рекомендованный возраст использования: дети 3+";"";"Набор кубиков Игрушкин град в сумке";"";"";"nabor-kubikov-igrushkin-grad-v-sumke";"";"";"265.00 мм x 265.00 мм x 280.00 мм";"https://playdorado.ru/image/cache/data/90027-600x600.jpg";"https://playdorado.ru/image/cache/data/90027-1-600x600.jpg";"https://playdorado.ru/image/cache/data/90027-2-600x600.jpg";"https://playdorado.ru/image/cache/data/90027-3-600x600.jpg";"https://playdorado.ru/image/cache/data/90027-4-600x600.jpg";"https://playdorado.ru/image/cache/data/90027-5-600x600.jpg";"https://playdorado.ru/image/cache/data/90027-6-600x600.jpg";"https://playdorado.ru/image/cache/data/90027-7-600x600.jpg";"https://playdorado.ru/image/cache/data/90027-8-600x600.jpg";"https://playdorado.ru/image/cache/data/90027-9-600x600.jpg";"https://playdorado.ru/image/cache/data/90027-10-600x600.jpg";"https://playdorado.ru/image/cache/data/90027-11-600x600.jpg";"https://playdorado.ru/image/cache/data/90027-12-600x600.jpg";"https://playdorado.ru/image/cache/data/90027-13-600x600.jpg";"https://playdorado.ru/image/cache/data/90027-15-600x600.jpg";"";"";"";"";"";"";""
"Набор кубиков Большая стройка";"";"14024";"RUB";"931.00";"1";"";"";"";"Набор кубиков «Большая стройка» состоит из 13 разноцветных элементов разной формы. С его помощью ребенок без труда построит простые домики и башни. Все детали изготовлены из безопасных для малыша пластмассы и красителей. Кубики удобно хранить, при необходимости их легко мыть.
Рекомендованный возраст использования: дети 3+";"";"Набор кубиков Большая стройка";"";"";"nabor-kubikov-bolshaya-stroyka";"";"";"230.00 мм x 120.00 мм x 470.00 мм";"https://playdorado.ru/image/cache/data/14024-600x600.jpg";"https://playdorado.ru/image/cache/data/14024-1-600x600.jpg";"https://playdorado.ru/image/cache/data/14024-2-600x600.jpg";"https://playdorado.ru/image/cache/data/14024-3-600x600.jpg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Набор Большие кубики";"";"14022";"RUB";"601.00";"1";"";"";"";"Разноцветные кубики обязательно должны быть в игровой комнате ребенка. Они полезны для раннего развития малыша. В процессе игры с кубиками у ребенка начинает работать фантазия, включается логическое мышления и развивается мелкая моторика. Набор «Большие кубики» состоит из восьми крупных элементов, он обязательно понравится вашему ребенку.
Рекомендованный возраст использования: дети 3+";"";"Набор Большие кубики";"";"";"nabor-bolshie-kubiki";"";"";"300.00 мм x 100.00 мм x 300.00 мм";"https://playdorado.ru/image/cache/data/14022-600x600.jpg";"https://playdorado.ru/image/cache/data/14022-1-600x600.jpg";"https://playdorado.ru/image/cache/data/14022-2-600x600.jpg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Мозаика (диам.15мм)";"";"15020";"RUB";"416.00";"1";"";"";"";"Мозаики отлично развивают логическое и творческое начало у детей. В ее наборе прозрачное игровое поле, яркие фишки-гвоздики и картинки-шаблоны. Ребенок быстро освоит, как собирать мозаику по шаблону. Затем картинку можно убрать и предоставить малышу возможность собирать мозаику самостоятельно по образцу.";"";"Мозаика (диам.15мм)";"";"";"mozaika-diam15mm";"";"";"x  x";"https://playdorado.ru/image/cache/data/_________________51ad821ea717e-600x600.png";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Мозаика (диам.10мм)";"";"15019";"RUB";"350.00";"1";"";"";"";"В его комплект входят картинки, фишки-гвоздики и поле с отверстиями. Ребенок быстро научится собирать мозаику по шаблону, который крепится непосредственно под прозрачным игровым полем. Затем шаблон можно убрать и собирать рисунок самостоятельно, полагаясь на свою фантазию.";"";"Мозаика (диам.10мм)";"";"";"mozaika-diam10mm";"";"";"300.00 мм x 45.00 мм x 220.00 мм";"https://playdorado.ru/image/cache/data/_________________51ac830cee9d7-600x600.png";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Логический Куб";"";"90020";"RUB";"448.00";"1";"";"";"";"Логический куб представляет собой сортер — развивающую игрушку, в которой отсутствуют некоторые детали. Ребенок должен соотнести пустоту с деталью и найти правильные места для каждой из них. В этом кубе 6 деталей, играя с которыми, малыш будет развивать мышление и логику.
Чтобы посмотреть отзывы по данному товару, перейдите по ссылке";"";"Логический Куб";"";"";"logicheskiy-kub";"";"";"140.00 мм x 140.00 мм x 140.00 мм";"https://playdorado.ru/image/cache/data/90020-600x600.jpg";"https://playdorado.ru/image/cache/data/90020-1-600x600.jpg";"https://playdorado.ru/image/cache/data/90020-2-600x600.jpg";"https://playdorado.ru/image/cache/data/90020-3-600x600.jpg";"https://playdorado.ru/image/cache/data/90020-4-600x600.jpg";"https://playdorado.ru/image/cache/data/90020-5-600x600.jpg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Кубики Цветные (10шт.)";"";"14001";"RUB";"322.00";"1";"";"";"";"Кубики цветные предназначены для самых маленьких детей. Играя с крупными яркими кубиками, малыш будет развивать логическое и пространственное мышление, а также мелкую моторику, научится отличать один цвет от другого. 10 разноцветных кубиков, входящих в набор, безопасны для ребенка.
Рекомендованный возраст использования: дети 3+";"";"Кубики Цветные (10шт.)";"";"";"kubiki-tsvetnye-10sht";"";"";"350.00 мм x 140.00 мм x 70.00 мм";"https://playdorado.ru/image/cache/data/14001-600x600.jpg";"https://playdorado.ru/image/cache/data/14001-1-600x600.jpg";"https://playdorado.ru/image/cache/data/14001-2-600x600.jpg";"https://playdorado.ru/image/cache/data/14001-3-600x600.jpg";"https://playdorado.ru/image/cache/data/14001-4-600x600.jpg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Кубики строительные (12шт.)";"";"14002";"RUB";"455.00";"1";"";"";"";"Одно из самых любимых занятий малышей — это возводить дома и крепости. Кубики строительные — набор для возведения любых объектов. В набор входит 12 крупных ярких элементов, изготовленных из безопасных для ребенка пластмассы и красителей.
Рекомендованный возраст использования: дети 3+";"";"Кубики строительные (12шт.)";"";"";"kubiki-stroitelnye-12sht";"";"";"450.00 мм x 130.00 мм x 60.00 мм";"https://playdorado.ru/image/cache/data/14002-600x600.jpg";"https://playdorado.ru/image/cache/data/14002-1-600x600.jpg";"https://playdorado.ru/image/cache/data/14002-2-600x600.jpg";"https://playdorado.ru/image/cache/data/14002-3-600x600.jpg";"https://playdorado.ru/image/cache/data/14002-4-600x600.jpg";"https://playdorado.ru/image/cache/data/14002-5-600x600.jpg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Конструктор-пазл (32 элемента)";"";"90016";"RUB";"279.00";"1";"";"";"";"Для маленького малыша очень важно развивать мелкую моторику ручек. В этом ему на помощь могут прийти пазлы, выполненные в виде конструктора. Представленный пазл состоит из 32 деталей. Детали можно собрать в колечки, змейки и другие простые формы и фигуры. Играя с этими пазлами, малыш еще и развивает логику и мышление.";"";"Конструктор-пазл (32 элемента)";"";"";"konstruktor-pazl-32-elementa";"";"";"270.00 мм x 190.00 мм x 20.00 мм";"https://playdorado.ru/image/cache/data/90016-600x600.jpg";"https://playdorado.ru/image/cache/data/90016-1-600x600.jpg";"https://playdorado.ru/image/cache/data/90016-2-600x600.jpg";"https://playdorado.ru/image/cache/data/90016-3-600x600.jpg";"https://playdorado.ru/image/cache/data/90016-4-600x600.jpg";"https://playdorado.ru/image/cache/data/90016-5-600x600.jpg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Конструктор для малышек 35 дет. 1/7";"";"14018";"RUB";"924.00";"1";"";"";"";"Конструктор для малышек с 35-ю деталями нежных пастельных цветов обязательно понравится вашей дочке. Из квадратных, круглых и треугольных элементов можно построить все, что ребенку подскажет фантазия. Конструктор изготовлен из безопасных для детей пластика и красителей.";"";"Конструктор для малышек 35 дет. 1/7";"";"";"konstruktor-dlya-malyshek-35-det-17";"";"";"260.00 мм x 140.00 мм x 260.00 мм";"https://playdorado.ru/image/cache/data/14018-600x600.jpg";"https://playdorado.ru/image/cache/data/14018-1-600x600.jpg";"https://playdorado.ru/image/cache/data/14018-2-600x600.jpg";"https://playdorado.ru/image/cache/data/14018-3-600x600.jpg";"https://playdorado.ru/image/cache/data/14018-4-600x600.jpg";"https://playdorado.ru/image/cache/data/14018-5-600x600.jpg";"https://playdorado.ru/image/cache/data/14018-6-600x600.jpg";"https://playdorado.ru/image/cache/data/14018-7-600x600.jpg";"https://playdorado.ru/image/cache/data/14018-8-600x600.jpg";"https://playdorado.ru/image/cache/data/14018-9-600x600.jpg";"https://playdorado.ru/image/cache/data/14018-10-600x600.jpg";"https://playdorado.ru/image/cache/data/14018-11-600x600.jpg";"https://playdorado.ru/image/cache/data/14018-12-600x600.jpg";"https://playdorado.ru/image/cache/data/14018-13-600x600.jpg";"https://playdorado.ru/image/cache/data/14018-14-600x600.jpg";"";"";"";"";"";"";""
"Конструктор для малышей 62 дет.1/3";"";"14017";"RUB";"1498.00";"1";"";"";"";"62 детали для строительства содержит этот конструктор для малышей. Из разноцветных элементов разной формы ребенок без труда построит все, что захочет. Игры с конструкторами надолго увлекают детей, развивают их абстрактное мышление и улучшают координацию движений. Заботитесь о развитии ребенка.
Чтобы посмотреть отзывы по данному товару, перейдите по ссылке";"";"Конструктор для малышей 62 дет.1/3";"";"";"konstruktor-dlya-malyshey-62-det13";"";"";"255.00 мм x 130.00 мм x 480.00 мм";"https://playdorado.ru/image/cache/data/14017-600x600.jpg";"https://playdorado.ru/image/cache/data/Catalog/%D0%A0%D0%B0%D0%B7%D0%B2%D0%B8%D0%B2%D0%B0%D1%8E%D1%89%D0%B8%D0%B5%20%D0%B8%D0%B3%D1%80%D1%8B/14017-600x600.png";"https://playdorado.ru/image/cache/data/14017-1-600x600.jpg";"https://playdorado.ru/image/cache/data/14017-3-600x600.jpg";"https://playdorado.ru/image/cache/data/14017-4-600x600.jpg";"https://playdorado.ru/image/cache/data/14017-5-600x600.jpg";"https://playdorado.ru/image/cache/data/14017-6-600x600.jpg";"https://playdorado.ru/image/cache/data/14017-7-600x600.jpg";"https://playdorado.ru/image/cache/data/14017-8-600x600.jpg";"https://playdorado.ru/image/cache/data/14017-9-600x600.jpg";"https://playdorado.ru/image/cache/data/14017-10-600x600.jpg";"https://playdorado.ru/image/cache/data/14017-11-600x600.jpg";"https://playdorado.ru/image/cache/data/14017-12-600x600.jpg";"https://playdorado.ru/image/cache/data/14017-13-600x600.jpg";"https://playdorado.ru/image/cache/data/14017-14-600x600.jpg";"https://playdorado.ru/image/cache/data/14017-15-600x600.jpg";"https://playdorado.ru/image/cache/data/14017-16-600x600.jpg";"https://playdorado.ru/image/cache/data/14017-17-600x600.jpg";"https://playdorado.ru/image/cache/data/14017-18-600x600.jpg";"https://playdorado.ru/image/cache/data/14017-19-600x600.jpg";"";""
"Конструктор для малышей 46 дет.";"";"14016";"RUB";"1119.00";"1";"";"";"";"Конструктор для малышей, состоящий из 46 деталей — настоящее сокровище для детей. С помощью ярких элементов разной формы можно построить все, что угодно — дом или крепость, машину или вертолет — все, на что у малыша хватит фантазии. Конструктор — необходимая игрушка для развития ребенка.

	Чтобы посмотреть отзывы по данному товару, перейдите по <a data-cke-saved-href='http://otzovik.com/reviews/konstruktor_dlya_malishey_plastmaster/' href='http://otzovik.com/reviews/konstruktor_dlya_malishey_plastmaster/' rel='nofollow' style='color: rgb(253, 134, 53); font-weight: bold;' target='_blank' nofollow'=''>ссылке";"";"Конструктор для малышей 46 дет.";"";"";"konstruktor-dlya-malyshey-46-det";"";"";"260.00 мм x 130.00 мм x 350.00 мм";"https://playdorado.ru/image/cache/data/14016-600x600.jpg";"https://playdorado.ru/image/cache/data/Catalog/%D0%A0%D0%B0%D0%B7%D0%B2%D0%B8%D0%B2%D0%B0%D1%8E%D1%89%D0%B8%D0%B5%20%D0%B8%D0%B3%D1%80%D1%8B/14016-600x600.png";"https://playdorado.ru/image/cache/data/14016-1-600x600.jpg";"https://playdorado.ru/image/cache/data/14016-2-600x600.jpg";"https://playdorado.ru/image/cache/data/14016-3-600x600.jpg";"https://playdorado.ru/image/cache/data/14016-4-600x600.jpg";"https://playdorado.ru/image/cache/data/14016-5-600x600.jpg";"https://playdorado.ru/image/cache/data/14016-6-600x600.jpg";"https://playdorado.ru/image/cache/data/14016-7-600x600.jpg";"https://playdorado.ru/image/cache/data/14016-8-600x600.jpg";"https://playdorado.ru/image/cache/data/14016-9-600x600.jpg";"https://playdorado.ru/image/cache/data/14016-10-600x600.jpg";"";"";"";"";"";"";"";"";"";""
"Конструктор для малышей 37 дет.1/7";"";"14015";"RUB";"945.00";"1";"";"";"";"Огромный простор для фантазии предоставит ребенку конструктор для малышей, включающий 37 деталей. С его помощью можно построить абсолютно любые предметы — от крепости до фантастических животных. Материалы, из которых изготовлены детали, абсолютно безопасны для детей.
Чтобы посмотреть отзывы по данному товару, перейдите по ссылке";"";"Конструктор для малышей 37 дет.1/7";"";"";"konstruktor-dlya-malyshey-37-det17";"";"";"260.00 мм x 140.00 мм x 260.00 мм";"https://playdorado.ru/image/cache/data/14015-600x600.jpg";"https://playdorado.ru/image/cache/data/14015-1-600x600.jpg";"https://playdorado.ru/image/cache/data/14015-2-600x600.jpg";"https://playdorado.ru/image/cache/data/14015-3-600x600.jpg";"https://playdorado.ru/image/cache/data/14015-4-600x600.jpg";"https://playdorado.ru/image/cache/data/14015-5-600x600.jpg";"https://playdorado.ru/image/cache/data/14015-6-600x600.jpg";"https://playdorado.ru/image/cache/data/14015-7-600x600.jpg";"https://playdorado.ru/image/cache/data/14015-8-600x600.jpg";"https://playdorado.ru/image/cache/data/14015-9-600x600.jpg";"https://playdorado.ru/image/cache/data/14015-10-600x600.jpg";"";"";"";"";"";"";"";"";"";"";""
"Конструктор для малышей 24 дет.1/12";"";"14014";"RUB";"671.00";"1";"";"";"";"Построить дом или большой грузовик — не проблема, если у ребенка в распоряжении конструктор для малышей, состоящий из 24-х деталей. Разноцветные блоки разной формы и платформа с колесами помогут ребенку задействовать свою фантазию.

	Чтобы посмотреть отзывы по данному товару, перейдите по ссылке";"";"Конструктор для малышей 24 дет.1/12";"";"";"konstruktor-dlya-malyshey-24-det112";"";"";"250.00 мм x 130.00 мм x 175.00 мм";"https://playdorado.ru/image/cache/data/14014-600x600.jpg";"https://playdorado.ru/image/cache/data/14014-1-600x600.jpg";"https://playdorado.ru/image/cache/data/14014-2-600x600.jpg";"https://playdorado.ru/image/cache/data/14014-3-600x600.jpg";"https://playdorado.ru/image/cache/data/14014-4-600x600.jpg";"https://playdorado.ru/image/cache/data/14014-5-600x600.jpg";"https://playdorado.ru/image/cache/data/14014-6-600x600.jpg";"https://playdorado.ru/image/cache/data/14014-7-600x600.jpg";"https://playdorado.ru/image/cache/data/14014-8-600x600.jpg";"https://playdorado.ru/image/cache/data/14014-9-600x600.jpg";"https://playdorado.ru/image/cache/data/14014-10-600x600.jpg";"";"";"";"";"";"";"";"";"";"";""
"Конструктор для малышей 18 дет.";"";"14013";"RUB";"504.00";"1";"";"";"";"Конструктор и машинка одновременно — что может быть более интересной игрой для ребенка. Конструктор для малышей состоит из 18-ти блочных деталей. Их можно перевезти в кузове машины на место строительства домика. Разноцветные крупные детали привлекут внимание малыша, и он с удовольствием будет играть с конструктором.

	Чтобы посмотреть отзывы по данному товару, перейдите по ссылке";"";"Конструктор для малышей 18 дет.";"";"";"konstruktor-dlya-malyshey-18-det";"";"";"250.00 мм x 130.00 мм x 135.00 мм";"https://playdorado.ru/image/cache/data/14013-600x600.jpg";"https://playdorado.ru/image/cache/data/14013-1-600x600.jpg";"https://playdorado.ru/image/cache/data/14013-2-600x600.jpg";"https://playdorado.ru/image/cache/data/14013-3-600x600.jpg";"https://playdorado.ru/image/cache/data/14013-4-600x600.jpg";"https://playdorado.ru/image/cache/data/14013-5-600x600.jpg";"https://playdorado.ru/image/cache/data/14013-6-600x600.jpg";"https://playdorado.ru/image/cache/data/14013-7-600x600.jpg";"https://playdorado.ru/image/cache/data/14013-8-600x600.jpg";"";"";"";"";"";"";"";"";"";"";"";"";""
"Веселые часы";"";"15008";"RUB";"315.00";"1";"";"";"";"Детская развивающая игрушка «Веселые часы» может стать любимой игрушкой ребенка. Во-первых, с ее помощью малыш сможет научиться определять время по часам — а это важная и непростая задача. Во-вторых, часы похожи на смешного человечка — изучать время вместе с задорным героем гораздо увлекательнее. В-третьих, игрушка выполнена из пластмассы ярких, привлекающих внимание, цветов.";"";"Веселые часы";"";"";"veselye-chasy";"";"";"250.00 мм x 200.00 мм x 60.00 мм";"https://playdorado.ru/image/cache/data/15008-600x600.jpg";"https://playdorado.ru/image/cache/data/15008-1-600x600.jpg";"https://playdorado.ru/image/cache/data/15008-2-600x600.jpg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Веселая цепочка (16 элементов)";"";"15016";"RUB";"111.00";"1";"";"";"";"Детская игрушка «Веселая цепочка» обязательно завлечет малыша. Она состоит из шестнадцати фигурок, которые можно соединять в любом порядке. Играя с ней, малыш приобретает разнообразные навыки, развивает мелкую моторику ручек и, конечно же, поднимает настроение. Счастливый ребенок — довольные родители.
Рекомендованный возраст использования: дети 3+";"";"Веселая цепочка (16 элементов)";"";"";"veselaya-tsepochka-16-elementov";"";"";"160.00 мм x 30.00 мм x 200.00 мм";"https://playdorado.ru/image/cache/data/15016-600x600.jpg";"https://playdorado.ru/image/cache/data/15016-1-600x600.jpg";"https://playdorado.ru/image/cache/data/15016-2-600x600.jpg";"https://playdorado.ru/image/cache/data/15016-3-600x600.jpg";"https://playdorado.ru/image/cache/data/15016-4-600x600.jpg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
