Наименование;"Наименование артикула";"Код артикула";Валюта;Цена;"Доступен для заказа";"Зачеркнутая цена";"Закупочная цена";"Краткое описание";Описание;Теги;Заголовок;"META Keywords";"META Description";"Ссылка на витрину";Производитель;Объем;Размеры;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения
"Пирамида 'Аврора'";"";"13032";"RUB";"175.00";"1";"";"";"";"Ярко-розовая пирамида «Аврора» придется по душе всем маленьким принцессам, ведь это их любимый цвет. Пять колец разного диаметра окрашены в розовый цвет, переходящий от яркого к бледному. С ее помощью можно не только познакомить ребенка с оттенками цвета, но и научить элементарному счету. Заботитесь о развитии малышки.";"";"Пирамида 'Аврора'";"";"";"piramida-quotavroraquot";"";"";"95.00 мм x 95.00 мм x 170.00 мм";"https://playdorado.ru/image/cache/data/13032-600x600.jpg";"https://playdorado.ru/image/cache/data/13032-1-600x600.jpg";"https://playdorado.ru/image/cache/data/13032-2-600x600.jpg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Пирамидка Маяк";"";"15012";"RUB";"162.00";"1";"";"";"";"Пирамидка «Маяк» — это конструктор для ребенка, который любит разбирать и собирать детали. 6 квадратных стаканчиков компактно складываются один в другой. Пирамидкой можно заниматься не только дома, но и брать с собой на прогулку, играть в песочнице. Пирамидки способствуют раннему развитию ребенка, развивают координацию движений и логическое мышление.
Чтобы посмотреть отзывы по данному товару, перейдите по ссылке.";"";"Пирамидка Маяк";"";"";"piramidka-mayak";"";"";"83.00 мм x 83.00 мм x 215.00 мм";"https://playdorado.ru/image/cache/data/15012-600x600.jpg";"https://playdorado.ru/image/cache/data/15012-1-600x600.jpg";"https://playdorado.ru/image/cache/data/15012-2-600x600.jpg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Пирамида Уточка (средний шар)";"";"91002";"RUB";"269.00";"1";"";"";"";"Пирамида «Уточка» (средний шар) предназначена для детей от трех лет. Навершие пирамиды выполнено в виде головы уточки, а ее тело составляют шесть колец с шариками. Игры с пирамидой не только интересны ребенку, но и полезны для развития координации его движений, логического и пространственного мышления.";"";"Пирамида Уточка (средний шар)";"";"";"piramida-utochka-sredniy-shar";"";"";"115.00 мм x 115.00 мм x 280.00 мм";"https://playdorado.ru/image/cache/data/_________________4b2def01f12ee-600x600.png";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Пирамида Утенок (средний шар)";"";"91005";"RUB";"269.00";"1";"";"";"";"Навершие — голова озорного утенка в кепке. Игры с пирамидкой — один из лучших способов развития ребенка в маленьком возрасте. Малышу будет интересно снимать и нанизывать кольца. Все детали пирамиды изготовлены из безопасного для ребенка пластика.";"";"Пирамида Утенок (средний шар)";"";"";"piramida-utenok-sredniy-shar";"";"";"115.00 мм x 115.00 мм x 285.00 мм";"https://playdorado.ru/image/cache/data/91005-600x600.jpg";"https://playdorado.ru/image/cache/data/91005-1-600x600.jpg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Пирамида Утенок (пазл)";"";"91010";"RUB";"279.00";"1";"";"";"";"Пирамида-пазл «Утенок» состоит из пяти ярких колец, каждое из которых можно разобрать на три части. Это сочетание функций обычной пирамиды и пазлов добавит простора для творчества ребенка. Собрать пирамидку непросто, поэтому эта игрушка особенно полезна для развития логического мышления малыша.";"";"Пирамида Утенок (пазл)";"";"";"piramida-utenok-pazl";"";"";"115.00 мм x 115.00 мм x 270.00 мм";"https://playdorado.ru/image/cache/data/91010-600x600.jpg";"https://playdorado.ru/image/cache/data/91010-1-600x600.jpg";"https://playdorado.ru/image/cache/data/91010-2-600x600.jpg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Пирамида Улитка  3 кольца";"";"13010";"RUB";"97.00";"1";"";"";"";"Веселая улитка обязательно заставит улыбнуться вашего малыша. С яркими крупными деталями пирамиды «Улитка», состоящей из трех колец, можно играть не только в детской комнате, но и на улице, и даже во время водных процедур в ванной. Все детали изготовлены из безопасных для детей материалов.
Чтобы посмотреть отзывы по данному товару, перейдите по ссылке.";"";"Пирамида Улитка  3 кольца";"";"";"piramida-ulitka--3-koltsa";"";"";"100.00 мм x 100.00 мм x 75.00 мм";"https://playdorado.ru/image/cache/data/13010-600x600.jpg";"https://playdorado.ru/image/cache/data/13010-1-600x600.jpg";"https://playdorado.ru/image/cache/data/13010-2-600x600.jpg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Пирамида Супергигант";"";"13023";"RUB";"941.00";"1";"";"";"";"Пирамида высотой в полметра состоит из 16 разноцветных колец. Она надолго привлечет внимание малыша. Разобрать ее будет легко, а вот чтобы правильно собрать — придется потрудиться, сопоставив все кольца по размеру.";"";"Пирамида Супергигант";"";"";"piramida-supergigant";"";"";"195.00 мм x 195.00 мм x 490.00 мм";"https://playdorado.ru/image/cache/data/13023-600x600.jpg";"https://playdorado.ru/image/cache/data/13023-1-600x600.jpg";"https://playdorado.ru/image/cache/data/13023-2-600x600.jpg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Пирамида Совенок";"";"91024";"RUB";"266.00";"1";"";"";"";"Поселите забавного совенка в детской вашего малыша, он обязательно обрадуется новой игрушке. Пирамида «Совенок» состоит из шести разноцветных колец, их легко снимать и надевать на основание, сопоставляя по размеру. Компактную пирамиду можно брать с собой на улицу, яркие и крупные кольца не потеряются ни дома, ни в песочнице.";"";"Пирамида Совенок";"";"";"piramida-sovenok";"";"";"115.00 мм x 115.00 мм x 220.00 мм";"https://playdorado.ru/image/cache/data/91024-600x600.jpg";"https://playdorado.ru/image/cache/data/91024-1-600x600.jpg";"https://playdorado.ru/image/cache/data/91024-2-600x600.jpg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Пирамида Собачка (средний шар)";"";"91004";"RUB";"269.00";"1";"";"";"";"Игрушки-пирамиды полезны не только тем, что надолго могут занять ребенка, но и своими развивающими функциями. Яркая, привлекающая внимание малыша пирамида «Собачка» (средний шар) обязательно понравится ребенку. Шесть разноцветных колец с шариками легко снимаются и нанизываются на основание.";"";"Пирамида Собачка (средний шар)";"";"";"piramida-sobachka-sredniy-shar";"";"";"115.00 мм x 115.00 мм x 290.00 мм";"https://playdorado.ru/image/cache/data/91004-600x600.jpg";"https://playdorado.ru/image/cache/data/91004-1-600x600.jpg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Пирамида Попугай 7 колец";"";"13009";"RUB";"294.00";"1";"";"";"";"Пирамида — одна из самых полезных развивающих игрушек для деток от трех лет. Пирамида «Попугай» состоит из семи колец разного цвета и диаметра, верхушка — голова попугая. Все детали крупные и яркие, они не потеряются ни дома, ни на улице. Пирамида изготовлена из безопасных для ребенка пластика и красителей.";"";"Пирамида Попугай 7 колец";"";"";"piramida-popugay-7-kolets";"";"";"120.00 мм x 120.00 мм x 275.00 мм";"https://playdorado.ru/image/cache/data/13009-600x600.jpg";"https://playdorado.ru/image/cache/data/13009-1-600x600.jpg";"https://playdorado.ru/image/cache/data/13009-2-600x600.jpg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
