Наименование;"Наименование артикула";"Код артикула";Валюта;Цена;"Доступен для заказа";"Зачеркнутая цена";"Закупочная цена";"Краткое описание";Описание;Теги;Заголовок;"META Keywords";"META Description";"Ссылка на витрину";Производитель;Объем;Размеры;Изображения
"Медведь белый с декоративным бантом";"";"8415B";"RUB";"999";"1";"1 999";"";"";"";"";"Медведь белый с декоративным бантом";"";"";"medved-belyy-s-dekorativnym-bantom";"";"";"Высота: 38 см";"http://www.lavatoys.ru/media/thumbs/e6/68/e668010553a8f6b5537df5fa9526ac51.jpg"
"Медведь белый с бантом большой";"";"544A";"RUB";"699";"1";"1 199";"";"";"";"";"Медведь белый с бантом большой";"";"";"medved-belyy-s-bantom-bolshoy";"";"";"Высота: 31 см";"http://www.lavatoys.ru/media/thumbs/ee/b7/eeb7444f760a4750e96ba1ad2ba35ce6.jpg"
"Медведь Барри малый";"";"8545A";"RUB";"599";"1";"899";"";"";"";"";"Медведь Барри малый";"";"";"medved-barri-malyy";"";"";"Высота: 29 см";"http://www.lavatoys.ru/media/thumbs/13/d5/13d55224a5ee5ab7bf4abd89f66a80b6.jpg"
"Медведь Амурчик с букетом роз";"";"1232";"RUB";"349";"1";"429";"";"";"";"";"Медведь Амурчик с букетом роз";"";"";"medved-amurchik-s-buketom-roz";"";"";"Высота: 18 см";"http://www.lavatoys.ru/media/thumbs/df/cb/dfcbb30c7fd8886b523fb8754c854eb4.jpg"
"Медведь Алекс";"";"1198";"RUB";"369";"1";"569";"";"";"";"";"Медведь Алекс";"";"";"medved-aleks";"";"";"Высота: 23 см";"http://www.lavatoys.ru/media/thumbs/17/49/174947f08a11c631ea669a533d09b13b.jpg"
"Медведь / медведица в свадебном наряде";"";"8819";"RUB";"169";"1";"399";"";"";"";"";"Медведь / медведица в свадебном наряде";"";"";"medved--medveditsa-v-svadebnom-naryade";"";"";"Высота: 24 см";"http://www.lavatoys.ru/media/thumbs/19/c0/19c06a0043f3057abc61ec56f8ea6e64.jpg"
"Медведица с малышом сидящая";"";"8620";"RUB";"499";"1";"899";"";"";"";"";"Медведица с малышом сидящая";"";"";"medveditsa-s-malyshom-sidyashchaya";"";"";"Высота: 23,5 см";"http://www.lavatoys.ru/media/thumbs/53/d4/53d430ee98dce7e479d933c9942267f4.jpg"
"Медведица Оливия в русском наряде";"";"8788A";"RUB";"199";"1";"399";"";"";"";"";"Медведица Оливия в русском наряде";"";"";"medveditsa-oliviya-v-russkom-naryade";"";"";"Высота: 24 см";"http://www.lavatoys.ru/media/thumbs/b0/9f/b09f7d2f586c0c6f2e7d7f0806421832.jpg"
"Медведица Оливия";"";"8788";"RUB";"199";"1";"399";"";"";"";"";"Медведица Оливия";"";"";"medveditsa-oliviya";"";"";"Высота: 24 см";"http://www.lavatoys.ru/media/thumbs/da/f8/daf8f8c86cf5779c1c1a2132a1779d30.jpg"
"!!Медвежонок Ники";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Медвежонок Ники с тюльпаном";"";"8786C";"RUB";"299";"1";"599";"";"";"";"";"Медвежонок Ники с тюльпаном";"";"";"medvezhonok-niki-s-tyulpanom";"";"";"Высота: 21,5 см";"http://www.lavatoys.ru/media/thumbs/e6/5a/e65ae17199a621b8768472434e32bd53.jpg"
"Медвежонок Ники с тортом";"";"8786K";"RUB";"199";"1";"599";"";"";"";"";"Медвежонок Ники с тортом";"";"";"medvezhonok-niki-s-tortom";"";"";"Высота: 21,5 см";"http://www.lavatoys.ru/media/thumbs/c6/23/c62372bdc843acbe9735705881d22aa6.jpg"
"Медвежонок Ники с клетчатым бантом";"";"8786H";"RUB";"299";"1";"599";"";"";"";"";"Медвежонок Ники с клетчатым бантом";"";"";"medvezhonok-niki-s-kletchatym-bantom";"";"";"Высота: 21,5 см";"http://www.lavatoys.ru/media/thumbs/44/de/44de34e85637aaf012d0100164a6978a.jpg"
"Медвежонок Ники в футболке с синим орнаментом";"";"8786J";"RUB";"299";"1";"599";"";"";"";"";"Медвежонок Ники в футболке с синим орнаментом";"";"";"medvezhonok-niki-v-futbolke-s-sinim-ornamentom";"";"";"Высота: 21,5 см";"http://www.lavatoys.ru/media/thumbs/ce/12/ce12d2b56e667300026a31fd28cfafc9.jpg"
"Медвежонок Ники в футболке с молнией";"";"8786G";"RUB";"199";"1";"599";"";"";"";"";"Медвежонок Ники в футболке с молнией";"";"";"medvezhonok-niki-v-futbolke-s-molniey";"";"";"Высота: 21,5 см";"http://www.lavatoys.ru/media/thumbs/c8/0d/c80d504f79fcf9b9cc44578ff768383f.jpg"
"Медвежонок Ники в футболке с машинкой";"";"8786E";"RUB";"299";"1";"599";"";"";"";"";"Медвежонок Ники в футболке с машинкой";"";"";"medvezhonok-niki-v-futbolke-s-mashinkoy";"";"";"Высота: 21,5 см";"http://www.lavatoys.ru/media/thumbs/15/77/157740b323e81eba127d51e3e2c81e8e.jpg"
"Медвежонок Ники в футболке с матрёшкой";"";"8786D";"RUB";"199";"1";"599";"";"";"";"";"Медвежонок Ники в футболке с матрёшкой";"";"";"medvezhonok-niki-v-futbolke-s-matrёshkoy";"";"";"Высота: 21,5 см";"http://www.lavatoys.ru/media/thumbs/20/c4/20c4a5fc3de5eea1e15ec53279f17adb.jpg"
