Наименование;"Наименование артикула";"Код артикула";Валюта;Цена;"Доступен для заказа";"Зачеркнутая цена";"Закупочная цена";"Краткое описание";Описание;Теги;Заголовок;"Тип товаров""META Keywords";"META Description";"Ссылка на витрину";Производитель;Объем;Размеры;"Возраст детей";Страна-производитель;Материал;Изображения
"Волшебный мешочек Лес (16 дет) неокраш.";"";"RS-Д-482";"RUB";"187,50";"1";"";"";"";"от 3 лет";"";"Волшебный мешочек Лес (16 дет) неокраш.";"";"";"volshebnyy-meshochek-les-16-det-neokrash--rs-d-482";"";"";"19x15x4.5";"";"Россия";"";"http://www.rntoys.com/Content/Images/Products/RNToys/Derevo/%d0%94-482-300.jpg"
"Волшебный мешочек Игрушки расписные";"";"RS-Д-650";"RUB";"318,75";"1";"";"";"";"от 3 лет";"";"Волшебный мешочек Игрушки расписные";"";"";"volshebnyy-meshochek-igrushki-raspisnye--rs-d-650";"";"";"- - - - -";"";"Россия";"";"http://www.rntoys.com/Content/Images/Products/RNToys/Derevo/%d0%94-650-300.jpg"
"Волшебный мешочек Игрушки неокраш.";"";"RS-Д-641";"RUB";"193,75";"1";"";"";"";"от 3 лет";"";"Волшебный мешочек Игрушки неокраш.";"";"";"volshebnyy-meshochek-igrushki-neokrash---rs-d-641";"";"";"- - - - -";"";"Россия";"";"http://www.rntoys.com/Content/Images/Products/RNToys/Derevo/%d0%94-641-300.jpg"
"Волшебный мешочек геометр.(12 дет)  Д-446";"";"RS-Д-446";"RUB";"150,00";"1";"";"";"";"от 3 лет";"";"Волшебный мешочек геометр.(12 дет)  Д-446";"";"";"volshebnyy-meshochek-geometr12-det--d-446-rs-d-446";"";"";"19х15х3,5";"";"Россия";"";"http://www.rntoys.com/Content/Images/Products/RNToys/Derevo/%d0%94-446-300.jpg"
"Волшебный мешочек";"";"RS-Д-106";"RUB";"168,75";"1";"";"";"";"от 3 лет";"";"Волшебный мешочек";"";"";"volshebnyy-meshochek-rs-d-106";"";"";"15х109см";"";"Россия";"";"http://www.rntoys.com/Content/Images/Products/RNToys/Derevo/%d0%94-106-300.jpg"
"Волш. мешочек Набор для кухни  неокраш.";"";"RS-Д-483";"RUB";"168,75";"1";"";"";"";"от 3 лет";"";"Волш. мешочек Набор для кухни  неокраш.";"";"";"volsh-meshochek-nabor-dlya-kukhni--neokrash---rs-d-483";"";"";"21x15x3";"";"Россия";"";"http://www.rntoys.com/Content/Images/Products/RNToys/Derevo/%d0%94-483-300.jpg"
"Волшебный мешочек фрукты-ягоды цветн.";"";"RS-Д-297";"RUB";"425,00";"1";"";"";"";"от 3 лет";"";"Волшебный мешочек фрукты-ягоды цветн.";"";"";"volshebnyy-meshochek-frukty-yagody-tsvetn--rs-d-297";"";"";"15х19 см";"";"Россия";"";"http://www.rntoys.com/Content/Images/Products/RNToys/Derevo/%d0%94-297-300.jpg"
"Волш. мешочек  Фрукты-ягоды цветн. тип 2 (14 дет)";"";"RS-Д-640";"RUB";"300,00";"1";"";"";"";"от 3 лет";"";"Волш. мешочек  Фрукты-ягоды цветн. тип 2 (14 дет)";"";"";"volsh-meshochek--frukty-yagody-tsvetn-tip-2-14-det--rs-d-640";"";"";"- - - - -";"";"Россия";"";"http://www.rntoys.com/Content/Images/Products/RNToys/Derevo/%d0%94-640-300.jpg"
"!!Детские игровые наборы";"";"";"";"";"";"";"";"";"<h1>Детские игровые наборы</h1>
        В категории 'Детские игровые наборы' представлены игрушки для развития у детей представлений о форме, величине, количестве: бочонки, цилиндрики, шары. Деревянные пирамидки, бусы, мозаика способствуют развитию мелкой моторики пальцев рук. Кухонная утварь, посуда, чайные сервизы подходят для ролевых игр и помощи по дому. Все игрушки сделаны из натурального дерева. Некоторые игрушки специально оставлены неокрашенными, их можно использовать для развития у ребенка навыков росписи.";"";"";"";"";"";"";"";"";"";"";""
"Кухонный набор Ступка и пестик";"";"RS-Д-424";"RUB";"62,50";"1";"";"";"";"от 3 лет";"";"Кухонный набор Ступка и пестик";"";"";"kukhonnyy-nabor-stupka-i-pestik---rs-d-424";"";"";"8х12 см";"";"Россия";"";"http://www.rntoys.com/Content/Images/Products/RNToys/Derevo/%d0%94-424-300.jpg"
"Кухонный набор расписной малый";"";"RS-Д-303";"RUB";"237,50";"1";"";"";"";"от 3 лет";"";"Кухонный набор расписной малый";"";"";"kukhonnyy-nabor-raspisnoy-malyy-rs-d-303";"";"";"14х20 см";"";"Россия";"";"http://www.rntoys.com/Content/Images/Products/RNToys/Derevo/D_303_300.jpg"
"Кухонный набор расписной большой";"";"RS-Д-302";"RUB";"268,75";"1";"";"";"";"от 3 лет";"";"Кухонный набор расписной большой";"";"";"kukhonnyy-nabor-raspisnoy-bolshoy-rs-d-302";"";"";"18х24.5 см";"";"Россия";"";"http://www.rntoys.com/Content/Images/Products/RNToys/Derevo/%d0%94-302-300.jpg"
"Кухонный набор малый";"";"RS-Д-021";"RUB";"187,50";"1";"";"";"";"от 3 лет";"";"Кухонный набор малый";"";"";"kukhonnyy-nabor-malyy-rs-d-021";"";"";"14х20 см";"";"Россия";"";"http://www.rntoys.com/Content/Images/Products/RNToys/Derevo/%d0%94-021-300.jpg"
"Кухонный набор большой";"";"RS-Д-011";"RUB";"215,00";"1";"";"";"";"от 3 лет";"";"Кухонный набор большой";"";"";"kukhonnyy-nabor-bolshoy-rs-d-011";"";"";"18х24.5см";"";"Россия";"";"http://www.rntoys.com/Content/Images/Products/RNToys/Derevo/%d0%94-011-300.jpg"
