Наименование;"Наименование артикула";"Код артикула";Валюта;Цена;"Доступен для заказа";"Зачеркнутая цена";"Закупочная цена";"Краткое описание";Описание;Теги;Заголовок;"Тип товаров""META Keywords";"META Description";"Ссылка на витрину";Производитель;Объем;Размеры;"Возраст детей";Страна-производитель;Материал;Изображения;Изображения;Изображения;Изображения;Изображения
"Малыш Весна 9 мальчик";"";"В2939";"RUB";"633 ₽";"1";"";"";"";"Малыш Весна 9 - кукла из серии «Малыши и малышки» имеет анатомическую особенность, указывающую на её пол: мальчик. Комплект одежды состоит из трикотажного комбинезона без воротника, с застёжкой сзади на 'Велкро' и  трикотажной шапочки с отворотом. Производитель оставляет за собой право изменения цветовой гаммы одежды куклы, цвет глаз может варьироваться. Малыш Весна 9 представляет собой образ младенца - мальчика с милым личиком, пухленькими щёчками.  Игровые возможности куклы: благодаря небольшому размеру и продуманной конструкции  эту куклу легко и удобно брать в руки, её можно сажать, укладывать спать, переодевать. 				
													<br>
					<span class='moretext'>
						<br>Куклу можно купать, так как у неё вставные не закрывающиеся глазки, рельефный кукольный паричок и нет звуковых устройств. Эта кукла подходит для сюжетных игр и разнообразных игровых действий ребёнка. <br><br>Высота 30 см. Тело куклы пропорционально и гармонично, полностью  выполнено из эластичного, приятного на ощупь винила. Кукла соответствует Техническому регламенту Таможенного Союза о безопасности детской игрушки.<br><br>Дополнительно к кукле можно приобрести комплект одежды.					</span><br>
					<span class='full'>Подробнее</span>";"";"Малыш Весна 9 мальчик";"";"";"malysh-vesna-9-malchik";"";"";"";"";"";"";"http://www.vesna.kirov.ru/upload/iblock/a30/%D0%B22939_1_%D0%BC%D0%B0%D0%BB%D1%8B%D1%88_%D0%B2%D0%B5%D1%81%D0%BD%D0%B0_9_%D0%BF%D0%BF%D1%80%D0%BE%D1%84%21.jpg";"http://www.vesna.kirov.ru/upload/iblock/156/в2939_2_малыш_весна_9.jpg";"http://www.vesna.kirov.ru/upload/iblock/c1b/в2939_3_малыш_весна_9_сп.jpg";"";""
"Малыш Весна 8 мальчик";"";"В2832";"RUB";"745 ₽";"1";"";"";"";"Кукла Малыш Весна 8 - кукла из серии «Малыши и малышки» представляет собой образ младенца - мальчика с милым личиком, пухленькими щёчками. Комплект одежды летней коллекции состоит из вязаных джемпера, штанов, шапки, трикотажных носочков. Обувь – кроссовки. Производитель оставляет за собой право изменения цветовой гаммы одежды и волос куклы, цвет глаз может варьироваться.				
													<br>
					<span class='moretext'>
						<br>Игровые возможности куклы: благодаря небольшому размеру и продуманной конструкции  эту куклу легко и удобно брать в руки, её можно сажать, укладывать спать, переодевать. Куклу можно купать, так как у неё вставные не закрывающиеся глазки, рельефный кукольный паричок и нет звуковых устройств. Эта кукла подходит для сюжетных игр и разнообразных игровых действий ребёнка. <br><br>Высота 30 см. Тело куклы пропорционально и гармонично, полностью  выполнено из эластичного приятного на ощупь винила. Кукла соответствует Техническому регламенту Таможенного Союза о безопасности детской игрушки.<br><br>Дополнительно к кукле можно приобрести комплект одежды.					</span><br>
					<span class='full'>Подробнее</span>";"";"Малыш Весна 8 мальчик";"";"";"malysh-vesna-8-malchik";"";"";"";"";"";"";"http://www.vesna.kirov.ru/upload/iblock/3c1/%D0%B22832_%D0%BC%D0%B0%D0%BB%D1%8B%D1%88_%D0%B2%D0%B5%D1%81%D0%BD%D0%B0_8.jpg";"";"";"";""
"Малыш Весна 7 мальчик";"";"В69";"RUB";"961 ₽";"1";"";"";"";"Кукла Малыш Весна 7 - кукла из серии «Малыши и малышки» имеет анатомическую особенность, указывающую на её пол: мальчик. Кукла представляет собой образ младенца - мальчика с милым личиком, пухленькими щёчками. Куклу хочется взять на ручки и позаботиться о ней. Комплект одежды весенне-осенней коллекции состоит из трикотажного комбинезона, шапочки из трикотажа с козырьком и ушками, трикотажной майки и носочков. Игровые возможности куклы: благодаря небольшому размеру и продуманной конструкции  куклу легко и удобно брать в руки, её можно сажать, укладывать спать, переодевать. Куклу можно купать, так как у неё вставные не закрывающиеся глазки, рельефный кукольный паричок и нет звуковых устройств. Эта кукла подходит для сюжетных игр и разнообразных игровых действий ребёнка. 				
													<br>
					<span class='moretext'>
						<br>Высота 30 см. Тело куклы пропорционально и гармонично, полностью  выполнено из эластичного приятного на ощупь винила. Кукла соответствует Техническому регламенту Таможенного Союза о безопасности детской игрушки.<br><br>Дополнительно к кукле можно приобрести комплект одежды.<br><br>Производитель оставляет за собой право изменения цветовой гаммы одежды куклы, цвет глаз может варьироваться.					</span><br>
					<span class='full'>Подробнее</span>";"";"Малыш Весна 7 мальчик";"";"";"malysh-vesna-7-malchik";"";"";"";"";"";"";"http://www.vesna.kirov.ru/upload/iblock/2e0/%D0%B269_%D0%BC%D0%B0%D0%BB%D1%8B%D1%88_%D0%B2%D0%B5%D1%81%D0%BD%D0%B0_7.jpg";"";"";"";""
"Малыш Весна 4 мальчик";"";"В2188";"RUB";"722 ₽";"1";"";"";"";"Малыш Весна 4 - кукла из серии «Малыши и малышки» имеет анатомическую особенность, указывающую на её пол: мальчик. Весь комплект одежды: кофточка, шапочка и ползунки  выполнен из мягкой флисовой ткани с вышивкой на грудке, что придаёт ещё большую нежность малышу. Производитель оставляет за собой право изменения цветовой гаммы одежды куклы, цвет глаз может варьироваться. Кукла представляет собой образ младенца - мальчика с милым личиком, пухленькими щёчками. Куклу так и хочется взять на ручки и позаботиться о ней. 				
													<br>
					<span class='moretext'>
						<br>Игровые возможности куклы: благодаря небольшому размеру и продуманной конструкции  эту куклу легко и удобно брать в руки, её можно сажать, укладывать спать, переодевать. Куклу можно купать, так как у неё вставные не закрывающиеся глазки, рельефный кукольный паричок и нет звуковых устройств. Эта кукла подходит для сюжетных игр и разнообразных игровых действий ребёнка. <br><br>Высота 30 см. Тело куклы пропорционально и гармонично, полностью  выполнено из эластичного приятного на ощупь винила. Кукла соответствует Техническому регламенту Таможенного Союза о безопасности детской игрушки.<br><br>Дополнительно к кукле можно приобрести комплект одежды.					</span><br>
					<span class='full'>Подробнее</span>";"";"Малыш Весна 4 мальчик";"";"";"malysh-vesna-4-malchik";"";"";"";"";"";"";"http://www.vesna.kirov.ru/upload/iblock/dce/%D0%B22188_1_%D0%BC%D0%B0%D0%BB%D1%8B%D1%88_%D0%B2%D0%B5%D1%81%D0%BD%D0%B0_4.jpg";"http://www.vesna.kirov.ru/upload/iblock/133/в2188_2_малыш_4.jpg";"";"";""
"Малыш Весна 3 мальчик";"";"В1923";"RUB";"729 ₽";"1";"";"";"";"Кукла Малыш Весна 3 - кукла из серии «Малыши и малышки» имеет анатомическую особенность, указывающую на её пол: мальчик. Комплект одежды - кофточка, брючки и туфельки. Производитель оставляет за собой право изменения цветовой гаммы одежды куклы, цвет глаз может варьироваться. Кукла представляет собой образ младенца - мальчика с милым личиком, пухленькими щёчками. Куклу хочется взять на ручки и позаботиться о ней. 				
													<br>
					<span class='moretext'>
						<br>Игровые возможности куклы: благодаря небольшому размеру и продуманной конструкции  куклу легко и удобно брать в руки, её можно сажать, укладывать спать, переодевать. Куклу можно купать, так как у неё вставные не закрывающиеся глазки, рельефный кукольный паричок и нет звуковых устройств. Эта кукла подходит для сюжетных игр и разнообразных игровых действий ребёнка. <br><br>Высота 30 см. Тело куклы пропорционально и гармонично, полностью  выполнено из эластичного приятного на ощупь винила. Кукла соответствует Техническому регламенту Таможенного Союза о безопасности детской игрушки.<br><br>Дополнительно к кукле можно приобрести комплект одежды.					</span><br>
					<span class='full'>Подробнее</span>";"";"Малыш Весна 3 мальчик";"";"";"malysh-vesna-3-malchik";"";"";"";"";"";"";"http://www.vesna.kirov.ru/upload/iblock/321/%D0%B21923_%D0%BC%D0%B0%D0%BB%D1%8B%D1%88_%D0%B2%D0%B5%D1%81%D0%BD%D0%B0_3.jpg";"";"";"";""
"Малыш Весна 2 мальчик";"";"В1922";"RUB";"729 ₽";"1";"";"";"";"Малыш Весна 2 - кукла из серии «Малыши и малышки» имеет анатомическую особенность, указывающую на её пол: мальчик. Весь комплект одежды - кофточка, шапочка и ползунки выполнен из мягкой флисовой ткани, что придаёт ещё большую нежность кукле. Производитель оставляет за собой право изменения цветовой гаммы одежды и волос куклы, цвет глаз может варьироваться. Кукла представляет собой образ младенца - мальчика с милым личиком, пухленькими щёчками. Куклу хочется взять на ручки и позаботиться о ней. 				
													<br>
					<span class='moretext'>
						<br>Игровые возможности куклы: благодаря небольшому размеру и продуманной конструкции  куклу легко и удобно брать в руки, её можно сажать, укладывать спать, переодевать. Куклу можно купать, так как у неё вставные не закрывающиеся глазки, рельефный кукольный паричок и нет звуковых устройств. Эта кукла подходит для сюжетных игр и разнообразных игровых действий ребёнка. <br><br>Высота 30 см. Тело куклы пропорционально и гармонично, полностью  выполнено из эластичного приятного на ощупь винила. Кукла соответствует Техническому регламенту Таможенного Союза о безопасности детской игрушки.<br><br>Дополнительно к кукле можно приобрести комплект одежды.					</span><br>
					<span class='full'>Подробнее</span>";"";"Малыш Весна 2 мальчик";"";"";"malysh-vesna-2-malchik";"";"";"";"";"";"";"http://www.vesna.kirov.ru/upload/iblock/40c/%D0%B21922_%D0%BC%D0%B0%D0%BB%D1%8B%D1%88_%D0%B2%D0%B5%D1%81%D0%BD%D0%B0_2.jpg";"";"";"";""
"Малыш Весна 12 мальчик";"";"В3024";"RUB";"888 ₽";"1";"";"";"";"Малыш Весна 12 - кукла из серии «Малыши и малышки» имеет анатомическую особенность, указывающую на её пол: мальчик. Весь комплект одежды весеннее-осенней коллекции: вязаный комбинезон в полоску длиной чуть ниже линии колена, без рукавов и воротника, с застёжкой сзади на «Велкро»; вязаная кофточка с длинными рукавами, с капюшоном, которая завязывается спереди шнуром с помпонами; вязаная шапочка придаёт ещё большую нежность малышу. Производитель оставляет за собой право изменения цветовой гаммы одежды куклы, цвет глаз может варьироваться. Кукла представляет собой образ младенца - мальчика с милым личиком, пухленькими щёчками. Малыша так и хочется взять на ручки и позаботиться о нём. 				
													<br>
					<span class='moretext'>
						<br>Игровые возможности куклы: благодаря небольшому размеру и продуманной конструкции  эту куклу легко и удобно брать в руки, её можно сажать, укладывать спать, переодевать. Куклу можно купать, так как у неё вставные не закрывающиеся глазки, рельефный кукольный паричок и нет звуковых устройств. Эта кукла подходит для сюжетных игр и разнообразных игровых действий ребёнка. <br><br>Высота 30 см. Тело куклы пропорционально и гармонично, полностью  выполнено из эластичного приятного на ощупь винила. Кукла соответствует Техническому регламенту Таможенного Союза о безопасности детской игрушки.<br><br>Дополнительно к кукле можно приобрести комплект одежды.					</span><br>
					<span class='full'>Подробнее</span>";"";"Малыш Весна 12 мальчик";"";"";"malysh-vesna-12-malchik";"";"";"";"";"";"";"http://www.vesna.kirov.ru/upload/iblock/b6b/%D0%B23024_1_%D0%BC%D0%B0%D0%BB%D1%8B%D1%88_12_%D1%81%D1%82%D0%BE%D1%8F.jpg";"http://www.vesna.kirov.ru/upload/iblock/4ff/в3024_2_малыш_12_сидя.jpg";"http://www.vesna.kirov.ru/upload/iblock/941/в3024_3_малыш_12_сп.jpg";"";""
"Малыш Весна 11 мальчик";"";"В3019";"RUB";"729 ₽";"1";"";"";"";"Малыш Весна 11 - кукла из серии «Малыши и малышки» имеет анатомическую особенность, указывающую на её пол: мальчик. Весь комплект одежды летней коллекции: 				
													<br>
					<span class='moretext'>
						<br>ползунки вязаные гладью в полоску; кофточка из велюра с длинными рукавами, отложным воротником и застёжкой сзади на «Велкро»; шапочка из велюра с помпонами придаёт ещё большую нежность малышу. Производитель оставляет за собой право изменения цветовой гаммы одежды куклы, цвет глаз может варьироваться. Кукла представляет собой образ младенца - мальчика с милым личиком, пухленькими щёчками. Малыша так и хочется взять на ручки и позаботиться о нём. <br><br>Игровые возможности куклы: благодаря небольшому размеру и продуманной конструкции  эту куклу легко и удобно брать в руки, её можно сажать, укладывать спать, переодевать. Куклу можно купать, так как у неё вставные не закрывающиеся глазки, рельефный кукольный паричок и нет звуковых устройств. Эта кукла подходит для сюжетных игр и разнообразных игровых действий ребёнка. <br><br>Высота 30 см. Тело куклы пропорционально и гармонично, полностью  выполнено из эластичного приятного на ощупь винила. Кукла соответствует Техническому регламенту Таможенного Союза о безопасности детской игрушки.<br><br>Дополнительно к кукле можно приобрести комплект одежды.					</span><br>
					<span class='full'>Подробнее</span>";"";"Малыш Весна 11 мальчик";"";"";"malysh-vesna-11-malchik";"";"";"";"";"";"";"http://www.vesna.kirov.ru/upload/iblock/774/%D0%B23019_1_%D0%BC%D0%B0%D0%BB%D1%8B%D1%88_11%D1%81%D0%B8%D0%B4%D1%8F.jpg";"http://www.vesna.kirov.ru/upload/iblock/110/в3019_2_малыш_11_пп.jpg";"http://www.vesna.kirov.ru/upload/iblock/712/в3019_3_малыш_11_сп.jpg";"";""
"Малыш Весна 1 мальчик";"";"В1886";"RUB";"1009 ₽";"1";"";"";"";"Малыш Весна 1 - кукла из серии «Малыши и малышки» имеет анатомическую особенность, указывающую на её пол: мальчик. Малыш одет в футболку, курточку с капюшоном, яркие штанишки с отворотами. На голове яркая шапочка, на ногах ботиночки. Производитель оставляет за собой право изменения цветовой гаммы одежды куклы, цвет глаз может варьироваться. Малыш Весна 1 представляет собой образ младенца - мальчика с милым личиком, пухленькими щёчками.  Игровые возможности куклы: благодаря небольшому размеру и продуманной конструкции  эту куклу легко и удобно брать в руки, её можно сажать, укладывать спать, переодевать. 				
													<br>
					<span class='moretext'>
						<br>Куклу можно купать, так как у неё вставные не закрывающиеся глазки, рельефный кукольный паричок и нет звуковых устройств. Эта кукла подходит для сюжетных игр и разнообразных игровых действий ребёнка. <br><br>Высота 30 см. Тело куклы пропорционально и гармонично, полностью  выполнено из эластичного, приятного на ощупь винила. Кукла соответствует Техническому регламенту Таможенного Союза о безопасности детской игрушки.<br><br>Дополнительно к кукле можно приобрести комплект одежды.					</span><br>
					<span class='full'>Подробнее</span>";"";"Малыш Весна 1 мальчик";"";"";"malysh-vesna-1-malchik";"";"";"";"";"";"";"http://www.vesna.kirov.ru/upload/iblock/bfd/%D0%B21886_%D0%BC%D0%B0%D0%BB%D1%8B%D1%88_%D0%B2%D0%B5%D1%81%D0%BD%D0%B0_1.jpg";"";"";"";""
"Максимка Весна 6";"";"В290";"RUB";"400 ₽";"1";"";"";"";"Кукла Максимка Весна 6 из серии «Веснушки». Это кукла-младенец с весёлыми улыбающимися глазками, он так и проситься на ручки  будущей хозяйке этого малыша. Максимка одет в распашонку и завёрнут в конверт для  младенца. Производитель оставляет за собой право изменения цветовой гаммы одежды и волос куклы, цвет глаз может варьироваться. Куклу можно купать, так как у него рисованные глазки и рельефный паричок. Эта кукла подходит для сюжетных игр и разнообразных игровых действий ребёнка. Рост куклы 23 см., не озвучена. Тело куклы пропорционально. Кукла полностью выполнена из  эластичного, приятного на ощупь винила.				
													<br>
					<span class='moretext'>
						<br>Кукла соответствует Техническому регламенту Таможенного Союза о безопасности игрушки.					</span><br>
					<span class='full'>Подробнее</span>";"";"Максимка Весна 6";"";"";"maksimka-vesna-6";"";"";"";"";"";"";"http://www.vesna.kirov.ru/upload/iblock/e6e/%D0%B2290_%D0%BC%D0%B0%D0%BA%D1%81%D0%B8%D0%BC%D0%BA%D0%B0_%D0%B2%D0%B5%D1%81%D0%BD%D0%B0_6.jpg";"http://www.vesna.kirov.ru/upload/iblock/c86/в290_упаковка_серии_кукол_максимка_весна_(24см).jpg";"";"";""
"Максимка Весна 2";"";"В2496";"RUB";"508 ₽";"1";"";"";"";"Максимка Весна 2 кукла из серии «Веснушки». Производитель оставляет за собой право изменения цветовой гаммы одежды и волос куклы, цвет глаз может варьироваться. Это кукла-младенец с весёлыми улыбающимися глазками, он так и просится на ручки  будущей хозяйке этого малыша. Максимка одет в распашонку и завёрнут в конверт для  младенца. Его можно купать, так как у него рисованные глазки и рельефный паричок. Эта кукла подходит для сюжетных игр и разнообразных игровых действий ребёнка. Рост куклы 23 см., не озвучена. Тело куклы пропорционально. Кукла полностью выполнена из  эластичного, приятного на ощупь винила.				
													<br>
					<span class='moretext'>
						<br>Кукла соответствует Техническому регламенту Таможенного Союза о безопасности игрушки					</span><br>
					<span class='full'>Подробнее</span>";"";"Максимка Весна 2";"";"";"maksimka-vesna-2";"";"";"";"";"";"";"http://www.vesna.kirov.ru/upload/iblock/911/%D0%B22496_%D0%BC%D0%B0%D0%BA%D1%81%D0%B8%D0%BC%D0%BA%D0%B0_%D0%B2%D0%B5%D1%81%D0%BD%D0%B0_2.jpg";"";"";"";""
"Людмила Весна 9 со звуковым устройством";"";"В1891/о";"RUB";"1331 ₽";"1";"";"";"";"Кукла Людмила Весна 9 серии «Моя любимая кукла» может стать настоящей подружкой для ребёнка. В комплект одежды входит:  нарядное платье и ободок для волос из бархата, колготки из сетки-стрейч. Комплект дополняют туфли. Производитель оставляет за собой право изменения цветовой гаммы одежды и волос куклы, цвет глаз может варьироваться.				
													<br>
					<span class='moretext'>
						<br>Игровые и дидактические возможности куклы: при нажатии на звуковое устройство, вставленное в спинку, кукла произносит фразы. Наличие элементов одежды, которые легко снимаются и надеваются, аксессуара-сумочки из бархата разнообразит возможности сюжетно-ролевых игр с этой куклой, в процессе которых развивается мелкая моторика и творческое воображение ребёнка. <br><br>Прекрасные прошитые волосы из качественного нейлона, похожие на натуральные, можно завивать, расчёсывать, укладывать в разные причёски, меняя образ куклы. <br><br>Рост куклы 52,5 см. Кукла Людмила Весна 9 озвучена. Глаза вставные закрывающиеся. Тело куклы пропорционально. Ручки и голова выполнены из эластичного, приятного на ощупь винила, а туловище и ноги из пластмассы. <br><br>Кукла Людмила Весна 9 соответствует Техническому регламенту Таможенного Союза о безопасности игрушки.<br><br>Кукла произносит следующие фразы:<br><br>-Привет! Давай потанцуем.<br><br>-Я люблю музыку.<br><br>-Возьми меня за ручки.<br><br>-Покружись со мной.<br><br>-Как здорово!<br><br>-А сейчас спой мне песенку.<br><br>-А другую песенку…<br><br>-Мне очень нравится!					</span><br>
					<span class='full'>Подробнее</span>";"";"Людмила Весна 9 со звуковым устройством";"";"";"lyudmila-vesna-9-so-zvukovym-ustroystvom";"";"";"";"";"";"";"http://www.vesna.kirov.ru/upload/iblock/fd6/%D0%B21891%D0%BE_%D0%BB%D1%8E%D0%B4%D0%BC%D0%B8%D0%BB%D0%B0_9_%D0%B2%D0%B5%D1%81%D0%BD%D0%B0.jpg";"http://www.vesna.kirov.ru/upload/iblock/b73/в1891о_людмила_весна_9.jpg";"";"";""
"Людмила Весна 8 со звуковым устройством";"";"В3037/о";"RUB";"1508 ₽";"1";"";"";"";"Людмила Весна 8 серии «Моя подруга» может стать настоящей подружкой для ребёнка. В комплект одежды входит: нарядное платье, отрезное по линии талии, с короткими рукавами, воротником-стойкой, застёжкой сзади на «Велкро». Юбка платья из трёх частей: верхняя и средняя юбки из мягкой сетки, нижняя юбка платья и лиф платья из шёлка. Сбоку на  талии бант из атласной ленты.  Ободок на голову из тесьмы с пайетками, застёгивается сзади (под волосами) на «Велкро». Комплект дополнен туфлями. Производитель оставляет за собой право изменения цветовой гаммы одежды и волос куклы, цвет глаз может варьироваться. Рост куклы 52,5 см. Её образ – девочка-подросток, что позволяет кукле стать настоящей подружкой современной девочке, так как очень часто именно куклам дети доверяют свои секреты, переносят на них различные психологические проблемы, проигрывая житейские ситуации в играх с куклами. Для внимательного и чуткого взрослого, заинтересованного в правильном психологическом развитии ребёнка, кукла может стать настоящей помощницей. Ненавязчиво помогая ребёнку организовать игру с этой куклой, подсказывая поворот сюжета, используя метод включённого наблюдения, взрослый может увидеть в процессе игры ребёнка тревожащие его проблемы, помочь через игру решить их. 				
													<br>
					<span class='moretext'>
						<br>Наличие множества элементов одежды, которая легко снимается и надевается, разнообразит возможности сюжетно-ролевых игр с этими куклами, в процессе которых развивается мелкая моторика и творческое воображение ребёнка. <br><br>У куклы красивые прошитые волосы из качественного нейлона. Они легко расчёсываются, позволяя моделировать современные причёски, что даёт возможность ребёнку развивать чувство стиля и вкус. <br><br>Глаза вставные закрывающиеся. Тело куклы пропорционально. Ручки и голова выполнены из эластичного, приятного на ощупь винила, а туловище и ноги из пластмассы. При нажатии на звуковое устройство, вставленное в спинку, кукла произносит фразы.<br><br>Соответствует Техническому регламенту Таможенного Союза о безопасности игрушки.<br><br>Кукла произносит следующие фразы: <br><br>-Теперь ты моя подруга.<br><br>-Ты не забыла - сегодня мы идем на праздник?<br><br>-Нам нужно быть красивыми.<br><br>-Сделай мне прическу!<br><br>-Получилось очень красиво!<br><br>-Теперь себе.<br><br>-Не забудь про маникюр?<br><br>-А нарядное платье?<br><br>-Мы сегодня самые красивые!					</span><br>
					<span class='full'>Подробнее</span>";"";"Людмила Весна 8 со звуковым устройством";"";"";"lyudmila-vesna-8-so-zvukovym-ustroystvom";"";"";"";"";"";"";"http://www.vesna.kirov.ru/upload/iblock/b4c/%D0%B23037%D0%BE_1_%D0%BB%D1%8E%D0%B4%D0%BC%D0%B8%D0%BB%D0%B0_%D0%B2%D0%B5%D1%81%D0%BD%D0%B0_8.jpg";"http://www.vesna.kirov.ru/upload/iblock/e72/в3037о_2_людмила_весна_8_пп.jpg";"";"";""
"Людмила Весна 5 со звуковым устройством";"";"В1644/о";"RUB";"1411 ₽";"1";"";"";"";"Людмила Весна 5 серии «Моя подруга» может стать настоящей подружкой для ребёнка. Рост куклы 52 см. Комплект одежды куклы из зимней коллекции состоит из трикотажного пальто, трикотажной футболки с короткими рукавами, вязаных брюк и шапки с бантом, трикотажных носков, туфелек. Производитель оставляет за собой право изменения цветовой гаммы одежды и волос куклы, цвет глаз может варьироваться. Её образ – девочка-подросток, что позволяет кукле стать настоящей подружкой современной девочке, так как очень часто именно куклам доверяют дети свои секреты, переносят на них различные психологические проблемы, проигрывая житейские ситуации в играх с куклами. Для внимательного и чуткого взрослого, заинтересованного в правильном психологическом развитии ребёнка, кукла Людмила Весна 5 может стать настоящей помощницей. Ненавязчиво помогая ребёнку организовать игру с этой куклой, подсказывая поворот сюжета, используя метод включённого наблюдения, взрослый может увидеть в процессе игры ребёнка тревожащие его проблемы, помочь через игру решить их. 				
													<br>
					<span class='moretext'>
						<br>Игровые и дидактические возможности куклы: при нажатии на звуковое устройство, вставленное в спинку, кукла произносит фразы. <br><br>Наличие множества элементов одежды, которая легко снимается и надевается, разнообразит возможности сюжетно-ролевых игр с этими куклами, в процессе которых развивается мелкая моторика и творческое воображение ребёнка. <br><br>У куклы красивые прошитые волосы из качественного нейлона. Они легко расчёсываются, позволяя моделировать современные причёски, что даёт возможность ребёнку развивать чувство стиля и вкус. <br><br>Глаза вставные закрывающиеся. Тело куклы пропорционально. Ручки и голова выполнены из эластичного, приятного на ощупь винила, а туловище и ноги из пластмассы. <br><br>Кукла Людмила Весна 5 соответствует Техническому регламенту Таможенного Союза о безопасности игрушки.					</span><br>
					<span class='full'>Подробнее</span>";"";"Людмила Весна 5 со звуковым устройством";"";"";"lyudmila-vesna-5-so-zvukovym-ustroystvom";"";"";"";"";"";"";"http://www.vesna.kirov.ru/upload/iblock/9ad/%D0%B21644%D0%BE_%D0%BB%D1%8E%D0%B4%D0%BC%D0%B8%D0%BB%D0%B0_%D0%B2%D0%B5%D1%81%D0%BD%D0%B0_5.jpg";"";"";"";""
"Людмила Весна 3 со звуковым устройством";"";"В2079/о";"RUB";"1386 ₽";"1";"";"";"";"Кукла Людмила Весна 3 серии «Моя любимая кукла» может стать настоящей подружкой для ребёнка. В комплект одежды входит:  плащ с капюшоном, платье из трикотажа, колготки из сетки-стрейч. Комплект дополнен ботинками на шнурках. Производитель оставляет за собой право изменения цветовой гаммы одежды и волос куклы, цвет глаз может варьироваться.Игровые и дидактические возможности куклы: при нажатии на звуковое устройство, вставленное в спинку, кукла произносит фразы. Наличие элементов одежды, которые легко снимаются и надеваются, разнообразит возможности сюжетно-ролевых игр с этой куклой, в процессе которых развивается мелкая моторика и творческое воображение ребёнка. 				
													<br>
					<span class='moretext'>
						<br>Прекрасные прошитые волосы из качественного нейлона, похожие на натуральные, можно завивать, расчёсывать, укладывать в разные причёски, меняя образ куклы. <br><br>Рост куклы 52,5 см. Кукла Людмила Весна 3 озвучена. Глаза вставные закрывающиеся. Тело куклы пропорционально. Ручки и голова выполнены из эластичного, приятного на ощупь винила, а туловище и ноги из пластмассы. <br><br>Кукла Людмила Весна 3 соответствует Техническому регламенту Таможенного Союза о безопасности игрушки.<br><br>Кукла произносит следующие фразы:<br><br>-Мама,<br><br>-Почитай мне книжку.<br><br>-Давай поиграем.<br><br>-Есть хочу.<br><br>-Хочу спать.					</span><br>
					<span class='full'>Подробнее</span>";"";"Людмила Весна 3 со звуковым устройством";"";"";"lyudmila-vesna-3-so-zvukovym-ustroystvom";"";"";"";"";"";"";"http://www.vesna.kirov.ru/upload/iblock/256/%D0%B22079%D0%BE_%D0%BB%D1%8E%D0%B4%D0%BC%D0%B8%D0%BB%D0%B0_%D0%B2%D0%B5%D1%81%D0%BD%D0%B0_3.jpg";"";"";"";""
"Людмила Весна 13 со звуковым устройством";"";"В3010/о";"RUB";"1885 ₽";"1";"";"";"";"Людмила Весна 13 из серии «Моя подруга» может стать настоящей подружкой для ребёнка. В комплект одежды входит: нарядное платье без рукавов, отрезное по линии талии, нижняя юбка из шелка, верхняя юбка из шифона, подъюбник из жесткой сетки, перед платья из ткани в розочку обтачан подкладом, застежка сзади на контактную ленту 'Велкро'. Сумка из шифона и шелка. Комплект дополнен туфлями. Производитель оставляет за собой право изменения цветовой гаммы одежды и волос куклы, цвет глаз может варьироваться. Рост куклы 52,5 см. Её образ – девочка-подросток, что позволяет кукле стать настоящей подружкой современной девочке, так как очень часто именно куклам дети доверяют свои секреты, переносят на них различные психологические проблемы, проигрывая житейские ситуации в играх с куклами. Для внимательного и чуткого взрослого, заинтересованного в правильном психологическом развитии ребёнка, кукла может стать настоящей помощницей. Ненавязчиво помогая ребёнку организовать игру с этой куклой, подсказывая поворот сюжета, используя метод включённого наблюдения, взрослый может увидеть в процессе игры ребёнка тревожащие его проблемы, помочь через игру решить их. 				
													<br>
					<span class='moretext'>
						<br>Наличие множества элементов одежды, которая легко снимается и надевается, разнообразит возможности сюжетно-ролевых игр с этими куклами, в процессе которых развивается мелкая моторика и творческое воображение ребёнка. <br><br>У куклы красивые прошитые волосы из качественного нейлона. Они легко расчёсываются, позволяя моделировать современные причёски, что даёт возможность ребёнку развивать чувство стиля и вкус. <br><br>Глаза вставные закрывающиеся. Тело куклы пропорционально. Ручки и голова выполнены из эластичного, приятного на ощупь винила, а туловище и ноги из пластмассы. При нажатии на звуковое устройство, вставленное в спинку, кукла произносит фразы.<br><br>Соответствует Техническому регламенту Таможенного Союза о безопасности игрушки.<br><br>Кукла произносит следующие фразы: <br><br>-Теперь ты моя подруга.<br><br>-Ты не забыла - сегодня мы идем на праздник?<br><br>-Нам нужно быть красивыми.<br><br>-Сделай мне прическу!<br><br>-Получилось очень красиво!<br><br>-Теперь себе.<br><br>-Не забудь про маникюр?<br><br>-А нарядное платье?<br><br>-Мы сегодня самые красивые!					</span><br>
					<span class='full'>Подробнее</span>";"";"Людмила Весна 13 со звуковым устройством";"";"";"lyudmila-vesna-13-so-zvukovym-ustroystvom";"";"";"";"";"";"";"http://www.vesna.kirov.ru/upload/iblock/49f/%D0%B23010%D0%BE_1_%D0%BB%D1%8E%D0%B4%D0%BC%D0%B8%D0%BB%D0%B0_13.jpg";"http://www.vesna.kirov.ru/upload/iblock/fbe/в3010о_2_людмила_13_пп.jpg";"http://www.vesna.kirov.ru/upload/iblock/a29/в3010о_3_людмила_13_сп.jpg";"";""
