Наименование;"Наименование артикула";"Код артикула";Валюта;Цена;"Доступен для заказа";"Зачеркнутая цена";"Закупочная цена";"Краткое описание";Описание;Теги;Заголовок;"Тип товаров""META Keywords";"META Description";"Ссылка на витрину";Производитель;Объем;Размеры;"Возраст детей";Страна-производитель;Материал;Изображения
"Temporary2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"!LavaToys";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"!!Бегемоты";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Кот Робин";"";"LVS-8707";"RUB";"299";"1";"599";"";"";"Издает звук «Друг такой мне очень нужен» при нажатии на игрушку";"";"Кот Робин";"";"";"kot-robin-lvs-8707";"";"";"Высота: 25 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/5c/f5/5cf5ed890664ee64774d8785ae02b5ad.jpg"
"Кот в сапогах";"";"LVS-8160";"RUB";"299";"1";"699";"";"";"Издает звук «Друг такой мне очень нужен» при нажатии на игрушку";"";"Кот в сапогах";"";"";"kot-v-sapogakh-lvs-8160";"";"";"Высота: 23 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/52/8b/528b855b477f9774d063571867537b95.jpg"
"Кот в беретке";"";"LVS-705A";"RUB";"299";"1";"799";"";"";"Издает звук «Друг такой мне очень нужен» при нажатии на игрушку";"";"Кот в беретке";"";"";"kot-v-beretke-lvs-705a";"";"";"Высота: 25 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/11/7a/117a7d0bc5036e06c31883421a5cf603.jpg"
"!!Крокодилы";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Крокодильчик в одежде";"";"LVS-1015";"RUB";"299";"1";"599";"";"";"Издает звук «Мы с тобою неразлучны» при нажатии на игрушку";"";"Крокодильчик в одежде";"";"";"krokodilchik-v-odezhde-lvs-1015";"";"";"Высота: 22 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/51/b0/51b01334ba5735c3b55a21962bd603c6.jpg"
"Крокодил-мама с малышом";"";"LVS-562";"RUB";"399";"1";"799";"";"";"Издает звук «Спи, дружочек, баю-бай» при нажатии на игрушку";"";"Крокодил-мама с малышом";"";"";"krokodil-mama-s-malyshom-lvs-562";"";"";"Высота: 24 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/ed/0b/ed0bf340ff52f8bd3287fea17dcdd1a0.jpg"
"Крокодил стоящий в одежде";"";"LVS-998";"RUB";"299";"1";"599";"";"";"Издает звук «Друг такой мне очень нужен» при нажатии на игрушку";"";"Крокодил стоящий в одежде";"";"";"krokodil-stoyashchiy-v-odezhde-lvs-998";"";"";"Высота: 30 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/7b/5a/7b5a62f121c8111cc1f083db7a39801c.jpg"
"Крокодил Гоша с ромашкой";"";"LVS-657";"RUB";"299";"1";"599";"";"";"Издает звук «Друг такой мне очень нужен» при нажатии на игрушку";"";"Крокодил Гоша с ромашкой";"";"";"krokodil-gosha-s-romashkoy-lvs-657";"";"";"Высота: 22 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/c0/ff/c0ff528d243537bdcb53c89bc653a148.jpg"
"Крокодил в футболке с платочком";"";"LVS-8744";"RUB";"199";"1";"399";"";"";"Издает звук «В зоопарк спешите дети» при нажатии на игрушку";"";"Крокодил в футболке с платочком";"";"";"krokodil-v-futbolke-s-platochkom-lvs-8744";"";"";"Высота: 19 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/7d/ce/7dce92d489c86f9389af37075a48eb71.jpg"
"!!Кроты";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Крот в шапке стоящий";"";"LVS-8775";"RUB";"399";"1";"599";"";"";"Издает звук «Считалочка» при нажатии на игрушку";"";"Крот в шапке стоящий";"";"";"krot-v-shapke-stoyashchiy-lvs-8775";"";"";"Высота: 25 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/59/c7/59c7a15f4f972b074aaf99e450e1a2a8.jpg"
"!!Кукла Майя";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Кукла Майя-морячка";"";"LVS-8575Y";"RUB";"599";"1";"";"";"";"Издает звук «А я чай пила (частушки)» при нажатии на игрушку";"";"Кукла Майя-морячка";"";"";"kukla-mayya-moryachka-lvs-8575y";"";"";"Высота: 28 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/6c/6c/6c6c2da5a4d7509f2eca029533831b4b.jpg"
"Кукла Майя в тунике";"";"LVS-8789B";"RUB";"399";"1";"599";"";"";"Издает звук «Платьица нарядные очень я люблю» при нажатии на игрушку";"";"Кукла Майя в тунике";"";"";"kukla-mayya-v-tunike-lvs-8789b";"";"";"Высота: 28 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/85/24/8524123edcc2861873f6a3fcf3845570.jpg"
"Кукла Майя в трикотажной куртке";"";"LVS-8575T";"RUB";"599";"1";"";"";"";"Издает звук «Я на горку шла» при нажатии на игрушку";"";"Кукла Майя в трикотажной куртке";"";"";"kukla-mayya-v-trikotazhnoy-kurtke-lvs-8575t";"";"";"Высота: 28 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/87/bc/87bcf8dabf6636184bb3e2dc3dbc5fc2.jpg"
"Кукла Майя в тапочках с помпонами";"";"LVS-8371G";"RUB";"599";"1";"";"";"";"Издает звук «Ах, Самара-городок» при нажатии на игрушку";"";"Кукла Майя в тапочках с помпонами";"";"";"kukla-mayya-v-tapochkakh-s-pomponami-lvs-8371g";"";"";"Высота: 28 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/30/02/30022bbe43e1ae4dfb45a5e38cd7cb34.jpg"
"Кукла Майя в свитере с узором";"";"LVS-8789J";"RUB";"399";"1";"599";"";"";"Издает звук «Цветы для мамы» при нажатии на игрушку";"";"Кукла Майя в свитере с узором";"";"";"kukla-mayya-v-svitere-s-uzorom-lvs-8789j";"";"";"Высота: 28 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/c7/9c/c79c53ff51b91bc6d5ed1ef28325ec82.jpg"
"Кукла Майя в свитере с орнаментом";"";"LVS-8789F";"RUB";"599";"1";"";"";"";"Издает звук «Сударыня-барыня» при нажатии на игрушку";"";"Кукла Майя в свитере с орнаментом";"";"";"kukla-mayya-v-svitere-s-ornamentom-lvs-8789f";"";"";"Высота: 28 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/fb/d1/fbd16629724ad2e27cbc89631063657c.jpg"
"Кукла Майя в свитере в бирюзовую полоску";"";"LVS-8575L";"RUB";"599";"1";"";"";"";"Издает звук «Ах, Самара-городок» при нажатии на игрушку";"";"Кукла Майя в свитере в бирюзовую полоску";"";"";"kukla-mayya-v-svitere-v-biryuzovuyu-polosku-lvs-8575l";"";"";"Высота: 28 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/cf/99/cf99cb9e70c6f699a0e4de60d45cf2aa.jpg"
"Кукла Майя в свитере";"";"LVS-8371A";"RUB";"599";"1";"";"";"";"Издает звук «Ах, Самара-городок» при нажатии на игрушку";"";"Кукла Майя в свитере";"";"";"kukla-mayya-v-svitere-lvs-8371a";"";"";"Высота: 28 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/30/c2/30c27bf50f7940e887bcfa22f9f57e4c.jpg"
"Кукла Майя в сарафане с яблочками";"";"LVS-8575J";"RUB";"599";"1";"";"";"";"Издает звук «Ах, Самара-городок» при нажатии на игрушку";"";"Кукла Майя в сарафане с яблочками";"";"";"kukla-mayya-v-sarafane-s-yablochkami-lvs-8575j";"";"";"Высота: 28 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/db/3f/db3fa843402b36958292e7f870565145.jpg"
"Кукла Майя в сарафане с карманами";"";"LVS-8575H";"RUB";"599";"1";"";"";"";"Издает звук «Я на горку шла» при нажатии на игрушку";"";"Кукла Майя в сарафане с карманами";"";"";"kukla-mayya-v-sarafane-s-karmanami-lvs-8575h";"";"";"Высота: 28 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/a1/f0/a1f00280927a1c1940835eaa48a1782b.jpg"
"Кукла Майя в полосатом джемпере";"";"LVS-8371M";"RUB";"599";"1";"";"";"";"Издает звук «Ах, Самара-городок» при нажатии на игрушку";"";"Кукла Майя в полосатом джемпере";"";"";"kukla-mayya-v-polosatom-dzhempere-lvs-8371m";"";"";"Высота: 28 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/8d/00/8d00aa6330d4af744fb7c349c3df3e1b.jpg"
"Кукла Майя в плаще";"";"LVS-8371L";"RUB";"599";"1";"";"";"";"Издает звук «Каравай» при нажатии на игрушку";"";"Кукла Майя в плаще";"";"";"kukla-mayya-v-plashche-lvs-8371l";"";"";"Высота: 28 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/60/18/601892f17e5cf34aac22e2b17b639834.jpg"
"Кукла Майя в платье с кружевом";"";"LVS-8789E";"RUB";"599";"1";"";"";"";"Издает звук «Платьица нарядные очень я люблю» при нажатии на игрушку";"";"Кукла Майя в платье с кружевом";"";"";"kukla-mayya-v-plate-s-kruzhevom-lvs-8789e";"";"";"Высота: 28 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/c3/c0/c3c04fa52f878722f725e813f21bba7a.jpg"
"Кукла Майя в платье с вышитой овечкой";"";"LVS-8789K";"RUB";"599";"1";"";"";"";"Издает звук «Цветы для мамы» при нажатии на игрушку";"";"Кукла Майя в платье с вышитой овечкой";"";"";"kukla-mayya-v-plate-s-vyshitoy-ovechkoy-lvs-8789k";"";"";"Высота: 28 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/9a/c4/9ac44e2fdb33b4691be934d414bdb2c0.jpg"
"Кукла Майя в платье с вышитой лошадкой";"";"LVS-8575Z";"RUB";"599";"1";"";"";"";"Издает звук «Каравай» при нажатии на игрушку";"";"Кукла Майя в платье с вышитой лошадкой";"";"";"kukla-mayya-v-plate-s-vyshitoy-loshadkoy-lvs-8575z";"";"";"Высота: 28 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/0f/36/0f3638fa36a3f8cba01e2549ab9b712a.jpg"
"Кукла Майя в платье с вышивкой";"";"LVS-8371Z";"RUB";"599";"1";"";"";"";"Издает звук «Цветы для мамы» при нажатии на игрушку";"";"Кукла Майя в платье с вышивкой";"";"";"kukla-mayya-v-plate-s-vyshivkoy-lvs-8371z";"";"";"Высота: 28 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/ab/59/ab59429c7b998c5bd5271800aedfaef9.jpg"
"Кукла Майя в платье с вишнями";"";"LVS-8575C";"RUB";"599";"1";"";"";"";"Издает звук «Сударыня-барыня» при нажатии на игрушку";"";"Кукла Майя в платье с вишнями";"";"";"kukla-mayya-v-plate-s-vishnyami-lvs-8575c";"";"";"Высота: 28 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/7d/c0/7dc0ae539506d5791b24342288774fe6.jpg"
"Кукла Майя в платье в полоску";"";"LVS-8789G";"RUB";"599";"1";"";"";"";"Издает звук «Цветы для мамы» при нажатии на игрушку";"";"Кукла Майя в платье в полоску";"";"";"kukla-mayya-v-plate-v-polosku-lvs-8789g";"";"";"Высота: 28 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/96/89/968963687b37023f577c6bde81015e14.jpg"
"Кукла Майя в платье";"";"LVS-8371B";"RUB";"599";"1";"";"";"";"Издает звук «Сударыня-барыня» при нажатии на игрушку";"";"Кукла Майя в платье";"";"";"kukla-mayya-v-plate-lvs-8371b";"";"";"Высота: 28 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/b1/69/b169fb1d33ff18f116de7085e46bdb81.jpg"
"Кукла Майя в меланжевом свитере";"";"LVS-8789C";"RUB";"599";"1";"";"";"";"Издает звук «Красота вокруг какая» при нажатии на игрушку";"";"Кукла Майя в меланжевом свитере";"";"";"kukla-mayya-v-melanzhevom-svitere-lvs-8789c";"";"";"Высота: 28 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/d5/3f/d53f219c1e473ad63f0f3861ce017779.jpg"
"Кукла Майя в красном свитере";"";"LVS-8371N";"RUB";"599";"1";"";"";"";"Издает звук «Во поле берёза стояла» при нажатии на игрушку";"";"Кукла Майя в красном свитере";"";"";"kukla-mayya-v-krasnom-svitere-lvs-8371n";"";"";"Высота: 28 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/2b/b8/2bb8d79515b75c0caa342b8c20180240.jpg"
"Кукла Майя в красном платье в горошек";"";"LVS-8789D";"RUB";"599";"1";"";"";"";"Издает звук «Платьица нарядные очень я люблю» при нажатии на игрушку";"";"Кукла Майя в красном платье в горошек";"";"";"kukla-mayya-v-krasnom-plate-v-goroshek-lvs-8789d";"";"";"Высота: 28 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/8c/a4/8ca4a3548ebf744d8d19bfe20dc563d2.jpg"
"Кукла Майя в красном платье";"";"LVS-8575F";"RUB";"599";"1";"";"";"";"Издает звук «Сударыня-барыня» при нажатии на игрушку";"";"Кукла Майя в красном платье";"";"";"kukla-mayya-v-krasnom-plate-lvs-8575f";"";"";"Высота: 28 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/b7/31/b7319e8bdae15397c8540113aa3e41ee.jpg"
"Кукла Майя в красной толстовке";"";"LVS-8789A";"RUB";"599";"1";"";"";"";"Издает звук «Платьица нарядные очень я люблю» при нажатии на игрушку";"";"Кукла Майя в красной толстовке";"";"";"kukla-mayya-v-krasnoy-tolstovke-lvs-8789a";"";"";"Высота: 28 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/c8/ac/c8aca10583a5662c2c0f5bcf62cba03f.jpg"
"Кукла Майя в кофточке с божьей коровкой";"";"LVS-8789H";"RUB";"399";"1";"599";"";"";"Издает звук «Красота вокруг какая» при нажатии на игрушку";"";"Кукла Майя в кофточке с божьей коровкой";"";"";"kukla-mayya-v-koftochke-s-bozhey-korovkoy-lvs-8789h";"";"";"Высота: 28 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/d5/90/d59004679c0e4127a561647412e15d83.jpg"
"Кукла Майя в кофточке с бантиком";"";"LVS-8575R";"RUB";"399";"1";"599";"";"";"Издает звук «Во поле берёза стояла» при нажатии на игрушку";"";"Кукла Майя в кофточке с бантиком";"";"";"kukla-mayya-v-koftochke-s-bantikom-lvs-8575r";"";"";"Высота: 28 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/5d/a5/5da51a95b2cb018cc2dea5d8f35625e0.jpg"
"Кукла Майя в комбинезоне";"";"LVS-8371C";"RUB";"599";"1";"";"";"";"Издает звук «Ах, Самара-городок» при нажатии на игрушку";"";"Кукла Майя в комбинезоне";"";"";"kukla-mayya-v-kombinezone-lvs-8371c";"";"";"Высота: 28 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/5c/e7/5ce766851ad558eca09f777212844dff.jpg"
"Кукла Майя в клетчатом сарафане";"";"LVS-8575N";"RUB";"599";"1";"";"";"";"Издает звук «Цветы для мамы» при нажатии на игрушку";"";"Кукла Майя в клетчатом сарафане";"";"";"kukla-mayya-v-kletchatom-sarafane-lvs-8575n";"";"";"";"";"";"";"http://www.lavatoys.ru/media/thumbs/ce/28/ce28353086df6753d2b64e8086e28ed4.jpg"
"Кукла Майя в жёлтой толстовке";"";"LVS-8575X";"RUB";"599";"1";"";"";"";"Издает звук «Где твоя ложечка?» при нажатии на игрушку";"";"Кукла Майя в жёлтой толстовке";"";"";"kukla-mayya-v-zhёltoy-tolstovke-lvs-8575x";"";"";"Высота: 28 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/6d/cf/6dcf9a1fca92311030dbfaa810614f85.jpg"
"Кукла Майя в вязаной жилетке";"";"LVS-8575E";"RUB";"599";"1";"";"";"";"Издает звук «Цветы для мамы» при нажатии на игрушку";"";"Кукла Майя в вязаной жилетке";"";"";"kukla-mayya-v-vyazanoy-zhiletke-lvs-8575e";"";"";"Высота: 28 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/eb/a5/eba5e4205c1ad75a59152c3826c5e982.jpg"
"Кукла Майя в бальном платье";"";"LVS-8575Q";"RUB";"399";"1";"599";"";"";"Издает звук «Платьица нарядные очень я люблю» при нажатии на игрушку";"";"Кукла Майя в бальном платье";"";"";"kukla-mayya-v-balnom-plate-lvs-8575q";"";"";"Высота: 28 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/cb/9b/cb9b717047d9ac63d39d599f4f74c91c.jpg"
"Кукла Майя";"";"LVS-8371";"RUB";"599";"1";"";"";"";"Издает звук «Мы на лодочке катались» при нажатии на игрушку";"";"Кукла Майя";"";"";"kukla-mayya-lvs-8371";"";"";"Высота: 28 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/c6/1c/c61c0e36dd1885a5a3cab0dacadd5f90.jpg"
"!!Кукла Танюша";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Кукла Танюша в платье с фартуком";"";"LVS-8749C";"RUB";"499";"1";"699";"";"";"Издает звук «Сударыня-барыня» при нажатии на игрушку";"";"Кукла Танюша в платье с фартуком";"";"";"kukla-tanyusha-v-plate-s-fartukom-lvs-8749c";"";"";"Высота: 30 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/68/39/68396483426ec235afdb0913cc6e7da3.jpg"
"Кукла Танюша в платье с воланами";"";"LVS-8749E";"RUB";"499";"1";"699";"";"";"Издает звук «Платьица нарядные очень я люблю» при нажатии на игрушку";"";"Кукла Танюша в платье с воланами";"";"";"kukla-tanyusha-v-plate-s-volanami-lvs-8749e";"";"";"Высота: 30 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/3a/11/3a1154f1b2a8db93a9f5865cd88fce30.jpg"
"Кукла Танюша в платье";"";"LVS-8749";"RUB";"499";"1";"699";"";"";"Издает звук «Колокольчики мои» при нажатии на игрушку";"";"Кукла Танюша в платье";"";"";"kukla-tanyusha-v-plate-lvs-8749";"";"";"Высота: 30 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/5d/d8/5dd8bb424dfda1c312a797c4ac688475.jpg"
"Кукла Танюша в панаме";"";"LVS-8749B";"RUB";"499";"1";"699";"";"";"Издает звук «А я чай пила (частушки)» при нажатии на игрушку";"";"Кукла Танюша в панаме";"";"";"kukla-tanyusha-v-paname-lvs-8749b";"";"";"Высота: 30 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/17/89/1789ff39b554cf4f40a8d2b2fd49f0cd.jpg"
"Кукла Танюша в летнем костюмчике";"";"LVS-8749D";"RUB";"499";"1";"699";"";"";"Издает звук «А я чай пила (частушки)» при нажатии на игрушку";"";"Кукла Танюша в летнем костюмчике";"";"";"kukla-tanyusha-v-letnem-kostyumchike-lvs-8749d";"";"";"Высота: 30 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/ce/7b/ce7b55146fdac48198d9580b385f49bb.jpg"
"!!Куклы";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Пиноккио с пуговицами";"";"LVS-8710";"RUB";"369";"1";"469";"";"";"Издает звук «Хорошо уметь читать» при нажатии на игрушку";"";"Пиноккио с пуговицами";"";"";"pinokkio-s-pugovitsami-lvs-8710";"";"";"Высота: 21 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/67/1d/671d004f022d3e4376cb842543f4d1b4.jpg"
"Пиноккио малый";"";"LVS-206A";"RUB";"369";"1";"469";"";"";"Издает звук «Дождик, дождик, поливай» при нажатии на игрушку";"";"Пиноккио малый";"";"";"pinokkio-malyy-lvs-206a";"";"";"Высота: 20,5 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/a5/37/a537db9908b38b230e99553c8dcf07fa.jpg"
"Пиноккио большой";"";"LVS-198";"RUB";"499";"1";"799";"";"";"Издает звук «Задорный смех» при нажатии на игрушку";"";"Пиноккио большой";"";"";"pinokkio-bolshoy-lvs-198";"";"";"Высота: 46 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/72/ee/72ee75de5b3d33133fa9c4c7d4e83ed5.jpg"
"Медведица в зелёном платье танцующая";"";"LVS-8756As";"RUB";"899";"1";"";"";"";"Издает звук «Частушки» при нажатии на игрушку";"";"Медведица в зелёном платье танцующая";"";"";"medveditsa-v-zelёnom-plate-tantsuyushchaya-lvs-8756as";"";"";"Высота: 32 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/8e/7e/8e7ead54c873b7b136043d965cd491a4.jpg"
"Малыш со слюнявчиком";"";"LVS-891";"RUB";"369";"1";"499";"";"";"Издает звук «Где твоя ложечка?» при нажатии на игрушку";"";"Малыш со слюнявчиком";"";"";"malysh-so-slyunyavchikom-lvs-891";"";"";"Высота: 21 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/c1/46/c146c6d907c5c7006a4a9f86b4af630c.jpg"
"Малыш в штанишках";"";"LVS-8640";"RUB";"199";"1";"399";"";"";"Издает звук «Где твоя ложечка?» при нажатии на игрушку";"";"Малыш в штанишках";"";"";"malysh-v-shtanishkakh-lvs-8640";"";"";"Высота: 18,5 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/ff/4e/ff4eeda25eeba71a9ecf489bd68ca63f.jpg"
"Куколка танцующая в русском сарафане";"";"LVS-8767As";"RUB";"999";"1";"";"";"";"Издает звук «Уморилась» при нажатии на игрушку";"";"Куколка танцующая в русском сарафане";"";"";"kukolka-tantsuyushchaya-v-russkom-sarafane-lvs-8767as";"";"";"Высота: 31 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/d4/d6/d4d6438abaddb528edcea1103c0acf89.jpg"
"Куколка танцующая";"";"LVS-8767s";"RUB";"999";"1";"";"";"";"Издает звук «Уморилась» при нажатии на игрушку";"";"Куколка танцующая";"";"";"kukolka-tantsuyushchaya-lvs-8767s";"";"";"Высота: 31 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/92/ba/92ba7a5f5ec9efa02c4a6a261ec26d1b.jpg"
"Куколка Нелли";"";"LVS-1227s";"RUB";"349";"1";"";"";"";"Издает звук «Платьица нарядные очень я люблю» при нажатии на игрушку";"";"Куколка Нелли";"";"";"kukolka-nelli-lvs-1227s";"";"";"";"";"";"";"http://www.lavatoys.ru/media/thumbs/11/13/11139a4d83d897e003adb4dc95d936ef.jpg"
"Куколка Любаша";"";"LVS-1095";"RUB";"449";"1";"";"";"";"Издает звук «Мне мама платьице купила» при нажатии на игрушку";"";"Куколка Любаша";"";"";"kukolka-lyubasha-lvs-1095";"";"";"Высота: 20 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/77/60/7760a2f4c78908bd37f63436d0c55132.jpg"
"Куколка";"";"LVS-8061A";"RUB";"469";"1";"599";"";"";"Издает звук «А я чай пила (частушки)» при нажатии на игрушку";"";"Куколка";"";"";"kukolka-lvs-8061a";"";"";"Высота: 27,5 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/aa/3a/aa3a90739d84d38da7c81d913b7ff516.jpg"
"Кукла-пчёлка малая";"";"LVS-624A";"RUB";"399";"1";"499";"";"";"Издает звук «Я увидеть мир хочу» при нажатии на игрушку";"";"Кукла-пчёлка малая";"";"";"kukla-pchёlka-malaya-lvs-624a";"";"";"Высота: 21,5 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/de/20/de20c02dc988bdc290f008c0183d10a8.jpg"
"Кукла-божья коровка";"";"LVS-934";"RUB";"399";"1";"499";"";"";"Издает звук «Время суток» при нажатии на игрушку";"";"Кукла-божья коровка";"";"";"kukla-bozhya-korovka-lvs-934";"";"";"Высота: 21 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/9a/8f/9a8fd6eebdb7e3c84e38caeafd22fc9c.jpg"
"Кукла-бабочка";"";"LVS-880";"RUB";"399";"1";"499";"";"";"Издает звук «Время суток» при нажатии на игрушку";"";"Кукла-бабочка";"";"";"kukla-babochka-lvs-880";"";"";"Высота: 21 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/af/cd/afcd931a433c6b8e5df1fc08a2c79068.jpg"
"Кукла Маруся в ситцевом платье";"";"LVS-8061F";"RUB";"469";"1";"599";"";"";"Издает звук «Цветы для мамы» при нажатии на игрушку";"";"Кукла Маруся в ситцевом платье";"";"";"kukla-marusya-v-sittsevom-plate-lvs-8061f";"";"";"Высота: 26,5 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/44/b7/44b70f057095b730b2149fb0a63a8482.jpg"
"Кукла Маруся в праздничном платье";"";"LVS-8061D";"RUB";"599";"1";"";"";"";"Издает звук «А я чай пила (частушки)» при нажатии на игрушку";"";"Кукла Маруся в праздничном платье";"";"";"kukla-marusya-v-prazdnichnom-plate-lvs-8061d";"";"";"";"";"";"";"http://www.lavatoys.ru/media/thumbs/18/c9/18c9b87746d8f95d96ae5bc87e07e1cc.jpg"
"Кукла Маруся в платье в горошек";"";"LVS-8061E";"RUB";"599";"1";"";"";"";"Издает звук «Сударыня-барыня» при нажатии на игрушку";"";"Кукла Маруся в платье в горошек";"";"";"kukla-marusya-v-plate-v-goroshek-lvs-8061e";"";"";"Высота: 26,5 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/b9/d4/b9d42e2b8d3d39717a8151a0f4fab824.jpg"
"Кукла Маруся";"";"LVS-8061C";"RUB";"469";"1";"599";"";"";"Издает звук «Я в садочке была» при нажатии на игрушку";"";"Кукла Маруся";"";"";"kukla-marusya-lvs-8061c";"";"";"Высота: 26,5 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/60/76/60767d044f059e0aeb35489fe2d00b41.jpg"
"Кукла Ляля в шёлковом платье";"";"LVS-869C";"RUB";"399";"1";"469";"";"";"Издает звук «Цветы для мамы» при нажатии на игрушку";"";"Кукла Ляля в шёлковом платье";"";"";"kukla-lyalya-v-shёlkovom-plate-lvs-869c";"";"";"Высота: 22 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/35/88/3588b4308ccee31b1f04ff5fba0c9493.jpg"
"Кукла Ляля в платье в горошек";"";"LVS-869B*";"RUB";"399";"1";"469";"";"";"Издает звук «Солнышку все рады» при нажатии на игрушку";"";"Кукла Ляля в платье в горошек";"";"";"kukla-lyalya-v-plate-v-goroshek-lvs-869b";"";"";"Высота: 21,5 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/1f/bf/1fbf93e1cad6c56cd6b062da15ab9f14.jpg"
"Кукла Ляля";"";"LVS-869*";"RUB";"399";"1";"469";"";"";"Издает звук «Солнышку все рады» при нажатии на игрушку";"";"Кукла Ляля";"";"";"kukla-lyalya-lvs-869";"";"";"Высота: 21,5 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/83/a5/83a5bfa5efdf72b73deb4997289cc7e2.jpg"
"Кукла Линда";"";"LVS-1218";"RUB";"1199";"1";"1999";"";"";"Издает звук «Платьица нарядные очень я люблю» при нажатии на игрушку";"";"Кукла Линда";"";"";"kukla-linda-lvs-1218";"";"";"Высота: 83 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/61/46/6146bebd062e20aceb31134b83c116d3.jpg"
"Кукла Катюша в платье с розочками";"";"LVS-1138B";"RUB";"499";"1";"549";"";"";"Издает звук «Я в садочке была» при нажатии на игрушку";"";"Кукла Катюша в платье с розочками";"";"";"kukla-katyusha-v-plate-s-rozochkami-lvs-1138b";"";"";"Высота: 24 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/ca/d1/cad1623e0c77ccdf85d752757340ccf6.jpg"
