Наименование;"Наименование артикула";"Код артикула";Валюта;Цена;"Доступен для заказа";"Зачеркнутая цена";"Закупочная цена";"Краткое описание";Описание;Теги;Заголовок;"Тип товаров""META Keywords";"META Description";"Ссылка на витрину";Производитель;Объем;Размеры;"Возраст детей";Страна-производитель;Материал;Изображения;Изображения;Изображения;Изображения
"!! Моторные масла – легковые автомобили";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Eco Light";"";"";"RUB";"";"1";"";"";"";"Синтетическое моторное масло (синтетика), изготовленное по технологии Surftec, предназначено для мощных и современных двигателей с непосредственным впрыском и турбонаддувом. Идеальное решение для смешанного автопарка.<br><br>Класс вязкости <br><strong>Моторное масло ECO LIGHT 5W40:</strong> SAE 5W-40 <br><br>Спецификации и лицензии <br><strong>Моторное масло ECO LIGHT:</strong> ACEA A3/B4; API SN/CF; VW 502 00/505 00; MB 226.5, MB 229.5; Renault RN0700/0710; BMW Longlife-01; выполняет требования: GM-LL-B-025; PSA B71 2296; Porsche A40";"";"Eco Light";"";"";"eco-light";"";"";"";"";"";"";"http://www.addinol.ee/extensions/addinol_db/pic/mootoriõli 5w40_Eco Light.jpg";"";"";""
"Eco Synth";"";"";"RUB";"";"1";"";"";"";"Полусинтетическое моторное масло, изготовленное по технологии Surftec. Предназначено для мощных бензиновых и дизельных двигателей легковых автомобилей и микроавтобусов. <br><br>Класс вязкости <br><strong>Моторное масло ECO SYNTH:</strong> SAE 10W-40 <br><br>Спецификации и лицензии <br><strong>Моторное масло ECO SYNTH:</strong> <span> ACEA A3/B4; API SN; лицензии: MB 229.1; VW 501 01/505 00; выполняет требования: Renault RN0700/RN0710</span><span style='color: #333333;'><br></span><br><strong>EAN код Eco Synth 1L:</strong> 4014766071286<br><strong>EAN код Eco Synth 4L:</strong> 4014766250667<br><strong>EAN код Eco Synth 5L: </strong>4014766072849<br><strong>EAN код Eco Synth 20L: </strong>4014766102300";"";"Eco Synth";"";"";"eco-synth";"";"";"";"";"";"";"http://www.addinol.ee/extensions/addinol_db/pic/mootoriõli 10w40_Eco Synth.jpg";"";"";""
"Rasenmäheröl MV 304, Rasenmäheröl MV 1034";"";"";"RUB";"";"1";"";"";"";"Масла для четырехтактных бензиновых двигателей малогабаритных мобильных агрегатов с воздушным охлаждением; особо рекомендуются для газонокосилок.<br><br>Класс вязкости <br><strong>RASENMÄHERÖL MV 304:</strong> SAE 30<br><strong>RASENMÄHERÖL MV 1034:</strong> SAE 10W-30<br><br>Спецификации и лицензии <br><strong>RASENMÄHERÖL MV 304:</strong> API SF/CC<br><strong>RASENMÄHERÖL MV 1034:</strong> API SF/CC<br><br><strong>EAN код Rasenmäheröl MV 304 0,6L:</strong> 4014766073730<br><strong>EAN код Rasenmäheröl MV 304 1L: </strong>4014766070586<br><strong>EAN код Rasenmäheröl MV 304 20L: </strong>4014766101198<br><br><strong>EAN код Rasenmäheröl MV 1034 1L: </strong>4014766070746";"";"Rasenmäheröl MV 304, Rasenmäheröl MV 1034";"";"";"rasenmäheröl-mv-304-rasenmäheröl-mv-1034";"";"";"";"";"";"";"http://www.addinol.ee/extensions/addinol_db/pic/Rasenmäheröl MV 304 0,6l.jpg";"http://www.addinol.ee/extensions/addinol_db/pic/Rasenmäheröl MV 1034 1l.jpg";"";""
"Motorenöl M 30, Motorenöl M 50";"";"";"RUB";"";"1";"";"";"";"Сезонные моторные масла, разработанные специально для 4-тактных бензиновых и дизельных двигателей раритетных автомобилей.<br><br>Класс вязкости <br><strong>MOTORENÖL M 30:</strong> SAE 30<br><strong>MOTORENÖL M 50:</strong> SAE 50<br><br>Спецификации и лицензии <br><strong>MOTORENÖL M 30:</strong> API SA/CA<br><strong>MOTORENÖL M 50:</strong> API SA/CA<br><br><strong>EAN код Motorenöl M 30 1L: </strong>4014766072504<br><strong>EAN код Motorenöl M 30 20L:</strong> 4014766101518<br><br><strong>EAN код Motorenöl M 50 1L: </strong>4014766072498<br><strong>EAN код Motorenöl M 50 20L: </strong>4014766101525";"";"Motorenöl M 30, Motorenöl M 50";"";"";"motorenöl-m-30-motorenöl-m-50";"";"";"";"";"";"";"http://www.addinol.ee/extensions/addinol_db/pic/M30.jpg";"http://www.addinol.ee/extensions/addinol_db/pic/M50.jpg";"";""
"Super MV 1045, Super MV 1545";"";"";"RUB";"";"1";"";"";"";"Всесезонные моторные масла для круглогодичного применения в бензиновых и дизельных двигателях автомобилей со средними требованиями к моторному маслу. Рекомендуются также для классических автомобилей.<br><br>Класс вязкости <br><strong>SUPER MV 1045:</strong> SAE 10W-40<br><strong>SUPER MV 1545:</strong> SAE 15W-40<br><br>Спецификации и лицензии <br><strong>SUPER MV 1045:</strong> ACEA A3/B3; API SJ/CG-4<br><strong>SUPER MV 1545:</strong> API SG/CF<br><br><strong>EAN код Super MV 1045 1L:</strong> 4014766070685<br><strong>EAN код Super MV 1045 4L:</strong> 4014766250346";"";"Super MV 1045, Super MV 1545";"";"";"super-mv-1045-super-mv-1545";"";"";"";"";"";"";"http://www.addinol.ee/extensions/addinol_db/pic/MV 1045.jpg";"http://www.addinol.ee/extensions/addinol_db/pic/MV 1545.jpg";"";""
"Super Drive MV 1546";"";"";"RUB";"";"1";"";"";"";"Моторное масло для всех бензиновых и дизельных двигателей легковых автомобилей. Особо рекомендуется для современных турбодвигателей и двигателей с непосредственным впрыском топлива.<br><br>Класс вязкости <br><strong>SUPER DRIVE MV 1546:</strong> SAE 15W-40 <br><br>Спецификации и лицензии <br><strong>SUPER DRIVE MV 1546:</strong> <span>ACEA A3/B4; API SL/CF; выполняет требования: VW 501 01/505 00; MB 229.1</span><br><br><strong>EAN код Super Drive MV 1546 1L</strong>: 4014766070753<strong><br>EAN код Super Drive MV 1546 4L</strong>: 4014766250407<br><strong>EAN код Super Drive MV 1546 5L:</strong> 4014766240354";"";"Super Drive MV 1546";"";"";"super-drive-mv-1546";"";"";"";"";"";"";"http://www.addinol.ee/extensions/addinol_db/pic/Super Drive MV 1546.jpg";"";"";""
"Super Racing 10W-60";"";"";"RUB";"";"1";"";"";"";"Синтетическое моторное масло легкого хода для спортивных высокофорсированных двигателей. Идеальное решение для турбодвигателей и двигателей с непосредственным впрыском топлива.<br><br>Класс вязкости <br><strong>SUPER RACING 10W-60:</strong> SAE 10W-60<br><br>Спецификации и лицензии <br><strong>SUPER RACING 10W-60</strong>: <span>ACEA A3/B4; API SM/CF; выполняет требования: BMW Longlife-98, MB 229.3, VW 502 00/505 00, GM-LL-B-025</span><br><br><strong>EAN код Super Racing 10W-60 1L:</strong> 4014766070333<br><strong>EAN код Super Racing 10W-60 4L</strong>: 4014766250599";"";"Super Racing 10W-60";"";"";"super-racing-10w-60";"";"";"";"";"";"";"http://www.addinol.ee/extensions/addinol_db/pic/mootoriõli Super Racing 10W60 1l.jpg";"";"";""
"Semi Synth 1040";"";"";"RUB";"";"1";"";"";"";"Полусинтетическое моторное масло 10W40 легкого хода для бензиновых и дизельных двигателей легковых автомобилей и микроавтобусов.<br><br>Класс вязкости <br><strong>Моторное масло SEMI SYNTH 1040:</strong> SAE 10W40<br><br>Спецификации и лицензии <br><strong>Моторное масло SEMI SYNTH 1040:</strong> <span>ACEA A3/B4, API SN; лицензии: VW 501 01/505 00 (подана заявка), MB 229.1; выполняет требования: Renault RN0700/RN0710</span><br><br><strong>EAN код Semi Synth 1040 1L:</strong> 4014766072702<br><strong>EAN код Semi Synth 1040 4L: </strong>4014766249968<strong><br>EAN код Semi Synth 1040 5L:</strong> 4014766241993<strong></strong>";"";"Semi Synth 1040";"";"";"semi-synth-1040";"";"";"";"";"";"";"http://www.addinol.ee/extensions/addinol_db/pic/Semi Synth 1040 1l.jpg";"";"";""
"Super Racing 5W-50";"";"";"RUB";"";"1";"";"";"";"Синтетическое моторное масло 5W50 легкого хода для современных легковых автомобилей. Особо рекомендуется для двигателей с непосредственным впрыском и для турбодвигателей.<br><br>Класс вязкости <br><strong>Моторное масло SUPER RACING 5W-50:</strong> SAE 5W-50<br><br>Спецификации и лицензии <br><strong>Моторное масло SUPER RACING 5W-50:</strong> <span>ACEA A3/B4</span>; API SM/CF; выполняет требования: BMW Longlife-98; MB 229.3; VW 502 00/505 00; GM-LL-B-025<br><br><strong>EAN код Super Racing 5W-50 1L:</strong> 4014766072122<br><strong>EAN код Super Racing 5W-50 4L:</strong> 4014766250322";"";"Super Racing 5W-50";"";"";"super-racing-5w-50";"";"";"";"";"";"";"http://www.addinol.ee/extensions/addinol_db/pic/mootoriõli Super Racing 5W50 1l.jpg";"";"";""
"Light MV 0546 PD";"";"";"RUB";"";"1";"";"";"";"Полусинтетическое масло легкого хода для бензиновых и дизельных двигателей. Особо рекомендуется для современных дизельных двигателей с системой впрыска «насос-форсунка».<br><br>Класс вязкости <br><strong>LIGHT MV 0546 PD:</strong> SAE 5W-40<br><br>Спецификации и лицензии <br><strong>LIGHT MV 0546 PD:</strong> ACEA A3/B3; API SL/CF, SH/EC; выполняет требования: VW 505 01/500 00/505 00; MB 229.1; BMW Longlife-98; FORD WSS-M2C 917-A<br><br><strong>EAN код Light MV 0546 PD 1L:</strong> 4014766071170<br><strong>EAN код Light MV 0546 PD 5L:</strong> 4014766240729";"";"Light MV 0546 PD";"";"";"light-mv-0546-pd";"";"";"";"";"";"";"http://www.addinol.ee/extensions/addinol_db/pic/Light MV 0546 PD.jpg";"";"";""
"Super Light 0540";"";"";"RUB";"";"1";"";"";"";"Синтетическое топливосберегающее масло легкого хода для бензиновых и дизельных двигателей легковых автомобилей, подходит для турбодвигателей и двигателей с непосредственным впрыском топлива.<br><br>Класс вязкости <br><strong>SUPER LIGHT 0540:</strong> SAE 5W-40<br><br>Спецификации и лицензии <br><strong>SUPER LIGHT 0540:</strong> ACEA A3/B4; API SN/CF; VW 502 00/505 00; MB 229.5, MB 226.5; BMW Longlife-01; Porsche A40; Renault RN0700/0710; выполняет требования: GM-LL-B-025; PSA B71 2296<br><br><strong>EAN код Super Light 0540 1L:</strong> 4014766072719<br><strong>EAN код Super Light 0540 4L:</strong> 4014766251022<br><strong>EAN код Super Light 0540 5L:</strong> 4014766241313<br><strong>EAN код Super Light 0540 20L: </strong>4014766102768";"";"Super Light 0540";"";"";"super-light-0540";"";"";"";"";"";"";"http://www.addinol.ee/extensions/addinol_db/pic/mootoriõli Super Light 0540.jpg";"";"";""
"Mega Power MV 0538 C2";"";"";"RUB";"";"1";"";"";"";"Синтетическое топливосберегающее моторное масло 5W30 со свойством Longlife. Имеет пониженную вязкость HTHS и пакет присадок Low SAPS. <br>Рекомендуется для современных дизельных двигателей, имеющих систему доочистки отработанных газов и газотурбинный нагнетатель, а также для бензиновых и дизельных двигателей, требующих масла класса ACEA C2.";"";"Mega Power MV 0538 C2";"";"";"mega-power-mv-0538-c2";"";"";"";"";"";"";"http://www.addinol.ee/extensions/addinol_db/pic/mootoriõli 5w30 Mega Power MV 0538 C2.jpg";"";"";""
"Mega Power MV 0538 C4";"";"";"RUB";"";"1";"";"";"";"Синтетическое высокомощное масло легкого хода с пакетом присадок Low SAPS, разработанное специально<br>для современных дизельных двигателей автомобилей Renault, оснащенных системой доочистки выхлопных<br>газов. Продукт рекомендуется для бензиновых и дизельных двигателей Euro IV и Euro V.<br><br>Класс вязкости <br><strong>MEGA POWER MV 0538 C4:</strong> SAE 5W-30<br><br>Спецификации и лицензии <br><strong>MEGA POWER MV 0538 C4:</strong> ACEA C4; лицензии: Renault RN0720; выполняет требования: MB 226.51<br><br><strong>EAN код Mega Power MV 0538 C4 1L:</strong> 4014766073259<br><strong>EAN код Mega Power MV 0538 C4 5L: </strong>4014766241245<br><strong>EAN код Mega Power MV 0538 C4 20L: </strong>4014766100726";"";"Mega Power MV 0538 C4";"";"";"mega-power-mv-0538-c4";"";"";"";"";"";"";"http://www.addinol.ee/extensions/addinol_db/pic/mootoriõli Mega Power MV 0538 C4.jpg";"";"";""
"Super Power MV 0537 FD";"";"";"RUB";"";"1";"";"";"";"Специальное синтетическое моторное масло легко­го хода с пониженной вязкостью HTHS (< 3,5мпас)='' для='' нового='' поколения='' двигателей='' ford='' (форд).='' идеально='' подходит='' для='' бензиновых='' и='' дизельных='' двигателей='' с='' турбонаддувом='' и='' без=''><br><br>Класс вязкости <br><strong>SUPER POWER MV 0537 FD:</strong> SAE 5W-30<br><br>Спецификации и лицензии <br><strong>SUPER POWER MV 0537 FD:</strong> ACEA A1/B1/A5/B5; API SN/CF; Ilsac GF-2; выполняет требования: FORD WSS-M2C 913-B; FORD WSS-M2C 913-A<br><br><strong>EAN код Super Power MV 0537 FD 1L:</strong> 4014766071798<br><strong>EAN код Super Power MV 0537 FD 4L: </strong>4014766242075<br><strong>EAN код Super Power MV 0537 FD 5L:</strong> 4014766240897<br><strong>EAN код Super Power MV 0537 FD 20L: </strong>4014766102065";"";"Super Power MV 0537 FD";"";"";"super-power-mv-0537-fd";"";"";"";"";"";"";"http://www.addinol.ee/extensions/addinol_db/pic/mootoriõli Super Power MV 0537 FD.jpg";"";"";""
"Super Power MV 0537";"";"";"RUB";"";"1";"";"";"";"<span style='color: #000000;'>Синтетическое моторное масло легкого хода для новейших бензиновых и дизельных двигателей легковых автомобилей. Рекомендуется для двигателей с турбонаддувом и без него.  </span><br><br><span style='color: #000000;'>Класс вязкости </span><br><span style='color: #000000;'><strong>SUPER POWER MV 0537:</strong> SAE 5W-30</span><br><br><span style='color: #000000;'>Спецификации и лицензии </span><br><span style='color: #000000;'><strong>SUPER POWER MV 0537:</strong> ACEA A3/B3/B4; API SM/CF; BMW Longlife-01; MB 229.5; VW 502 00/505 00; выполняет требования: GM-LL-A-025; GM-LL-B-025; Renault RN0700</span><br><br><span style='color: #000000;'><strong>EAN код Super Power MV 0537 1L: </strong>4014766071064</span><br><span style='color: #000000;'><strong>EAN код Super Power MV 0537 4L:</strong> 4014766250520</span><br><span style='color: #000000;'><strong>EAN код Super Power MV 0537 5L:</strong> 4014766240460</span><span><span style='color: #333333;'><br><span style='color: #000000;'><strong>EAN код Super Power MV 0537 20L: </strong>4014766100962</span><br></span></span>";"";"Super Power MV 0537";"";"";"super-power-mv-0537";"";"";"";"";"";"";"http://www.addinol.ee/extensions/addinol_db/pic/mootoriõli MV 0537.jpg";"";"";""
"Mega Light MV 0539 LE";"";"";"RUB";"";"1";"";"";"";"Синтетическое масло легкого хода, изго­товленное по новейшей технологии (Low SAPS – уменьшенное содержание сульфатной золы, фосфора и серы), для двигателей автомобилей Volkswagen с продленными интервалами технического обслуживания (WIV). Применяется как в легковых автомобилях, так и микроавтобусах, особенно в двигателях с системой Common Rail.<br><br>Класс вязкости<br><strong>MEGA LIGHT MV 0539 LE:</strong> SAE 5W-30<br><br>Спецификации и лицензии<br><strong>MEGA LIGHT MV 0539 LE:</strong> ACEA C3б API SN; VW 504 00/507 00; Porsche C30<strong><br><br>EAN код Mega Light MV 0539 LE 1L: </strong>4014766072153<strong><br>EAN код Mega Light MV 0539 LE 5L: </strong>4014766240934<strong><br>EAN код Mega Light MV 0539 LE 20L:</strong> 4014766101402";"";"Mega Light MV 0539 LE";"";"";"mega-light-mv-0539-le";"";"";"";"";"";"";"http://www.addinol.ee/extensions/addinol_db/pic/mootoriõli Mega Light MV 0539 LE 1l.jpg";"";"";""
"Extra Power MV 0538 LE";"";"";"RUB";"";"1";"";"";"";"Синтетическое моторное масло легкого хода (<em>Low</em> SAPS) для поколения ультрасовременных бензиновых и дизельных двигателей Еврo-4 и Евро-5 легковых автомобилей и микроавтобусов, оснащенных дизельным сажевым фильтром (DPF) и накопитель­ным катализатором NO<sub>X</sub>.<br><br>Класс вязкости <br><strong>EXTRA POWER MV 0538 LE:</strong> SAE 5W-30<br><br>Спецификации и лицензии <br><strong>EXTRA POWER MV 0538 LE:</strong> ACEA C3; API SN/CF; MB 229.31; BMW Longlife-04; выполняет требования: Renault RN0700<br><br><strong>EAN код Extra Power MV 0538 LE 1L:</strong> 4014766072191<br><strong>EAN код Extra Power MV 0538 LE 4L</strong>: 4014766250865<br><strong>EAN код Extra Power MV 0538 LE 5L</strong>: 4014766242716<br><strong>EAN код Extra Power MV 0538 LE 20L: </strong>4014766102676";"";"Extra Power MV 0538 LE";"";"";"extra-power-mv-0538-le";"";"";"";"";"";"";"http://www.addinol.ee/extensions/addinol_db/pic/mootoriõli Extra Power MV 0538 LE.jpg";"";"";""
"Superior 040";"";"";"RUB";"";"1";"";"";"";"Синтетическое топливосберегающее моторное масло легкого хо­да для современных легковых автомобилей и микроавтобусов с бензиновыми или дизельными двигателями повышенной мощности. Особенно рекомендуется для холодного климата.";"";"Superior 040";"";"";"superior-040";"";"";"";"";"";"";"http://www.addinol.ee/extensions/addinol_db/pic/mootorioli Superior 040 1l.jpg";"";"";""
"Superior 030";"";"";"RUB";"";"1";"";"";"";"Синтетическое моторное масло легкого хода с топливосберегающими свойствами для современных легковых автомобилей и микроавтобусов с бензиновыми или дизельными двигателями повышенной мощности. Особенно рекомендуется для холодного климата.<br><br>Класс вязкости <br><strong>Моторное масло SUPERIOR 030:</strong> SAE 0W-30<br><br>Спецификации и лицензии <br><strong>Моторное масло SUPERIOR 030:</strong> <span>ACEA A3/B4; API SN/CF;</span> выполняет требования: <span>MB 229.3/229.5; VW 502 00/505 00; Renault RN0700/RN0710; Volvo VCC 95200356</span><br><br><strong>EAN код Superior 030 1L:</strong> 4014766072672<br><strong>EAN код Superior 030 4L:</strong> 4014766250971";"";"Superior 030";"";"";"superior-030";"";"";"";"";"";"";"http://www.addinol.ee/extensions/addinol_db/pic/mootorioli Superior 030 1l.jpg";"";"";""
"Giga Light MV 0530 LL";"";"";"RUB";"";"1";"";"";"";"Синтетическое моторное масло (синтетика) легкого хода с характеристикой Low SAPS для современных бензиновых и дизельных двигателей легковых автомобилей и микроавтобусов. Моторное масло 5W30 рекомендуется для двигателей автомобилей с продленными интервалами технического обслуживания (WIV), оснащенных фильтром тонкой очистки (DPF) и катализатором. <br>Масло рекомендуется <strong><span style='text-decoration: underline;'>также</span></strong> для газовых двигателей, функционирующих на природном (CNG) и сжиженном (LPG) газе. <br><br>Класс вязкости <br><strong>GIGA LIGHT MV 0530 LL:</strong> SAE 5W-30<br><br>Спецификации и лицензии <br><strong>GIGA LIGHT MV 0530 LL:</strong> ACEA C3, API SN; VW 504 00/507 00; MB 229.51; BMW Longlife-04; Porsche C30.<br><br><strong>EAN код Giga Light MV 0530 LL 1L:</strong> 4014766072573<br><strong>EAN код Giga Light MV 0530 LL 5L:</strong> 4014766241108<br><strong>EAN код Giga Light MV 0530 LL 20L: </strong>4014766101136";"";"Giga Light MV 0530 LL";"";"";"giga-light-mv-0530-ll";"";"";"";"";"";"";"http://www.addinol.ee/extensions/addinol_db/pic/mootoriõli Giga Light MV 0530 LL.jpg";"";"";""
"Premium 0530 C3-DX";"";"";"RUB";"";"1";"";"";"";"Синтетическое высокоэффективное моторное масло легкого хода со свойством Longlife для современных автомобилей, оснащенных системой доочистки выхлопных газов. Моторное масло 5W-30 рекомендуется для дизельных и бензиновых двигателей Евро-4 и Евро-5, а также предназначено для автомобилей концерна GM.";"";"Premium 0530 C3-DX";"";"";"premium-0530-c3-dx";"";"";"";"";"";"";"http://www.addinol.ee/extensions/addinol_db/pic/Premium 0530 C3-DX 1L_.jpg";"";"";""
"Premium 0530 FD";"";"";"RUB";"";"1";"";"";"";"Синтетическое моторное масло лёгкого хода со свойствами Longlife предназначено, в первую очередь, для новых бензиновых и дизельных двигателей Ford, оснащенных современными системами нейтрализации отработавших газов; идеально подходит для двигателей Euro V.<br><br>Класс вязкости<br><strong>PREMIUM 0530 FD:</strong> SAE 5W-30<br><br>Спецификации и лицензии<br><strong>PREMIUM 0530 FD:</strong> ACEA A5/B5, A1/B1; выполняет требования: Ford WSS-M2C 913-C/913-D (913-A/913-B); Jaguar Land Rover ST JLR.03.5003<br><strong>EAN код Premium 0530 FD 1L:</strong> 4014766074010<br><strong>EAN код Premium 0530 FD 5L:</strong> 4014766241375<br><strong>EAN код Premium 0530 FD 20L</strong>: 4014766102416";"";"Premium 0530 FD";"";"";"premium-0530-fd";"";"";"";"";"";"";"http://www.addinol.ee/extensions/addinol_db/pic/mootoriõli Premium 0530 FD.jpg";"";"";""
"Premium 0530 C1";"";"";"RUB";"";"1";"";"";"";"Синтетическое масло легкого хода с пониженной вязкостью HTHS с пакетом присадок low SAPS предназначено для дизельных двигателей с современными системами нейтрализации отработавших газов и турбонаддувом; разработано специально для Ford, Land Rover, Mazda, Mitsubishi и т. д.<br><br>Класс вязкости<br><strong>PREMIUM 0530 C1:</strong> SAE 5W-30<br><br>Спецификации и лицензии<br><strong>PREMIUM 0530 C1:</strong> ACEA C1, A5/B5; выполняет требования: FORD WSS-M2C 934-B, Jaguar Land Rover ST JLR.03.5005<br><br><strong>EAN код Premium 0530 C1 1L:</strong> 4014766074379<br><strong>EAN код Premium 0530 C1 5L: </strong>4014766241306<br><strong>EAN код Premium 0530 C1 20L: </strong>4014766102393";"";"Premium 0530 C1";"";"";"premium-0530-c1";"";"";"";"";"";"";"http://www.addinol.ee/extensions/addinol_db/pic/mootoriõli Premium 0530 C1.jpg";"";"";""
"Premium 0540 C3";"";"";"RUB";"";"1";"";"";"";"Синтетическое моторное масло легкого хода для бензиновых и дизельных двигателей. Благодаря малозольным присадкам (low SAPS) продукт можно применять в автомобилях, оснащенных современными системами нейтрализации отработавших газов; выполняет строгие требования нормы Euro VI. Рекомендуется для применения в автомобилях, функционирующих на природном (CNG) и сжиженном (LPG) газе.<br><br>Класс вязкости<br><strong>PREMIUM 0540 C3:</strong> SAE 5W-40<br><br>Спецификации и лицензии<br><strong>PREMIUM 0540 C3:</strong> API SN/CF; ACEA C3; выполняет требования: Fiat 9.55535-S2; BMW Longlife-04; MB 229.31, MB 229.51; VW 502 00/505 00/505 01; dexos2; Porsche A40";"";"Premium 0540 C3";"";"";"premium-0540-c3";"";"";"";"";"";"";"http://www.addinol.ee/extensions/addinol_db/pic/mootoriõli Premium 0540 C3.jpg";"";"";""
"Economic 020";"";"";"RUB";"";"1";"";"";"";"Синтетическое моторное масло с пониженной вязкостью при высокой температуре и высоком градиенте скорости сдвига (HTHS) и топливосберегающими свойствами для современных легковых автомобилей и микроавтобусов. Продукт специально разработан для автомобилей азиатского и американского производства. Особенно рекомендуется для холодного климата.<br><br>Класс вязкости <br><strong>ECONOMIC 020:</strong> SAE 0W-20<br><br>Спецификации и лицензии <br><strong>ECONOMIC 020:</strong> API SN with Resource Conserving; ILSAC GF-5; выполняет требования: Ford WSS-M2C-945A (совместимо с предыдущими Ford WSS-M2C-930A и Ford WSS-M2C-925A); Chrysler MS 6395; GM 6094M<br><br><strong>EAN код</strong> <strong>Economic 020</strong> <strong>1L</strong>: 4014766073754<br><strong>EAN код</strong> <strong>Economic 020</strong> <strong>5L</strong>: 4014766241382";"";"Economic 020";"";"";"economic-020";"";"";"";"";"";"";"http://www.addinol.ee/extensions/addinol_db/pic/mootoriõli Economic 020.jpg";"";"";""
"Economic 0520";"";"";"RUB";"";"1";"";"";"";"Синтетическое моторное масло с пониженной вязкостью при высокой температуре и высоком градиенте скорости сдвига (HTHS) и топливосберегающими свойствами для современных легковых автомобилей и микроавтобусов. Продукт специально разработан для автомобилей азиатского и американского производства.<br><br>Класс вязкости <br><strong>ECONOMIC 0520:</strong> SAE 5W-20<br><br>Спецификации и лицензии <br><strong>ECONOMIC 0520:</strong> API SN with Resource Conserving; ILSAC GF-5; выполняет требования: Ford WSS-M2C-945A (совместимо с предыдущими Ford WSS-M2C-930A и Ford WSS-M2C-925A); Chrysler MS 6395; GM 6094M<br><br><strong>EAN код Economic 0520 1L</strong>: 4014766073761<br><strong>EAN код Economic 0520 5L</strong>: 4014766241399";"";"Economic 0520";"";"";"economic-0520";"";"";"";"";"";"";"http://www.addinol.ee/extensions/addinol_db/pic/mootoriõli Economic 0520.jpg";"";"";""
"Super Star MX 1547";"";"";"RUB";"";"1";"";"";"";"Высокоэффективное моторное масло для бензиновых и дизельных двигателей, предъявляющих особые требования к моторному маслу в силу современных конструкционных принципов, таких как газотурбинный наддув или использование обедненных смесей. Предназначен также для двигателей, функционирующих на биодизеле.";"";"Super Star MX 1547";"";"";"super-star-mx-1547";"";"";"";"";"";"";"http://www.addinol.ee/extensions/addinol_db/pic/MX 1547 1l.jpg";"";"";""
"Premium 030 C2";"";"";"RUB";"";"1";"";"";"";"Полностью синтетическое моторное масло легкого хода для современных бензиновых и дизельных двигателей автомобилей концерна PSA с пониженной вязкостью HTHS, усиленное пакетом малозольных присадок (low SAPS).<br><br>Класс вязкости<br><strong>PREMIUM 030 C2:</strong> SAE 0W-30<br><br>Спецификации и лицензии<br><strong>PREMIUM 030 C2:</strong> ACEA C2; выполняет требования: PSA B71 2312";"";"Premium 030 C2";"";"";"premium-030-c2";"";"";"";"";"";"";"";"";"";""
"!Специальные жидкости для автомобилей";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"!! Прочие жидкости";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"!! Масло для прерывателей";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Lube Oil U 1500";"";"";"RUB";"";"1";"";"";"";"Специальное масло для смазки прерывателя зажигания с войлочным фитилем. Благодаря высокой вязкости гарантируется длительный срок смазки, стабильная смазочная пленка и надежная защита прерывателя зажигания.";"";"Lube Oil U 1500";"";"";"lube-oil-u-1500";"";"";"";"";"";"";"";"";"";""
"!! Средства для внутренней очистки двигателя";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Flushing Oil Super";"";"";"RUB";"";"1";"";"";"";"Изготовленное на основе минерального масла средство для внутренней очистки бензиновых и дизельных двигателей. Обеспечивает безупречную чистоту двигателя, растворяет шлам и твердые отложения.<br><br><strong>EAN код Flushing Oil Super 0,5L:</strong> 4014766071415";"";"Flushing Oil Super";"";"";"flushing-oil-super";"";"";"";"";"";"";"http://www.addinol.ee/extensions/addinol_db/pic/mootori pesuvedelik Flushing oil Super 0.5l.jpg";"";"";""
"!! Антифризы";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Antifreeze";"";"";"RUB";"";"1";"";"";"";"Концентрат смазочно-охлаждающей жидкости (СОЖ) на основе этиленгликоля. Не содержит нитритов, аминов и фосфатов. Цвет: сине-зеленый.<br><br>Спецификации и лицензии <br><strong>ANTIFREEZE:</strong> выполняет требования: BS 5117/6580; ASTM D 1121/D 1177/D 3306/D 4052<br><br><strong>EAN код Antifreeze 1,5L:</strong> 4014766071156<br><strong>EAN код Antifreeze 57L</strong>: 4014766300850<br><strong>EAN код Antifreeze 205L: </strong>4014766402714";"";"Antifreeze";"";"";"antifreeze";"";"";"";"";"";"";"http://www.addinol.ee/extensions/addinol_db/pic/jahutusvedelik Antifreeze 1.5l.jpg";"";"";""
