Наименование;"Наименование артикула";"Код артикула";Валюта;Цена;"Доступен для заказа";"Зачеркнутая цена";"Закупочная цена";"Краткое описание";Описание;Теги;Заголовок;"Тип товаров""META Keywords";"META Description";"Ссылка на витрину";Производитель;Объем;Размеры;"Возраст детей";Страна-производитель;Материал;Изображения;Изображения;Изображения;Изображения
"ATF XN Plus";"";"";"RUB";"";"1";"";"";"";"Синтетическое масло для современных автоматических коробок передач на легковых и небольших грузовых автомобилях, микроавтобусах. Улучшает фрикционные характеристики, также подходит для высоких нагрузок.";"";"ATF XN Plus";"";"";"atf-xn-plus";"";"";"";"";"";"";"http://www.addinol.ee/extensions/addinol_db/pic/automaatkäigukastiõli ATF XN Plus 1l.jpg";"";"";""
"ATF XN";"";"";"RUB";"";"1";"";"";"";"Универсальное высокомощное синтетическое трансмиссионное масло для нового поколения автоматических коробок передач японских, американских и европейских легковых и малотоннажных грузовых автомобилей; предназначено для автоматических коробок передач, требующих масла ATF со спецификациями Mitsubishi SP-III, Toyota T-IV и Nissan Matic J или выполняющие требования спецификации Dexron II и III.";"";"ATF XN";"";"";"atf-xn";"";"";"";"";"";"";"http://www.addinol.ee/extensions/addinol_db/pic/automaatkäigukastiõli ATF XN 1l.jpg";"";"";""
"ATF TASA";"";"";"RUB";"";"1";"";"";"";"Трансмиссионное масло для АКПП и усилителей рулевого привода.<br><br>Спецификации и лицензии <br><strong>ATF TASA:</strong> ATF Type A, Suffix A; MB 236.2; Renk (DOROMAT)";"";"ATF TASA";"";"";"atf-tasa";"";"";"";"";"";"";"";"";"";""
"ATF D II D";"";"";"RUB";"";"1";"";"";"";"Трансмиссионное масло на основе рафинатов минеральных масел для автоматических коробок передач автомобилей, усилителей рулевого привода, можно использовать в легковых, грузовых автомобилях и автобусах.<br><br>Спецификации и лицензии <br><strong>ATF D II D:</strong> <span>GM Dexron II D; лицензии: <span>MAN 339 Z1/V1/L2; MB 236.1; ZF00698: ZF TE-ML 04D, 14A; Renk (DOROMAT); </span> выполняет требования: <span>Allison C3/C4; Caterpillar TO-2; Ford (ESP-M2C138-CJ/166-H/186-A, SQM-2C9010-A/-B); Komatsu Dresser (B22-0004); Chrysler (MS-6704A); Volvo (97340, 97325, 97335); </span><span><span>Voith H55.6335.xx</span></span></span>";"";"ATF D II D";"";"";"atf-d-ii-d";"";"";"";"";"";"";"http://www.addinol.ee/extensions/addinol_db/pic/automaatkäigukastiõli ATF D II D 1l.jpg";"";"";""
"ATF D III";"";"";"RUB";"";"1";"";"";"";"Трансмиссионное масло для ультрасовременных автоматических коробок передач легковых, грузовых автомобилей и автобусов, также подходит для гидродинамических трансформаторов.<br><br>Спецификации и лицензии <br><strong>ATF D III:</strong> GM Dexron III (H); Ford Mercon; лицензии: MB 236.1; MAN 339 Z1/V1/L1; ZF000699: ZF TE-ML 04D, 14A; выполняет требования: Allison C4; MB 236.9; ZF TE-ML 11B; Voith H55.6335.xx";"";"ATF D III";"";"";"atf-d-iii";"";"";"";"";"";"";"http://www.addinol.ee/extensions/addinol_db/pic/automaatkäigukastiõli ATF D III 1l.jpg";"";"";""
"ATF D II E";"";"";"RUB";"";"1";"";"";"";"Синтетическое трансмиссионное масло для АКПП легковых автомобилей, автобусов и грузовых автомобилей; характеризуется удлиненными интервалами смены масла в коробках передач ZF-Ecomat и АКПП Voith. <br><br>Спецификации и лицензии <br><strong>ATF D II E:</strong> GM Dexron II E-25300; Ford Mercon (M93-1288); лицензии: MB 236.8; MAN 339 L1; MAN 339 Z2 (D); ZF000697: ZF TE-ML 04D, 14B, 16L; AS000697: Bosch TE-ML 09X; выполняет требования:Voith H55.6335.xx; Voith H55.6336.xx; Renk Doromat; Allison C4; Caterpillar TO-2; MAN 339 V2";"";"ATF D II E";"";"";"atf-d-ii-e";"";"";"";"";"";"";"http://www.addinol.ee/extensions/addinol_db/pic/automaatkäigukastiõli ATF D II E 1l.jpg";"";"";""
"ATF CVT";"";"";"RUB";"";"1";"";"";"";"Синтетическое масло для автоматических бесступенчатых трансмиссий легковых автомобилей (CVT). Обеспечивает удобное переключение и длительный срок службы узлов, великолепные противоизносные свойства и характеристики пенообразования.<br><br>Спецификации и лицензии<br><strong>ATF CVT:</strong> выполняет требования спецификаций: Mercon C; Audi / VW G 052 180 / G 052 516; BMW / Mini / Punch EZL 799 / EZL 799 A; Daihatsu CVT Fluid-DC / CVT Fluid-DFE; Dodge / Jeep NS-2 / CVTF +4; Ford CVT 23 / CVT 30; GM / Saturn DEX-CVT; Honda HMMF / CVT Fluid / HCF-2; Hyundai Genuine CVTF; Hyundai / Kia SP-III; JWS 3320; Mazda TFF CVT Fluid TC; Mitsubishi CVTF-J1 / SP-III; Nissan NS-2 / NS-3; Subaru NS-2 / Lineartronic CVTF / i-CVT; Suzuki TC / NS-2 / CVT Green 1 / S-CVT; Toyota TC / CVT Fluid FE<br><br><strong>EAN код ADDINOL ATF CVT 1L:</strong> 4014766073082<br><strong>EAN код ADDINOL ATF CVT 4L:</strong> 4014766250933";"";"ATF CVT";"";"";"atf-cvt";"";"";"";"";"";"";"http://www.addinol.ee/extensions/addinol_db/pic/ATF CVT 1l.jpg";"";"";""
"ATF XN LV";"";"";"RUB";"";"1";"";"";"";"Синтетическая трансмиссионная жидкость для современных японских и корейских легковых автомобилей с автоматическими коробками передач, где требуется масло пониженной вязкости. Обеспечивает плавное переключение АКПП.<br><br>Спецификации и лицензии <br><strong>ATF XN LV:</strong> выполняет требования: JASO 1A-LV; Ford Mercon LV; Mazda ATF FZ; Hyundai SP-IV; Kia SP-IV; Mitsubishi SP-IV; Toyota WS; Nissan Matic S; Honda ATF-DW1";"";"ATF XN LV";"";"";"atf-xn-lv";"";"";"";"";"";"";"";"";"";""
"ATF DCT";"";"";"RUB";"";"1";"";"";"";"Cинтетическое масло для автоматических коробок передач, специально разработанное для применения в легковых автомобилях с коробкой передач с двойным сцеплением (<strong>D</strong>ual <strong>C</strong>lutch <strong>T</strong>ransmissions). Обеспечивает плавное переключение передач.<br><br>Спецификации и лицензии <br><strong>ATF DCT:</strong> выполняет требования: Audi/VW/Seat/Skoda VW TL 052 182; Audi VW TL 052 529; BMW (Getrag) 83 22 2 148 578/83 22 2 148 579/83 22 0 440 214/83 22 2 147 477; Peugeot/Citroen 9734.S2; Ferrari (Getrag) PowerShift 7DCL750; Ford (Getrag) / Nissan M2C-936-A; MB 236.21 (001 989 85 03); Mitsubishi MZ320065 Dia-Queen SSTF-I; Porsche Oil No. 999.917.080.00; Volvo 1161838, 1161839";"";"ATF DCT";"";"";"atf-dct";"";"";"";"";"";"";"http://www.addinol.ee/extensions/addinol_db/pic/ATF DCT 1l.jpg";"";"";""
"!! Трансмиссионные масла для автотранспорта";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Getriebeöl GL 80 W, GL 90, GL 140";"";"";"RUB";"";"1";"";"";"";"Трансмиссионные масла для смазки ручных коробок передач и главных передач с нормаль­ным зубчатым зацеплением.<br><br>Класс вязкости <br><strong>GETRIEBEÖL GL 80 W:</strong> SAE 80W<br><strong>GETRIEBEÖL GL 90:</strong> SAE 90<br><strong>GETRIEBEÖL GL 140:</strong> SAE 140<br><br>Спецификации и лицензии <br><strong>GETRIEBEÖL GL 80 W:</strong> API GL-3<br><strong>GETRIEBEÖL GL 90:</strong> API GL-3<br><strong>GETRIEBEÖL GL 140:</strong> API GL-3";"";"Getriebeöl GL 80 W, GL 90, GL 140";"";"";"getriebeöl-gl-80-w-gl-90-gl-140";"";"";"";"";"";"";"http://www.addinol.ee/extensions/addinol_db/pic/GL 80 W 1l.jpg";"http://www.addinol.ee/extensions/addinol_db/pic/GL 90 1l.jpg";"";""
